Type,Chip,Disp,Electrolyte,Potential [V],Pulse #,IDSdep (10sp 30sd) [A],Std IDSdep [A]
Standard,2,1,KCl,0.1,2,3.5675232734530938e-06,4.2807844146407036e-08
Standard,2,1,KCl,0.1,3,3.617014091816368e-06,3.621209773851213e-08
Standard,2,1,KCl,0.1,4,3.5195534131736524e-06,3.431111439937425e-08
Standard,2,1,KCl,0.1,5,3.5071324351297403e-06,3.57241547255954e-08
Standard,2,1,KCl,0.1,6,3.489143792415169e-06,3.5302881344004055e-08
Standard,2,1,KCl,0.1,7,3.397797724550898e-06,3.71960419024925e-08
Standard,2,1,KCl,0.1,8,3.38323500998004e-06,3.4789502621479094e-08
Standard,2,1,KCl,0.1,9,3.3425949900199597e-06,4.354538610978079e-08
Standard,2,1,KCl,0.1,10,3.4408898003992013e-06,3.956240962277288e-08
Standard,2,1,KCl,0.1,11,3.303025788423153e-06,3.623669523048624e-08
Standard,2,1,KCl,0.1,12,3.3504706187624744e-06,3.660746278856758e-08
Standard,2,1,KCl,0.1,13,3.3866614171656684e-06,3.3382122709432776e-08
Standard,2,1,KCl,0.1,14,3.381759780439121e-06,3.195486845774366e-08
Standard,2,1,KCl,0.1,15,3.254960578842316e-06,3.876818682198426e-08
Standard,2,1,KCl,0.1,16,3.3594881237524947e-06,3.4900405947104015e-08
Standard,2,1,KCl,0.1,17,3.2571974451097804e-06,4.003690494855317e-08
Standard,2,1,KCl,0.1,18,3.247845668662675e-06,3.5056854026024625e-08
Standard,2,1,KCl,0.1,19,3.3020024950099803e-06,3.7280616684310286e-08
Standard,2,1,KCl,0.1,20,3.274448642714572e-06,3.646007155442909e-08
Standard,2,1,KCl,0.1,21,3.1510516167664666e-06,3.7836175414288905e-08
Standard,2,1,KCl,0.1,22,3.2183650898203597e-06,3.663238831747005e-08
Standard,2,1,KCl,0.1,23,3.184364131736527e-06,3.623702044449317e-08
Standard,2,1,KCl,0.1,24,3.135608842315369e-06,3.788788277876036e-08
Standard,2,1,KCl,0.1,25,3.1361559281437126e-06,3.6287849120426335e-08
Standard,2,1,KCl,0.1,26,3.151979860279441e-06,3.484993412591252e-08
Standard,2,1,KCl,0.1,27,3.1335391417165667e-06,4.3488994127961596e-08
Standard,2,1,KCl,0.1,28,3.1726573852295404e-06,3.6435594675389945e-08
Standard,2,1,KCl,0.1,29,3.1210231936127746e-06,4.5938510025690286e-08
Standard,2,1,KCl,0.1,30,3.064869041916168e-06,4.003268419029936e-08
Standard,2,1,KCl,0.1,31,3.1144317964071856e-06,4.55054072695374e-08
Standard,2,1,KCl,0.1,32,3.0413129540918164e-06,4.307492196227272e-08
Standard,2,1,KCl,0.1,33,3.068652295409182e-06,3.667111870287797e-08
Standard,2,1,KCl,0.1,34,3.1009642914171656e-06,4.5548827349855115e-08
Standard,2,1,KCl,0.1,35,2.956414011976048e-06,3.7306683697051595e-08
Standard,2,1,KCl,0.1,36,3.036768423153692e-06,3.971591791345862e-08
Standard,2,1,KCl,0.1,37,3.016233473053892e-06,4.105392024050536e-08
Standard,2,1,KCl,0.1,38,3.0457861676646706e-06,4.3314683631348715e-08
Standard,2,1,KCl,0.1,39,3.012188522954092e-06,4.7811965952196234e-08
Standard,2,1,KCl,0.1,40,3.0946111177644718e-06,4.0742975727701826e-08
Standard,2,1,KCl,0.1,41,3.0655829141716567e-06,3.9012477341110037e-08
Standard,2,1,KCl,0.1,42,3.017209361277445e-06,4.005880470996631e-08
Standard,2,1,KCl,0.1,43,3.0041460279441118e-06,4.192125716138794e-08
Standard,2,1,KCl,0.1,44,3.070413033932136e-06,3.8513440256316415e-08
Standard,2,1,KCl,0.1,45,3.005454790419161e-06,4.0276349017829155e-08
Standard,2,1,KCl,0.1,46,3.039266726546906e-06,3.9172054728633715e-08
Standard,2,1,KCl,0.1,47,2.925791337325349e-06,4.366060400415893e-08
Standard,2,1,KCl,0.1,48,2.936641516966068e-06,3.935317007426732e-08
Standard,2,1,KCl,0.1,49,3.128970259481038e-06,4.05913808847708e-08
Standard,2,1,KCl,0.1,50,3.058468542914172e-06,3.8712941408173274e-08
Standard,2,1,KCl,0.1,51,3.2355206387225554e-06,4.092731225955621e-08
Standard,2,1,KCl,0.1,52,3.083023552894212e-06,3.960697944241268e-08
Standard,2,1,KCl,0.1,53,2.9861809381237523e-06,3.9477671493113295e-08
Standard,2,1,KCl,0.1,54,3.0464287425149702e-06,4.142500437435784e-08
Standard,2,1,KCl,0.1,55,2.9842059880239523e-06,4.169094635135853e-08
Standard,2,1,KCl,0.1,56,2.9926055289421155e-06,3.9896886048533466e-08
Standard,2,1,KCl,0.1,57,2.937093572854292e-06,3.960221639011103e-08
Standard,2,1,KCl,0.1,58,2.970191097804391e-06,4.1124752383356815e-08
Standard,2,1,KCl,0.1,59,2.942137864271457e-06,4.23850716647918e-08
Standard,2,1,KCl,0.1,60,2.935856347305389e-06,4.4490659015473537e-08
Standard,2,1,KCl,0.1,61,2.968121037924152e-06,4.3787034032011755e-08
Standard,2,1,KCl,0.1,62,3.0782885628742515e-06,4.220485420814231e-08
Standard,2,1,KCl,0.1,63,3.051282894211577e-06,3.855099532057231e-08
Standard,2,1,KCl,0.1,64,3.020183632734531e-06,4.2222176585022796e-08
Standard,2,1,KCl,0.1,65,2.951465309381237e-06,4.018373186942806e-08
Standard,2,1,KCl,0.1,66,2.9748309381237524e-06,3.9623905775657184e-08
Standard,2,1,KCl,0.1,67,2.902805908183633e-06,4.0564466004417695e-08
Standard,2,1,KCl,0.1,68,2.981826686626747e-06,4.26034096123726e-08
Standard,2,1,KCl,0.1,69,3.000196047904192e-06,3.726612718206312e-08
Standard,2,1,KCl,0.1,70,2.9383068463073857e-06,3.7085341967337054e-08
Standard,2,1,KCl,0.1,71,2.892098243512974e-06,4.1507449670012124e-08
Standard,2,1,KCl,0.1,72,3.0015285229540914e-06,4.604117168159356e-08
Standard,2,1,KCl,0.1,73,2.930574071856288e-06,4.1016340984866255e-08
Standard,2,1,KCl,0.1,74,2.9768772654690617e-06,3.99853514165799e-08
Standard,2,1,KCl,0.1,75,2.9298599600798406e-06,3.954255978560824e-08
Standard,2,1,KCl,0.1,76,2.96626506986028e-06,3.844091978927029e-08
Standard,2,1,KCl,0.1,77,2.918629441117765e-06,3.971642291655969e-08
Standard,2,1,KCl,0.1,78,3.049212814371257e-06,4.299494825980693e-08
Standard,2,1,KCl,0.1,79,2.906279760479042e-06,4.408934037091632e-08
Standard,2,1,KCl,0.1,80,2.9778292614770454e-06,4.421584146494888e-08
Standard,2,1,KCl,0.1,81,2.9612443912175645e-06,4.1104886613134454e-08
Standard,2,1,KCl,0.1,82,2.921270159680639e-06,3.881042117749374e-08
Standard,2,1,KCl,0.1,83,2.913037405189621e-06,3.947976315599545e-08
Standard,2,1,KCl,0.1,84,3.030772395209581e-06,4.170386452418404e-08
Standard,2,1,KCl,0.1,85,3.0167334331337324e-06,4.0423421742722675e-08
Standard,2,1,KCl,0.1,86,2.985633792415169e-06,4.2510381310790696e-08
Standard,2,1,KCl,0.1,87,3.0109987225548903e-06,4.239640531890489e-08
Standard,2,1,KCl,0.1,88,3.006002095808383e-06,4.3107500110755776e-08
Standard,2,1,KCl,0.1,89,2.977900439121756e-06,4.0688215446327824e-08
Standard,2,1,KCl,0.1,90,3.02349123752495e-06,4.1450318011632435e-08
Standard,2,1,KCl,0.1,91,2.875846327345309e-06,3.951752763628604e-08
Standard,2,1,KCl,0.1,92,2.99429502994012e-06,4.2362305426512046e-08
Standard,2,1,KCl,0.1,93,2.94534998003992e-06,3.920549679062352e-08
Standard,2,1,KCl,0.1,94,2.9352849301397205e-06,3.8718609926560026e-08
Standard,2,1,KCl,0.1,95,2.9841107784431133e-06,4.256322369831512e-08
Standard,2,1,KCl,0.1,96,2.911252435129741e-06,4.428550201655481e-08
Standard,2,1,KCl,0.1,97,2.9192474650698604e-06,5.223890247852906e-08
