Type,Chip,Disp,Electrolyte,Potential [V],Pulse #,IDSdep (10sp 30sd) [A],Std IDSdep [A]
Standard,1,2,MgCl2,0.8,73,-7.752165449101797e-08,3.789740119420495e-08
Standard,1,2,MgCl2,0.8,74,-1.5363954331337326e-07,3.7271842254028986e-08
Standard,1,2,MgCl2,0.8,75,-1.607778518962076e-07,3.674742600328339e-08
Standard,1,2,MgCl2,0.8,76,-1.633714506986028e-07,3.9423226109755936e-08
Standard,1,2,MgCl2,0.8,77,-1.8852205628742522e-07,4.61565365864956e-08
Standard,1,2,MgCl2,0.8,78,-5.950942734530939e-08,3.956581716595611e-08
Standard,1,2,MgCl2,0.8,79,-1.33818875249501e-07,3.8055710737102054e-08
Standard,1,2,MgCl2,0.8,80,-1.4514498203592818e-07,4.051915611631311e-08
Standard,1,2,MgCl2,0.8,81,-1.8228796546906186e-07,3.9405835839789855e-08
Standard,1,2,MgCl2,0.8,82,-2.053684499001996e-07,3.993803443057636e-08
Standard,1,2,MgCl2,0.8,83,-2.0636784530938125e-07,3.897778069501292e-08
Standard,1,2,MgCl2,0.8,84,-1.876416972055889e-07,3.769090067317665e-08
Standard,1,2,MgCl2,0.8,85,-1.846436031936128e-07,4.023990290159547e-08
Standard,1,2,MgCl2,0.8,86,-1.846436075848304e-07,3.752812947246459e-08
Standard,1,2,MgCl2,0.8,87,-1.0369533393213573e-07,4.2567839267635934e-08
Standard,1,2,MgCl2,0.8,88,-1.4916620019960078e-07,3.4727349706555226e-08
Standard,1,2,MgCl2,0.8,89,-1.963504253493014e-07,3.959063914518097e-08
Standard,1,2,MgCl2,0.8,90,-2.074861602794411e-07,4.13872895180707e-08
Standard,1,2,MgCl2,0.8,91,-1.509983774451098e-07,3.780783459277283e-08
Standard,1,2,MgCl2,0.8,92,-1.3943432075848306e-07,3.889187499920317e-08
Standard,1,2,MgCl2,0.8,93,-1.5406783832335334e-07,3.297230915499746e-08
Standard,1,2,MgCl2,0.8,94,-2.048925568862276e-07,4.4815022682077193e-08
Standard,1,2,MgCl2,0.8,95,-2.36705497005988e-07,4.029069934531413e-08
Standard,1,2,MgCl2,0.8,96,-2.1928816367265465e-07,3.395162172134284e-08
Standard,1,2,MgCl2,0.8,97,-2.733485169660679e-07,3.8504846377854936e-08
Standard,1,2,MgCl2,0.8,98,-2.776315089820359e-07,4.06327060130928e-08
Standard,1,2,MgCl2,0.8,99,-1.941613385229541e-07,3.93810919884766e-08
Standard,1,2,MgCl2,0.8,100,-1.8947385548902205e-07,3.9978430445410813e-08
