Type,Chip,Disp,Electrolyte,Potential [V],Pulse #,IDSdep (10sp 30sd) [A],Std IDSdep [A]
Standard,1,3,MgCl2,0.1,1,4.959439960079841e-06,3.8759467524701656e-08
Standard,1,3,MgCl2,0.1,2,4.931171556886228e-06,3.843357315123405e-08
Standard,1,3,MgCl2,0.1,3,4.812176966067863e-06,4.0037994449982695e-08
Standard,1,3,MgCl2,0.1,4,4.759591057884231e-06,3.9948629461830666e-08
Standard,1,3,MgCl2,0.1,5,4.650636686626747e-06,3.67669980145184e-08
Standard,1,3,MgCl2,0.1,6,4.685019600798403e-06,4.026471092458409e-08
Standard,1,3,MgCl2,0.1,7,4.521576427145709e-06,3.6914787933959166e-08
Standard,1,3,MgCl2,0.1,8,4.6023828742514965e-06,3.637356897696676e-08
Standard,1,3,MgCl2,0.1,9,4.462092295409182e-06,3.742727084520799e-08
Standard,1,3,MgCl2,0.1,10,4.568237784431138e-06,4.1603094006112536e-08
Standard,1,3,MgCl2,0.1,11,4.405722834331338e-06,4.1061494268359226e-08
Standard,1,3,MgCl2,0.1,12,4.525050379241518e-06,3.596576526164686e-08
Standard,1,3,MgCl2,0.1,13,4.412266007984031e-06,3.640104934795066e-08
Standard,1,3,MgCl2,0.1,14,4.423711457085828e-06,3.8754568010399176e-08
Standard,1,3,MgCl2,0.1,15,4.390184730538923e-06,3.389364917174378e-08
Standard,1,3,MgCl2,0.1,16,4.36715243512974e-06,3.141614279408417e-08
Standard,1,3,MgCl2,0.1,17,4.315781177644711e-06,4.019541088246726e-08
Standard,1,3,MgCl2,0.1,18,4.335387784431139e-06,3.909346150037674e-08
Standard,1,3,MgCl2,0.1,19,4.246681636726547e-06,3.557306309717752e-08
Standard,1,3,MgCl2,0.1,20,4.336244371257485e-06,3.599953438940416e-08
Standard,1,3,MgCl2,0.1,21,4.203425209580838e-06,3.61078191782055e-08
Standard,1,3,MgCl2,0.1,22,4.25177377245509e-06,3.665530080547863e-08
Standard,1,3,MgCl2,0.1,23,4.2197474251497e-06,4.03855209395259e-08
Standard,1,3,MgCl2,0.1,24,4.1994277445109775e-06,3.5296900876742644e-08
Standard,1,3,MgCl2,0.1,25,4.190052794411177e-06,3.62179090088819e-08
Standard,1,3,MgCl2,0.1,26,4.228813073852296e-06,3.4518919376662764e-08
Standard,1,3,MgCl2,0.1,27,4.171564331337325e-06,3.401241163754785e-08
Standard,1,3,MgCl2,0.1,28,4.151196047904192e-06,4.001689730038671e-08
Standard,1,3,MgCl2,0.1,29,4.120263433133733e-06,4.4464344180365625e-08
Standard,1,3,MgCl2,0.1,30,4.235046946107784e-06,3.662830548708328e-08
Standard,1,3,MgCl2,0.1,31,4.143105948103792e-06,4.044047927694844e-08
Standard,1,3,MgCl2,0.1,32,4.160928023952096e-06,4.0006445089353136e-08
Standard,1,3,MgCl2,0.1,33,4.153599401197606e-06,4.161390020222472e-08
Standard,1,3,MgCl2,0.1,34,4.16799508982036e-06,3.7885969036596064e-08
Standard,1,3,MgCl2,0.1,35,4.073580319361278e-06,3.5737400004726225e-08
Standard,1,3,MgCl2,0.1,36,4.094518263473053e-06,4.0371609935429144e-08
Standard,1,3,MgCl2,0.1,37,4.117241596806387e-06,4.7515887606621684e-08
Standard,1,3,MgCl2,0.1,38,4.076387584830339e-06,3.803017674893564e-08
Standard,1,3,MgCl2,0.1,39,4.030891936127745e-06,3.838848953063818e-08
Standard,1,3,MgCl2,0.1,40,4.093685788423154e-06,3.6417740221314455e-08
Standard,1,3,MgCl2,0.1,41,4.068725788423154e-06,3.8800960988448994e-08
Standard,1,3,MgCl2,0.1,42,4.115885489021955e-06,4.585326799269999e-08
Standard,1,3,MgCl2,0.1,43,4.082478862275449e-06,3.6167310772339546e-08
