Type,Chip,Disp,Electrolyte,Potential [V],Pulse #,IDSdep (10sp 30sd) [A],Std IDSdep [A]
Standard,1,1,KCl,0.8,77,-1.0164902035928144e-07,3.90412652665959e-08
Standard,1,1,KCl,0.8,78,-1.245866868263473e-07,3.936456670479813e-08
Standard,1,1,KCl,0.8,79,-1.6322867784431138e-07,3.591624501539951e-08
Standard,1,1,KCl,0.8,80,-1.5689938423153693e-07,3.874557892598091e-08
Standard,1,1,KCl,0.8,81,-1.7495930838323352e-07,3.302616095618456e-08
Standard,1,1,KCl,0.8,82,-1.525212151696607e-07,3.43680823160852e-08
Standard,1,1,KCl,0.8,83,-1.2396805009980042e-07,4.3133901501014694e-08
Standard,1,1,KCl,0.8,84,-1.0912040339321361e-07,3.5576174594847723e-08
Standard,1,1,KCl,0.8,85,-2.408932854291417e-07,3.770623854420335e-08
Standard,1,1,KCl,0.8,86,-1.5944537365269464e-07,3.630501178611e-08
Standard,1,1,KCl,0.8,87,-1.8773688343313375e-07,3.652691412090959e-08
Standard,1,1,KCl,0.8,88,-2.9490608383233535e-07,3.563835708083305e-08
Standard,1,1,KCl,0.8,89,-2.4355822155688626e-07,3.9237183021476214e-08
Standard,1,1,KCl,0.8,90,-1.5209291896207588e-07,3.678842592990651e-08
Standard,1,1,KCl,0.8,91,-1.827400644710579e-07,3.74199481331946e-08
Standard,1,1,KCl,0.8,92,-1.489520784431138e-07,4.3459171863178603e-08
Standard,1,1,KCl,0.8,93,-2.149575924151697e-07,3.591145468266334e-08
Standard,1,1,KCl,0.8,94,-2.4246368662674656e-07,4.133067017907651e-08
Standard,1,1,KCl,0.8,95,-1.2132686127744512e-07,3.6646700593298405e-08
Standard,1,1,KCl,0.8,96,-2.0315557724550898e-07,4.6482882996259945e-08
Standard,1,1,KCl,0.8,97,-9.598599740518964e-08,4.35093980270016e-08
Standard,1,1,KCl,0.8,98,-1.5766079321357286e-07,3.7605020920511624e-08
Standard,1,1,KCl,0.8,99,-1.7084287984031937e-07,4.0154385809709655e-08
Standard,1,1,KCl,0.8,100,-1.7084287984031937e-07,4.0154385809709655e-08
