Type,Electrolyte,Potential [V],Period [s],Rat_first,Rat_first.1
Bicamada,MgCl2,0.5,0.0010000000000000009,0.657536044314716,0.06792066701594537
Bicamada,MgCl2,0.5,0.001999999999999988,0.8042814115732595,0.03712419901630926
Bicamada,MgCl2,0.5,0.0049999999999999906,0.9547029114264795,0.04744603852327324
Bicamada,MgCl2,0.5,0.009999999999999995,0.9523875553662949,0.09000434776720494
Bicamada,MgCl2,0.5,0.01999999999999999,1.0290632627745533,0.02149805745701478
Bicamada,MgCl2,0.5,0.04000000000000001,1.0119993731937325,0.03313484361272837
Bicamada,MgCl2,0.5,0.04999999999999999,1.015686350463507,0.03613111136334771
Bicamada,MgCl2,0.5,0.07999999999999999,1.0035051012423364,0.032186468803138794
Bicamada,MgCl2,0.5,0.1,1.122924430528361,0.3186780725732728
Bicamada,MgCl2,0.5,0.19999999999999998,0.9579746431963644,0.08690059068293207
Bicamada,MgCl2,0.5,0.4,1.027428401484494,0.008897032493261448
Bicamada,MgCl2,0.5,0.5,1.0169698805052778,0.05319606170430477
Bicamada,MgCl2,0.5,0.75,0.9884231767978177,0.02395567618507394
Bicamada,MgCl2,0.5,1.0,0.9888148204789786,0.03065961037868668
Bicamada,MgCl2,0.5,1.5,0.985535946873842,0.03573141788053416
Bicamada,MgCl2,0.5,2.0,0.9693576133645502,0.010170404512523263
