Type,Electrolyte,Potential [V],Period [s],Rat_first
Enode,KCl,-0.8,0.101,1.0774145146929366
Enode,KCl,-0.8,0.102,0.8721610994690826
Enode,KCl,-0.8,0.105,1.3317330712377793
Enode,KCl,-0.8,0.11,0.9501939476320261
Enode,KCl,-0.8,0.12,0.9630040354626018
Enode,KCl,-0.8,0.14,0.9742298464326247
Enode,KCl,-0.8,0.15,0.9748552309652377
Enode,KCl,-0.8,0.18,0.963348778358247
Enode,KCl,-0.8,0.2,0.9739898917469514
Enode,KCl,-0.8,0.3,1.3953495659645327
Enode,KCl,-0.8,0.5,1.0857585104609255
Enode,KCl,-0.8,0.6,1.0588901133354935
Enode,KCl,-0.8,0.85,1.0526173183938126
Enode,KCl,-0.8,1.1,1.0161125784867957
Enode,KCl,-0.8,1.6,1.030918757190596
Enode,KCl,-0.8,2.1,1.0288801822078175
