Type,Electrolyte,Potential [V],Period [s],Rat_first,Rat_first.1
Standard,MgCl2,0.8,0.0010000000000000009,0.778173547626151,0.01569410759552258
Standard,MgCl2,0.8,0.001999999999999988,0.897798681912629,0.016156925558481167
Standard,MgCl2,0.8,0.0049999999999999906,0.9793133925581569,0.035369666119671316
Standard,MgCl2,0.8,0.009999999999999995,1.028226770835613,0.000996437704176073
Standard,MgCl2,0.8,0.01999999999999999,1.0114659159145836,0.014088953833913457
Standard,MgCl2,0.8,0.04000000000000001,1.028674272272965,0.01790736706982085
Standard,MgCl2,0.8,0.04999999999999999,0.9995603372745618,0.012054961804423586
Standard,MgCl2,0.8,0.07999999999999999,1.0447631598019502,0.0074227343395071995
Standard,MgCl2,0.8,0.1,1.0118805381048503,0.04512793242959229
Standard,MgCl2,0.8,0.19999999999999998,1.0196205454967249,0.037733212171729806
Standard,MgCl2,0.8,0.4,1.0059805186917565,0.01665786050863983
Standard,MgCl2,0.8,0.5,1.0291840146842854,0.03287230618968491
Standard,MgCl2,0.8,0.75,1.0261934993541315,0.007419235442879267
Standard,MgCl2,0.8,1.0,1.0143286888966216,0.009983608809414181
Standard,MgCl2,0.8,1.5,1.0018689325900767,0.026845529263735863
Standard,MgCl2,0.8,2.0,1.0170077290770763,0.021812797059805017
