Type,Electrolyte,Potential [V],Period [s],Rat_first,Rat_first.1
PoliDopamina,KCl,0.8,0.0010000000000000009,0.22608939888436635,0.06639615043752267
PoliDopamina,KCl,0.8,0.001999999999999988,0.4298211612700449,0.018635755335148774
PoliDopamina,KCl,0.8,0.0049999999999999906,0.6448554583797907,0.006501937213430761
PoliDopamina,KCl,0.8,0.009999999999999995,0.68115414540374,0.08833216820951616
PoliDopamina,KCl,0.8,0.01999999999999999,0.7795308874604736,0.10740320981038064
PoliDopamina,KCl,0.8,0.04000000000000001,0.8966333494337592,0.006174940785249982
PoliDopamina,KCl,0.8,0.04999999999999999,0.9133989193216747,0.004196755100872961
PoliDopamina,KCl,0.8,0.07999999999999999,0.947257834291348,0.03262690166174129
PoliDopamina,KCl,0.8,0.1,0.9316090349585384,0.048493484279718634
PoliDopamina,KCl,0.8,0.19999999999999998,0.980776477725634,0.007494537521877806
PoliDopamina,KCl,0.8,0.4,0.9882295198655049,0.02372040824341458
PoliDopamina,KCl,0.8,0.5,1.012435346920764,0.039486577966122136
PoliDopamina,KCl,0.8,0.75,1.0297916537974638,0.05492886802456074
PoliDopamina,KCl,0.8,1.0,1.031304874526107,0.005317554229475668
PoliDopamina,KCl,0.8,1.5,0.9913667003461264,0.08684090612981027
PoliDopamina,KCl,0.8,2.0,1.0268163806869248,0.08603360371288712
