Type,Electrolyte,Potential [V],Period [s],Rat_first,Rat_first.1
PoliDopamina,KCl,-0.8,0.0010000000000000009,0.9191864171299835,0.10047836475970787
PoliDopamina,KCl,-0.8,0.001999999999999988,0.8391806896134606,0.023246141540707706
PoliDopamina,KCl,-0.8,0.0049999999999999906,0.9864771782919266,0.0046450300959691715
PoliDopamina,KCl,-0.8,0.009999999999999995,0.9717453725603763,0.016829772245463323
PoliDopamina,KCl,-0.8,0.01999999999999999,0.9649167390065161,0.01149630756263655
PoliDopamina,KCl,-0.8,0.04000000000000001,0.9536476707780361,0.016898511654670947
PoliDopamina,KCl,-0.8,0.04999999999999999,0.9275824638736199,0.025926010550057887
PoliDopamina,KCl,-0.8,0.07999999999999999,0.8077638000023944,0.01620821220392466
PoliDopamina,KCl,-0.8,0.1,0.8567149051794276,0.018729004333907225
PoliDopamina,KCl,-0.8,0.19999999999999998,0.8688926730579227,0.01720590534407237
PoliDopamina,KCl,-0.8,0.4,1.166565384975186,0.023075201207241783
PoliDopamina,KCl,-0.8,0.5,1.1614487517713676,0.013143827397588011
PoliDopamina,KCl,-0.8,0.75,0.9939254238503432,0.008590747976512762
PoliDopamina,KCl,-0.8,1.0,0.9921159233151462,0.011149768174509758
PoliDopamina,KCl,-0.8,1.5,0.9843744259731577,0.031098842302671435
PoliDopamina,KCl,-0.8,2.0,0.9786230055174292,0.02195718409101714
