Type,Electrolyte,Potential [V],Period [s],Rat_first,Rat_first.1
Bicamada,MgCl2,-0.5,0.0010000000000000009,1.1363311550167647,0.1357079203302282
Bicamada,MgCl2,-0.5,0.001999999999999988,1.307743275468131,0.09418857396458143
Bicamada,MgCl2,-0.5,0.0049999999999999906,1.372953520791896,0.06814405290072117
Bicamada,MgCl2,-0.5,0.009999999999999995,1.287576321235096,0.03159207793362009
Bicamada,MgCl2,-0.5,0.01999999999999999,1.0495933208846726,0.057970407206733646
Bicamada,MgCl2,-0.5,0.04000000000000001,0.9787712758490891,0.09782350492552928
Bicamada,MgCl2,-0.5,0.04999999999999999,0.797495994091454,0.04640430213403014
Bicamada,MgCl2,-0.5,0.07999999999999999,0.8642770497573472,0.04338097496658974
Bicamada,MgCl2,-0.5,0.1,0.9078299441868781,0.003261393213079712
Bicamada,MgCl2,-0.5,0.19999999999999998,0.9370938221122844,0.022714812546806507
Bicamada,MgCl2,-0.5,0.4,1.7377588242919393,0.08112994227591609
Bicamada,MgCl2,-0.5,0.5,1.2854583847950567,0.036726698241949504
Bicamada,MgCl2,-0.5,0.75,1.0957922315347128,0.11198834037931962
Bicamada,MgCl2,-0.5,1.0,0.7955151159963406,0.07713177998353257
Bicamada,MgCl2,-0.5,1.5,0.742507309887638,0.017658433745425733
Bicamada,MgCl2,-0.5,2.0,0.7667042761642925,0.0807793593155945
