Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
Standard,KCl,-0.7,10.0,0.2,1.0606477285429142e-05,3.240312111863357e-06,1.0359628456420495e-05,3.132513864790442e-06,-2.4684882900864895e-07,1.0967396794950148e-07,0.9772704035876142,0.003202766160135011
Standard,KCl,-0.6,10.0,0.2,1.0109829627411843e-05,3.086507750747968e-06,1.015024119095143e-05,3.0635645848597575e-06,4.0411563539587286e-08,4.454282549645996e-08,1.0048011954588354,0.006253275324378999
Standard,KCl,-0.5,10.0,0.2,9.873335049900202e-06,2.980795871024568e-06,1.0001008556220893e-05,3.0150007186099317e-06,1.2767350632069193e-07,3.5121194941294416e-08,1.0130407446846657,0.0011358191858177047
Standard,KCl,-0.4,10.0,0.2,9.822913932135727e-06,2.9976798759216054e-06,9.961535056553561e-06,3.0182596552466643e-06,1.3862112441783183e-07,2.2907813215722532e-08,1.0145196279367068,0.0021728402742903397
Standard,KCl,-0.3,10.0,0.2,9.833740372588157e-06,2.9814981379884037e-06,9.955753113772456e-06,3.024373457723127e-06,1.220127411842985e-07,4.299178554891086e-08,1.0122786932427104,0.0007871669347634015
Standard,KCl,-0.2,10.0,0.2,9.888365349301398e-06,2.989378012304526e-06,9.97815107119095e-06,3.0138813698906277e-06,8.978572188955346e-08,2.755750817233671e-08,1.0090936813991984,0.0014206100556931867
Standard,KCl,-0.1,10.0,0.2,1.0001341976047904e-05,3.0515724972712367e-06,1.003268628077179e-05,3.0655331827781925e-06,3.134430472388545e-08,3.037371601384959e-08,1.0031354266623713,0.0030064844927658115
Standard,KCl,0.1,10.0,0.2,1.004006268795742e-05,3.0246308721987563e-06,1.0030719268130404e-05,3.0532304964021098e-06,-9.34341982701373e-09,3.756185699021741e-08,0.9983798293383384,0.0047293222145273275
Standard,KCl,0.2,10.0,0.2,9.92874608782435e-06,3.00620347733717e-06,9.965222302062543e-06,2.9990020880522665e-06,3.647621423819177e-08,3.59480092255224e-08,1.0041529668818632,0.004930236124651516
Standard,KCl,0.3,10.0,0.2,9.84705731204258e-06,2.9748437908487564e-06,9.894099667332003e-06,2.988930923964646e-06,4.704235528942171e-08,1.4139987260733492e-08,1.0047835641244107,0.00014733127747268567
Standard,KCl,0.4,10.0,0.2,9.763566393878907e-06,2.926505131642472e-06,9.889015515635397e-06,2.975767585117382e-06,1.2544912175648797e-07,5.327445571681694e-08,1.0126795723145927,0.0023770189442908615
Standard,KCl,0.5,10.0,0.2,9.730976420492347e-06,2.930952653955488e-06,9.936978988689289e-06,3.0063977923746746e-06,2.0600256819693991e-07,1.0198550793843684e-07,1.0211305495674574,0.007974314142747407
Standard,KCl,0.6,10.0,0.2,9.721521623419828e-06,2.940825819184561e-06,1.0169196759813705e-05,3.119740478292297e-06,4.476751363938775e-07,2.0408132273232755e-07,1.0455141409681097,0.011627858003219237
Standard,KCl,0.7,10.0,0.2,9.847146373918829e-06,3.0011122369209923e-06,1.068745619427811e-05,3.3320034211598043e-06,8.403098203592811e-07,3.4285974710153693e-07,1.08415014633844,0.011712503295132308
