Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
Standard,MgCl2,-0.7,0.01,0.2,1.130423593895775e-05,4.024549902446237e-06,1.1250781880581102e-05,4.0277049391099735e-06,-5.345405837665e-08,1.5765056714069994e-08,0.9946286371457465,0.002911193675177371
Standard,MgCl2,-0.6,0.01,0.2,1.1347796449420233e-05,4.0520867299808965e-06,1.134160637744902e-05,4.074473106867483e-06,-6.190071971211498e-09,2.6687474864513634e-08,0.9987175225411509,0.0033024601568541214
Standard,MgCl2,-0.5,0.01,0.2,1.147438057576969e-05,4.081413911276744e-06,1.148466768092763e-05,4.110152653865905e-06,1.0287105157937042e-08,2.9603360110430378e-08,1.0001728414844255,0.0030845032501321742
Standard,MgCl2,-0.4,0.01,0.2,1.1606941608689856e-05,4.088461768774075e-06,1.1642940395841664e-05,4.123580106687202e-06,3.59987871518062e-08,3.571177137659517e-08,1.0024715724106354,0.0027122427857524697
Standard,MgCl2,-0.3,0.01,0.2,1.1792444967346394e-05,4.169169486248286e-06,1.1804215323204053e-05,4.1766863805142145e-06,1.1770355857657044e-08,4.9697582063506545e-08,1.000870573305013,0.0035304160454729836
Standard,MgCl2,-0.2,0.01,0.2,1.1951401952552312e-05,4.212511786559483e-06,1.199434755564441e-05,4.252281966597891e-06,4.294560309209632e-08,3.9848278432088126e-08,1.0029179315926886,0.0028761755292176254
Standard,MgCl2,-0.1,0.01,0.2,1.2216502558976408e-05,4.288685883567244e-06,1.2225446710649075e-05,4.297986966902884e-06,8.944151672665071e-09,2.7022437583524745e-08,1.0005864248656575,0.0018257563775014832
Standard,MgCl2,0.1,0.01,0.2,1.235712956284153e-05,4.356009246987154e-06,1.236996144875383e-05,4.348572645595489e-06,1.2831885912301829e-08,1.0549474277414334e-08,1.001362150206904,0.0014808699988168637
Standard,MgCl2,0.2,0.01,0.2,1.2079314894042384e-05,4.226918521017909e-06,1.209545339330934e-05,4.255795689482169e-06,1.6138499266958536e-08,3.3728097713455974e-08,1.0006996399332604,0.003013237288561566
Standard,MgCl2,0.3,0.01,0.2,1.1879184703451953e-05,4.201781681878966e-06,1.1901109598827137e-05,4.207533441674855e-06,2.1924895375185282e-08,2.8642284243015444e-08,1.0018800633065927,0.0019691799679618536
Standard,MgCl2,0.4,0.01,0.2,1.1676479428228708e-05,4.120722786421691e-06,1.1728433703851792e-05,4.155963397057886e-06,5.1954275623084426e-08,3.524397747411219e-08,1.0039733886128763,0.0020236770280280133
Standard,MgCl2,0.5,0.01,0.2,1.1531839181660668e-05,4.11588685906002e-06,1.155703825936292e-05,4.121217942220737e-06,2.5199077702251714e-08,2.5774120862613458e-08,1.0022732048892533,0.001845540042636471
Standard,MgCl2,0.6,0.01,0.2,1.1371555872317738e-05,4.077253193851074e-06,1.1462321671331466e-05,4.12322493136244e-06,9.076579901372662e-08,4.758297220851827e-08,1.0075746698853048,0.0019482358050968726
Standard,MgCl2,0.7,0.01,0.2,1.1289761591363455e-05,4.0254167344682e-06,1.1387701278155405e-05,4.093791656205242e-06,9.793968679195009e-08,6.850285172497844e-08,1.0076886239525158,0.004154338317351418
