Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
Standard,KCl,-0.5,0.01,0.4,1.9485990297214448e-05,6.601945301916704e-06,1.9559979674796748e-05,6.730063661815745e-06,7.398937758230277e-08,1.4564102628786935e-07,1.0027663300705594,0.005620656474805948
Standard,KCl,-0.4,0.01,0.4,1.971696711981874e-05,6.672016700933173e-06,1.9785412741570042e-05,6.710968659744221e-06,6.844562175129986e-08,5.225444118964312e-08,1.0033640045381913,0.0019799380934435776
Standard,KCl,-0.3,0.01,0.4,2.0031326802612287e-05,6.7437886004555985e-06,2.0104529148340663e-05,6.7836431261873125e-06,7.3202345728374e-08,5.3047392660973456e-08,1.0035561449467556,0.0019458229431372404
Standard,KCl,-0.2,0.01,0.4,2.0447477902172465e-05,6.838508068417556e-06,2.047525755031321e-05,6.8900355631788786e-06,2.777964814074368e-08,5.219993040396255e-08,1.0009176860297178,0.0019804462080479997
Standard,KCl,-0.1,0.01,0.4,2.106969069705451e-05,6.923781548898647e-06,2.1067969652139144e-05,6.960923792230194e-06,-1.7210449153704561e-09,3.941120580029272e-08,0.9995059456885446,0.0021468045232047117
Standard,KCl,0.1,0.01,0.4,2.1560291776622683e-05,7.008660559401215e-06,2.1504278621884583e-05,7.005150204679144e-06,-5.601315473810625e-08,9.606344894222531e-09,0.9972712917766172,0.0007031602593976453
Standard,KCl,0.2,0.01,0.4,2.074073241370119e-05,6.887471989490805e-06,2.0736748460615753e-05,6.942403445700726e-06,-3.98395308543401e-09,5.688643031495802e-08,0.9991832645202278,0.0031081706491854766
Standard,KCl,0.3,0.01,0.4,2.022937551646008e-05,6.789687882913766e-06,2.0302244902039183e-05,6.829937351773801e-06,7.286938557910088e-08,4.8831168009481425e-08,1.0034838360722516,0.0015388896239830088
Standard,KCl,0.4,0.01,0.4,1.981687594295615e-05,6.695473369499344e-06,1.9932849300279886e-05,6.742365690904991e-06,1.1597335732373689e-07,4.99831757593861e-08,1.0058005901917388,0.0009765108871397632
Standard,KCl,0.5,0.01,0.4,1.9571000093296017e-05,6.661513556518364e-06,1.9685721711315475e-05,6.723964698026175e-06,1.1472161801946053e-07,6.82561479967502e-08,1.0056510824483913,0.0017153452841307017
