Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
Standard,MgCl2,-0.5,40.0,0.4,2.1741220105820106e-05,7.338667703602295e-06,2.170205264550265e-05,7.593959914804134e-06,-3.916746031745521e-08,3.7652132708679005e-07,0.9944736389187825,0.019755399964682827
Standard,MgCl2,-0.4,40.0,0.4,2.088817857142857e-05,7.117167366843182e-06,2.1238997089947086e-05,7.390647902626661e-06,3.508185185185177e-07,3.0436149012839364e-07,1.0145212972901139,0.011364225441463255
Standard,MgCl2,-0.3,40.0,0.4,2.0332881216931214e-05,6.9346481124586096e-06,2.0809214021164018e-05,7.196993635360286e-06,4.7633280423280445e-07,2.659996847231677e-07,1.0218817462713414,0.007061665856100572
Standard,MgCl2,-0.2,40.0,0.4,2.012725740740741e-05,6.87608132217398e-06,2.0520078571428576e-05,7.044541383916182e-06,3.9282116402116564e-07,1.7004108091576367e-07,1.0189791598493834,0.0025625271060710827
Standard,MgCl2,-0.1,40.0,0.4,1.9911613756613755e-05,6.606836776262224e-06,2.01826373015873e-05,6.825270510258448e-06,2.710235449735436e-07,2.503858289542435e-07,1.011653008707153,0.01037847275808759
Standard,MgCl2,0.1,40.0,0.4,2.0095220105820106e-05,6.783298229016024e-06,2.026197936507936e-05,6.813008633491584e-06,1.6675925925925937e-07,9.10972499008041e-08,1.0087084253314265,0.004021680574757656
Standard,MgCl2,0.2,40.0,0.4,1.9904382275132272e-05,6.715619924955476e-06,2.0333317724867724e-05,6.932906840830429e-06,4.2893544973545116e-07,3.0411587788144067e-07,1.020461002948197,0.01032001548445561
Standard,MgCl2,0.3,40.0,0.4,1.999045343915344e-05,6.811376981513287e-06,2.073251746031746e-05,7.104562254966618e-06,7.420640211640207e-07,3.100988303896871e-07,1.0365165959490374,0.0050464695096547225
Standard,MgCl2,0.4,40.0,0.4,2.0072284126984124e-05,6.874793688668718e-06,2.164377433862434e-05,7.444936926703128e-06,1.5714902116402157e-06,6.040006249091262e-07,1.0778730867806483,0.008804827975585088
Standard,MgCl2,0.5,40.0,0.4,2.029105740740741e-05,6.949479082201201e-06,2.327103756613757e-05,7.949288101199659e-06,2.9799801587301615e-06,1.056816188417976e-06,1.1473748931943808,0.015258894094959126
