Type,Chip,Disp,Electrolyte,Potential [V],Period [s],Pulses #,IDSant (2-3s) [A],Std IDSant [A],"IDSdep (+3, +4s) [A]",Std IDSdep [A],delIDS [A],Std del IDS [A],RatioIDS,Std RazIDS
Standard,1,2,MgCl2,0.5,0.125,50,1.1140909950248755e-05,1.312826751726882e-07,1.0911148258706469e-05,1.3731674227658037e-07,-2.2976169154229e-07,1.899763893486513e-07,0.9793767571438668,0.0168851177197061
Standard,1,2,MgCl2,0.5,0.11,50,1.1115409452736318e-05,1.370118697784943e-07,1.0914232338308458e-05,1.297947560535672e-07,-2.0117711442786053e-07,1.887297834450199e-07,0.9819010612894394,0.016817853550267
Standard,1,2,MgCl2,0.5,0.105,50,1.1091388557213934e-05,1.326732132663109e-07,1.083772736318408e-05,1.294247070597901e-07,-2.536611940298548e-07,1.8534545129546745e-07,0.9771298974225484,0.0165160331146296
Standard,1,2,MgCl2,-0.8,0.25,10,9.997742487562187e-06,1.3785362653837274e-07,1.0178572288557216e-05,1.3099586598338265e-07,1.808298009950271e-07,1.901671350536614e-07,1.0180870632765338,0.0192025629349315
Standard,1,2,MgCl2,-0.8,0.15,10,1.1477778109452735e-05,1.234434498805341e-07,1.133882935323383e-05,1.3209779439521153e-07,-1.3894875621890709e-07,1.807985414832971e-07,0.9878941067779944,0.0156634438784403
Standard,1,2,MgCl2,-0.8,0.125,10,1.1560516417910448e-05,1.376280435779876e-07,1.137162686567164e-05,1.2439444390577425e-07,-1.888895522388076e-07,1.8551403195912506e-07,0.9836608032538956,0.015903436589042
Standard,1,2,MgCl2,-0.8,0.11,10,1.16314407960199e-05,1.4675408589665622e-07,1.1454533830845772e-05,1.2906504464707388e-07,-1.7690696517412934e-07,1.9543425359213346e-07,0.9847906232532548,0.01665862362295
Standard,1,2,MgCl2,-0.8,0.105,10,1.1605941791044776e-05,1.3188958429222578e-07,1.1455662189054729e-05,1.388754199388216e-07,-1.5027960199004949e-07,1.915234834373064e-07,0.9870514944245192,0.0164012093327703
Standard,1,2,MgCl2,-0.8,0.25,20,1.030940646766169e-05,1.3104842643832158e-07,1.0436211044776122e-05,1.3450826219754285e-07,1.2680457711443265e-07,1.8779287172670615e-07,1.012299891124886,0.0183251312494706
Standard,1,2,MgCl2,-0.8,0.15,20,1.103421343283582e-05,1.2968931593873416e-07,1.0978288557213931e-05,1.273166042525797e-07,-5.592487562188766e-08,1.817383734577396e-07,0.994931684441098,0.0164279857969328
Standard,1,2,MgCl2,-0.8,0.125,20,1.111024527363184e-05,1.3501002440578177e-07,1.1052062686567165e-05,1.3341766468780034e-07,-5.8182587064674535e-08,1.8981037890694e-07,0.9947631590813968,0.0170390596039148
Standard,1,2,MgCl2,-0.8,0.11,20,1.1143164676616917e-05,1.329975890609297e-07,1.111581791044776e-05,1.343921793766736e-07,-2.734676616915604e-08,1.8907569006520098e-07,0.9975458707680646,0.01694727216209
Standard,1,2,MgCl2,-0.8,0.105,20,1.1134262686567164e-05,1.2958504292836542e-07,1.108255024875622e-05,1.3570290310983722e-07,-5.171243781094679e-08,1.8763678014500299e-07,0.9953555579505652,0.0168149112109924
Standard,1,2,MgCl2,-0.8,0.25,50,1.0725870149253732e-05,1.255928445592249e-07,1.061715870646766e-05,1.3046910491115653e-07,-1.0871144278607297e-07,1.810959688695361e-07,0.989864557255186,0.0168019467808511
Standard,1,2,MgCl2,-0.8,0.15,50,1.1033676119402984e-05,1.217683785999704e-07,1.0931434825870649e-05,1.290684832989626e-07,-1.0224129353233842e-07,1.7744354428369693e-07,0.990733705391937,0.0160119926128909
Standard,1,2,MgCl2,-0.8,0.125,50,1.1028279104477613e-05,1.4002182815973402e-07,1.103041791044776e-05,1.3254648572335665e-07,2.13880597014876e-09,1.928073734036281e-07,1.0001939383243648,0.0174847855768375
Standard,1,2,MgCl2,-0.8,0.11,50,1.108847960199005e-05,1.282652311885059e-07,1.1063217412935324e-05,1.4530360506633577e-07,-2.526218905472548e-08,1.9381720041604808e-07,0.9977217625895084,0.0174617211295932
Standard,1,2,MgCl2,-0.8,0.105,50,1.0985164676616914e-05,1.4396392949631502e-07,1.1098147761194029e-05,1.3483699383871885e-07,1.1298308457711453e-07,1.9724763091982288e-07,1.0102850606161244,0.0180544318510561
Standard,1,2,MgCl2,0.8,0.25,10,9.812408656716416e-06,1.3482957454018225e-07,1.0540950248756215e-05,1.351714670795495e-07,7.285415920397995e-07,1.909197205191865e-07,1.0742469680511244,0.0201903734753556
Standard,1,2,MgCl2,0.8,0.15,10,1.089483830845771e-05,1.2456096368896794e-07,1.1351341791044776e-05,1.2291135970599337e-07,4.56503482587067e-07,1.749932456407975e-07,1.0419008956041762,0.0164064758578002
Standard,1,2,MgCl2,0.8,0.125,10,1.0917378606965172e-05,1.415314159119797e-07,1.1397184577114428e-05,1.336180227774129e-07,4.798059701492543e-07,1.9464048320170965e-07,1.0439488257596143,0.0182469793400179
Standard,1,2,MgCl2,0.8,0.11,10,1.1064578606965174e-05,1.303082713800234e-07,1.1492961691542287e-05,1.3200660845247233e-07,4.2838308457711493e-07,1.8548851787960938e-07,1.0387166199268942,0.0170875791768428
Standard,1,2,MgCl2,0.8,0.105,10,1.107821990049751e-05,1.2986788287328822e-07,1.15139592039801e-05,1.388016629128166e-07,4.357393034825893e-07,1.900830571864659e-07,1.0393329711267982,0.017476537209392
Standard,1,2,MgCl2,0.8,0.25,20,1.002176577114428e-05,1.270834476418051e-07,1.1020039800995024e-05,1.212499278678559e-07,9.982740298507446e-07,1.756466557395491e-07,1.0996105928483262,0.0184610226811216
Standard,1,2,MgCl2,0.8,0.15,20,1.0492316417910449e-05,1.2800281277809645e-07,1.1419189054726367e-05,1.375009268317925e-07,9.268726368159188e-07,1.8785958841301226e-07,1.088338227699056,0.0186554911169071
Standard,1,2,MgCl2,0.8,0.125,20,1.0480390547263682e-05,1.314132507025031e-07,1.141503383084577e-05,1.4161001394587608e-07,9.346432835820876e-07,1.931911967713595e-07,1.0891801960401288,0.0192117258509924
Standard,1,2,MgCl2,0.8,0.11,20,1.0558208457711445e-05,1.3014235850832517e-07,1.1383070149253732e-05,1.239391274153468e-07,8.248616915422887e-07,1.7971627856871234e-07,1.0781251568242936,0.017731265640802
Standard,1,2,MgCl2,0.8,0.105,20,1.0578017412935324e-05,1.3640833825420493e-07,1.139765870646766e-05,1.3218588213692998e-07,8.196412935323377e-07,1.899482618546217e-07,1.077485341679438,0.0186873942177609
Standard,1,2,MgCl2,0.8,0.25,50,1.0104496766169157e-05,1.2699354842664288e-07,1.180035024875622e-05,1.3748858648061618e-07,1.695853482587064e-06,1.871642934814971e-07,1.1678315627023552,0.0200141373152449
Standard,1,2,MgCl2,0.8,0.15,50,1.0283847960199004e-05,1.348651137407981e-07,1.1914760199004975e-05,1.3738406351524278e-07,1.63091223880597e-06,1.925174792383244e-07,1.1585896879376278,0.0202318481895243
Standard,1,2,MgCl2,0.8,0.125,50,1.0377018407960202e-05,1.385237709183976e-07,1.1912208457711442e-05,1.3536957921966625e-07,1.5351900497512402e-06,1.936846872820931e-07,1.1479413439773412,0.0201246035785159
Standard,1,2,MgCl2,0.8,0.11,50,1.0411417412935324e-05,1.2861987033609378e-07,1.1900404975124376e-05,1.374780206983081e-07,1.4889875621890536e-06,1.88263850009496e-07,1.1430148752214189,0.0193325766721796
Standard,1,2,MgCl2,0.8,0.105,50,1.036539552238806e-05,1.4232888403219758e-07,1.1890621393034826e-05,1.2731089540981874e-07,1.5252258706467658e-06,1.909596169872064e-07,1.1471459402926258,0.0199742113844901
Standard,1,1,KCl,-0.5,0.25,10,1.0126969850746269e-05,1.1947365962201712e-07,1.0268185074626864e-05,1.123998611036482e-07,1.4121522388059694e-07,1.6403561844793653e-07,1.0139444696648514,0.0163181065609603
Standard,1,1,KCl,-0.5,0.15,10,1.20605407960199e-05,1.16993946968906e-07,1.1878400995024876e-05,1.2185544919700966e-07,-1.821398009950239e-07,1.6892700827981357e-07,0.9848978744754852,0.0139055271263364
Standard,1,1,KCl,-0.5,0.125,10,1.2039423383084575e-05,9.991595268272993e-08,1.1931661194029852e-05,1.150029772943605e-07,-1.0776218905472344e-07,1.52344617190975e-07,0.9910492234033292,0.0126052192375141
Standard,1,1,KCl,-0.5,0.11,10,1.2203835820895522e-05,1.5788125984564386e-07,1.2062796019900497e-05,1.4497576343678837e-07,-1.4103980099502526e-07,2.143465982807456e-07,0.988442994230262,0.0174540370354143
Standard,1,1,KCl,-0.5,0.105,10,1.2114334825870644e-05,1.2953923761198582e-07,1.2011251243781094e-05,1.3057310370419036e-07,-1.0308358208955157e-07,1.839286532654436e-07,0.9914907765410764,0.0151187830944384
Standard,1,1,KCl,-0.5,0.25,20,1.0492614925373134e-05,1.2688587579442925e-07,1.0581573134328356e-05,1.2821798342910724e-07,8.89582089552223e-08,1.8038812807595225e-07,1.0084781734189163,0.017264184215244
Standard,1,1,KCl,-0.5,0.15,20,1.129795870646766e-05,1.445518275094382e-07,1.132381791044776e-05,1.3096965861455045e-07,2.5859203980099668e-08,1.950596891054896e-07,1.0022888385992503,0.0172867511766908
Standard,1,1,KCl,-0.5,0.125,20,1.1458625870646765e-05,1.4175201595519957e-07,1.1452698009950248e-05,1.2700281648853248e-07,-5.9278606965169605e-09,1.9032432693532125e-07,0.9994826726377636,0.0166049331002036
