Cycle #	V	ids_Oupt01__--0.1000	ABS_ids_Oupt01__--0.1000	deviation	igs_Oupt02__--0.1000	ABS_igs_Oupt02__--0.1000	deviation.1	time_Oupt03__--0.1000	ABS_time_Oupt03__--0.1000	deviation.2	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	gm [S]	|gm| [S]
0.0	-0.32	6.48265e-05	6.48265e-05	1.732051e-10	-1.278323e-09	1.278323e-09	1.270898e-10	1342058.0	1342058.0										-1.5424999999997299e-06	1.5424999999997299e-06
0.0	-0.3	6.47965e-05	6.47965e-05	7.549834e-10	-9.771167e-10	9.771167e-10	1.450637e-10	1342059.0	1342059.0										-1.3825000000002464e-06	1.3825000000002464e-06
0.0	-0.28	6.47712e-05	6.47712e-05	7e-10	-6.6638e-10	6.6638e-10	2.183809e-10	1342060.0	1342060.0										-1.305000000000273e-06	1.305000000000273e-06
0.0	-0.26	6.47443e-05	6.47443e-05	6e-10	-4.069007e-10	4.069007e-10	1.965339e-10	1342060.0	1342060.0										-1.3249999999999373e-06	1.3249999999999373e-06
0.0	-0.24	6.47182e-05	6.47182e-05	1.2e-09	-2.19345e-10	2.19345e-10	1.157988e-10	1342061.0	1342061.0										-1.2349999999998213e-06	1.2349999999998213e-06
0.0	-0.22	6.46949e-05	6.46949e-05	5.196152e-10	-8.861207e-11	8.861207e-11	1.022306e-10	1342062.0	1342062.0										-1.1200000000000706e-06	1.1200000000000706e-06
0.0	-0.2	6.46734e-05	6.46734e-05	1.178983e-09	1.35105e-11	1.35105e-11	9.775422e-11	1342062.0	1342062.0										-1.2217499999998566e-06	1.2217499999998566e-06
0.0	-0.18	6.464603e-05	6.464603e-05	7.505553e-10	9.218861e-11	9.218861e-11	1.041589e-10	1342063.0	1342063.0										-1.1467499999998684e-06	1.1467499999998684e-06
0.0	-0.16	6.462753e-05	6.462753e-05	3.785939e-10	1.974902e-10	1.974902e-10	1.03282e-10	1342063.0	1342063.0										-9.265000000002223e-07	9.265000000002223e-07
0.0	-0.14	6.460897e-05	6.460897e-05	1.527525e-10	2.861023e-10	2.861023e-10	1.008637e-10	1342064.0	1342064.0										-8.365000000001063e-07	8.365000000001063e-07
0.0	-0.12	6.459407e-05	6.459407e-05	2.136196e-09	3.802777e-10	3.802777e-10	1.157067e-10	1342065.0	1342065.0										-8.017499999999657e-07	8.017499999999657e-07
0.0	-0.1	6.45769e-05	6.45769e-05	2.179449e-09	2.7736e-10	2.7736e-10	1.548452e-10	1342065.0	1342065.0										-7.675000000002125e-07	7.675000000002125e-07
0.0	-0.08	6.456337e-05	6.456337e-05	9.814955e-10	5.23726e-10	5.23726e-10	1.157272e-10	1342066.0	1342066.0										-6.032499999999302e-07	6.032499999999302e-07
0.0	-0.06	6.455277e-05	6.455277e-05	3.21455e-10	6.850563e-10	6.850563e-10	1.223643e-10	1342067.0	1342067.0										-4.167500000000837e-07	4.167500000000837e-07
0.0	-0.04	6.45467e-05	6.45467e-05	8.888194e-10	8.217493e-10	8.217493e-10	1.454366e-10	1342067.0	1342067.0										-3.5500000000027697e-07	3.5500000000027697e-07
0.0	-0.02	6.453857e-05	6.453857e-05	1.266228e-09	9.73544e-10	9.73544e-10	1.379268e-10	1342068.0	1342068.0										-3.950000000000394e-07	3.950000000000394e-07
0.0	0.0	6.45309e-05	6.45309e-05	1e-10	1.152357e-09	1.152357e-09	1.391068e-10	1342068.0	1342068.0										-1.9099999999986315e-07	1.9099999999986315e-07
0.0	0.02	6.453093e-05	6.453093e-05	2.309401e-10	1.375277e-09	1.375277e-09	1.766437e-10	1342069.0	1342069.0										-2.1750000000044303e-08	2.1750000000044303e-08
0.0	0.04	6.453003e-05	6.453003e-05	1.761628e-09	1.56482e-09	1.56482e-09	1.577894e-10	1342070.0	1342070.0										-2.4649999999992386e-07	2.4649999999992386e-07
0.0	0.06	6.452107e-05	6.452107e-05	3.785939e-10	1.812777e-09	1.812777e-09	1.632668e-10	1342070.0	1342070.0										-1.9574999999953137e-07	1.9574999999953137e-07
0.0	0.08	6.45222e-05	6.45222e-05	1.352775e-09	2.056757e-09	2.056757e-09	1.505088e-10	1342071.0	1342071.0										7.999999999995858e-08	7.999999999995858e-08
0.0	0.1	6.452427e-05	6.452427e-05	8.144528e-10	2.293587e-09	2.293587e-09	1.803006e-10	1342071.0	1342071.0										6.500000000004766e-08	6.500000000004766e-08
0.0	0.12	6.45248e-05	6.45248e-05	7.937254e-10	2.595583e-09	2.595583e-09	1.710248e-10	1342072.0	1342072.0										8.324999999998264e-08	8.324999999998264e-08
0.0	0.14	6.45276e-05	6.45276e-05	4.582576e-10	2.890827e-09	2.890827e-09	1.985092e-10	1342073.0	1342073.0										8.075000000021433e-08	8.075000000021433e-08
0.0	0.16	6.452803e-05	6.452803e-05	1.22202e-09	3.234547e-09	3.234547e-09	1.961148e-10	1342073.0	1342073.0										1.2824999999993224e-07	1.2824999999993224e-07
0.0	0.18	6.453273e-05	6.453273e-05	7.571878e-10	3.50237e-09	3.50237e-09	1.933957e-10	1342074.0	1342074.0										1.2924999999983956e-07	1.2924999999983956e-07
0.0	0.2	6.45332e-05	6.45332e-05	7e-10	3.869137e-09	3.869137e-09	2.142538e-10	1342074.0	1342074.0										1.58500000000273e-07	1.58500000000273e-07
0.0	0.22	6.453907e-05	6.453907e-05	2.081666e-10	4.21961e-09	4.21961e-09	2.033601e-10	1342075.0	1342075.0										2.1574999999984627e-07	2.1574999999984627e-07
0.0	0.24	6.454183e-05	6.454183e-05	6.027714e-10	4.579227e-09	4.579227e-09	2.226508e-10	1342076.0	1342076.0										2.164999999998852e-07	2.164999999998852e-07
0.0	0.26	6.454773e-05	6.454773e-05	7.094599e-10	4.99924e-09	4.99924e-09	2.247747e-10	1342076.0	1342076.0										1.7925000000019314e-07	1.7925000000019314e-07
0.0	0.28	6.4549e-05	6.4549e-05	6.082763e-10	5.406143e-09	5.406143e-09	2.580193e-10	1342077.0	1342077.0										1.0674999999997319e-07	1.0674999999997319e-07
0.0	0.3	6.4552e-05	6.4552e-05	3.605551e-10	5.888937e-09	5.888937e-09	2.540785e-10	1342077.0	1342077.0										3.1500000000008084e-07	3.1500000000008084e-07
0.0	0.32	6.45616e-05	6.45616e-05	4.358899e-10	6.3928e-09	6.3928e-09	2.57366e-10	1342078.0	1342078.0										4.282499999998853e-07	4.282499999998853e-07
0.0	0.34	6.456913e-05	6.456913e-05	6.658328e-10	6.901823e-09	6.901823e-09	2.789508e-10	1342079.0	1342079.0										3.492500000000509e-07	3.492500000000509e-07
0.0	0.36	6.457557e-05	6.457557e-05	5.033223e-10	7.47482e-09	7.47482e-09	2.879001e-10	1342079.0	1342079.0										3.842500000000599e-07	3.842500000000599e-07
0.0	0.38	6.45845e-05	6.45845e-05	1.03923e-09	8.13961e-09	8.13961e-09	2.732561e-10	1342080.0	1342080.0										3.9750000000002457e-07	3.9750000000002457e-07
0.0	0.4	6.459147e-05	6.459147e-05	1.011599e-09	8.20001e-09	8.20001e-09	4.360303e-10	1342081.0	1342081.0										2.5250000000001833e-07	2.5250000000001833e-07
0.0	0.42	6.45946e-05	6.45946e-05	3.605551e-10	9.181897e-09	9.181897e-09	2.903668e-10	1342081.0	1342081.0										3.1324999999991776e-07	3.1324999999991776e-07
0.0	0.44	6.4604e-05	6.4604e-05	9.643651e-10	1.015463e-08	1.015463e-08	3.142865e-10	1342082.0	1342082.0										3.5175000000003606e-07	3.5175000000003606e-07
0.0	0.46	6.460867e-05	6.460867e-05	1.154701e-10	1.114967e-08	1.114967e-08	3.281153e-10	1342082.0	1342082.0										2.0425000000004467e-07	2.0425000000004467e-07
0.0	0.48	6.461217e-05	6.461217e-05	3.21455e-10	1.225197e-08	1.225197e-08	3.362372e-10	1342083.0	1342083.0										1.915000000002505e-07	1.915000000002505e-07
0.0	0.5	6.461633e-05	6.461633e-05	6.658328e-10	1.35108e-08	1.35108e-08	3.422302e-10	1342084.0	1342084.0										3.674999999999859e-07	3.674999999999859e-07
0.0	0.52	6.462687e-05	6.462687e-05	4.163332e-10	1.497947e-08	1.497947e-08	3.717809e-10	1342084.0	1342084.0										4.110000000000745e-07	4.110000000000745e-07
0.0	0.54	6.463277e-05	6.463277e-05	3.21455e-10	1.661697e-08	1.661697e-08	3.314941e-10	1342085.0	1342085.0										4.007500000002655e-07	4.007500000002655e-07
0.0	0.56	6.46429e-05	6.46429e-05	8e-10	1.85871e-08	1.85871e-08	3.920685e-10	1342085.0	1342085.0										4.1574999999995955e-07	4.1574999999995955e-07
0.0	0.58	6.46494e-05	6.46494e-05	9.539392e-10	2.087553e-08	2.087553e-08	4.185453e-10	1342086.0	1342086.0										1.842499999999466e-07	1.842499999999466e-07
0.0	0.6	6.465027e-05	6.465027e-05	1.250333e-09	2.35693e-08	2.35693e-08	4.685005e-10	1342087.0	1342087.0											
0.0	0.58	6.46409e-05	6.46409e-05	4.358899e-10	1.407663e-08	1.407663e-08	5.629363e-11	1342087.0	1342087.0										5.334999999999975e-07	5.334999999999975e-07
0.0	0.56	6.462893e-05	6.462893e-05	7.094599e-10	8.820693e-09	8.820693e-09	1.490164e-10	1342088.0	1342088.0										5.957500000001916e-07	5.957500000001916e-07
0.0	0.54	6.461707e-05	6.461707e-05	2.516611e-10	5.2019e-09	5.2019e-09	1.910935e-10	1342088.0	1342088.0										5.215000000002423e-07	5.215000000002423e-07
0.0	0.52	6.460807e-05	6.460807e-05	2.309401e-10	2.567373e-09	2.567373e-09	1.806554e-10	1342089.0	1342089.0										4.1499999999992064e-07	4.1499999999992064e-07
0.0	0.5	6.460047e-05	6.460047e-05	1.563117e-09	2.23716e-10	2.23716e-10	1.942281e-10	1342090.0	1342090.0										4.2174999999962035e-07	4.2174999999962035e-07
0.0	0.48	6.45912e-05	6.45912e-05	1.75784e-09	-1.113809e-09	1.113809e-09	2.507838e-10	1342090.0	1342090.0										4.2500000000029493e-07	4.2500000000029493e-07
0.0	0.46	6.458347e-05	6.458347e-05	1.078579e-09	-2.474787e-09	2.474787e-09	2.151973e-10	1342091.0	1342091.0										4.2325000000013185e-07	4.2325000000013185e-07
0.0	0.44	6.457427e-05	6.457427e-05	4.50925e-10	-3.637077e-09	3.637077e-09	2.04885e-10	1342092.0	1342092.0										3.749999999997245e-07	3.749999999997245e-07
0.0	0.42	6.456847e-05	6.456847e-05	2.081666e-10	-4.53313e-09	4.53313e-09	2.266584e-10	1342092.0	1342092.0										3.884999999999913e-07	3.884999999999913e-07
0.0	0.4	6.455873e-05	6.455873e-05	1.250333e-09	-5.363627e-09	5.363627e-09	2.44381e-10	1342093.0	1342093.0										4.950000000003129e-07	4.950000000003129e-07
0.0	0.38	6.454867e-05	6.454867e-05	1.159023e-09	-6.032387e-09	6.032387e-09	2.348944e-10	1342093.0	1342093.0										4.1999999999989095e-07	4.1999999999989095e-07
0.0	0.36	6.454193e-05	6.454193e-05	3.21455e-10	-6.584723e-09	6.584723e-09	2.504999e-10	1342094.0	1342094.0										3.49999999999873e-07	3.49999999999873e-07
0.0	0.34	6.453467e-05	6.453467e-05	5.686241e-10	-7.083417e-09	7.083417e-09	2.444486e-10	1342095.0	1342095.0										3.5575000000009904e-07	3.5575000000009904e-07
0.0	0.32	6.45277e-05	6.45277e-05	3e-10	-7.47919e-09	7.47919e-09	2.276313e-10	1342095.0	1342095.0										1.8174999999974462e-07	1.8174999999974462e-07
0.0	0.3	6.45274e-05	6.45274e-05	7.937254e-10	-7.368327e-09	7.368327e-09	2.795749e-10	1342096.0	1342096.0										1.5174999999992278e-07	1.5174999999992278e-07
0.0	0.28	6.452163e-05	6.452163e-05	1.101514e-09	-7.859073e-09	7.859073e-09	2.171445e-10	1342097.0	1342097.0										2.8924999999997356e-07	2.8924999999997356e-07
0.0	0.26	6.451583e-05	6.451583e-05	3.05505e-10	-8.143583e-09	8.143583e-09	1.997653e-10	1342097.0	1342097.0										2.3650000000041693e-07	2.3650000000041693e-07
0.0	0.24	6.451217e-05	6.451217e-05	4.041452e-10	-8.359353e-09	8.359353e-09	2.033042e-10	1342098.0	1342098.0										2.0000000000011328e-07	2.0000000000011328e-07
0.0	0.22	6.450783e-05	6.450783e-05	4.163332e-10	-8.515123e-09	8.515123e-09	2.218165e-10	1342098.0	1342098.0										1.0674999999975635e-07	1.0674999999975635e-07
0.0	0.2	6.45079e-05	6.45079e-05	6e-10	-8.633137e-09	8.633137e-09	2.27636e-10	1342099.0	1342099.0										2.640000000002536e-07	2.640000000002536e-07
0.0	0.18	6.449727e-05	6.449727e-05	4.041452e-10	-8.720157e-09	8.720157e-09	2.103303e-10	1342100.0	1342100.0										3.242500000001994e-07	3.242500000001994e-07
0.0	0.16	6.449493e-05	6.449493e-05	8.020806e-10	-8.80003e-09	8.80003e-09	2.177397e-10	1342100.0	1342100.0										5.350000000002922e-08	5.350000000002922e-08
0.0	0.14	6.449513e-05	6.449513e-05	9.0185e-10	-8.811157e-09	8.811157e-09	2.249272e-10	1342101.0	1342101.0										1.3649999999970977e-07	1.3649999999970977e-07
0.0	0.12	6.448947e-05	6.448947e-05	1.096966e-09	-8.80599e-09	8.80599e-09	2.01318e-10	1342101.0	1342101.0										8.74999999996972e-08	8.74999999996972e-08
0.0	0.1	6.449163e-05	6.449163e-05	7.571878e-10	-8.79725e-09	8.79725e-09	1.983216e-10	1342102.0	1342102.0										-8.499999999971204e-08	8.499999999971204e-08
0.0	0.08	6.449287e-05	6.449287e-05	1.159023e-09	-8.734463e-09	8.734463e-09	1.84825e-10	1342103.0	1342103.0										-8.674999999987512e-08	8.674999999987512e-08
0.0	0.06	6.44951e-05	6.44951e-05	1.216553e-09	-8.7138e-09	8.7138e-09	1.757891e-10	1342103.0	1342103.0										-1.6574999999992637e-07	1.6574999999992637e-07
0.0	0.04	6.44995e-05	6.44995e-05	4.582576e-10	-8.703867e-09	8.703867e-09	1.603647e-10	1342104.0	1342104.0										-3.0749999999990854e-07	3.0749999999990854e-07
0.0	0.02	6.45074e-05	6.45074e-05	3.464102e-10	-8.698303e-09	8.698303e-09	1.599905e-10	1342104.0	1342104.0										-3.092499999998548e-07	3.092499999998548e-07
0.0	0.0	6.451187e-05	6.451187e-05	1.184624e-09	-8.613663e-09	8.613663e-09	1.96772e-10	1342105.0	1342105.0										-2.817500000000181e-07	2.817500000000181e-07
0.0	-0.02	6.451867e-05	6.451867e-05	3.05505e-10	-8.593e-09	8.593e-09	1.806446e-10	1342106.0	1342106.0										-3.715000000000489e-07	3.715000000000489e-07
0.0	-0.04	6.452673e-05	6.452673e-05	3.785939e-10	-8.565583e-09	8.565583e-09	1.818345e-10	1342106.0	1342106.0										-4.2825000000010216e-07	4.2825000000010216e-07
0.0	-0.06	6.45358e-05	6.45358e-05	7.211103e-10	-8.5183e-09	8.5183e-09	1.597691e-10	1342107.0	1342107.0										-5.910000000000897e-07	5.910000000000897e-07
0.0	-0.08	6.455037e-05	6.455037e-05	8.962886e-10	-8.54095e-09	8.54095e-09	1.622711e-10	1342107.0	1342107.0										-7.142499999998348e-07	7.142499999998348e-07
0.0	-0.1	6.456437e-05	6.456437e-05	5.859465e-10	-8.552473e-09	8.552473e-09	1.449876e-10	1342108.0	1342108.0										-7.61500000000118e-07	7.61500000000118e-07
0.0	-0.12	6.458083e-05	6.458083e-05	1.001665e-09	-8.573533e-09	8.573533e-09	1.835916e-10	1342109.0	1342109.0										-7.525000000000847e-07	7.525000000000847e-07
0.0	-0.14	6.459447e-05	6.459447e-05	9.073772e-10	-8.627573e-09	8.627573e-09	1.705047e-10	1342109.0	1342109.0										-9.025000000002781e-07	9.025000000002781e-07
0.0	-0.16	6.461693e-05	6.461693e-05	4.618802e-10	-8.650623e-09	8.650623e-09	1.480906e-10	1342110.0	1342110.0										-1.2039999999998753e-06	1.2039999999998753e-06
0.0	-0.18	6.464263e-05	6.464263e-05	1.527525e-10	-8.719367e-09	8.719367e-09	1.928203e-10	1342110.0	1342110.0										-1.314249999999741e-06	1.314249999999741e-06
0.0	-0.2	6.46695e-05	6.46695e-05	5.567764e-10	-8.52307e-09	8.52307e-09	2.381269e-10	1342111.0	1342111.0										-1.2910000000000525e-06	1.2910000000000525e-06
0.0	-0.22	6.469427e-05	6.469427e-05	8.326664e-10	-8.752743e-09	8.752743e-09	1.669596e-10	1342112.0	1342112.0										-1.3167500000001598e-06	1.3167500000001598e-06
0.0	-0.24	6.472217e-05	6.472217e-05	9.451631e-10	-9.022553e-09	9.022553e-09	1.309159e-10	1342112.0	1342112.0										-1.4240000000000867e-06	1.4240000000000867e-06
0.0	-0.26	6.475123e-05	6.475123e-05	3.511885e-10	-9.232363e-09	9.232363e-09	1.798142e-10	1342113.0	1342113.0										-1.4514999999999233e-06	1.4514999999999233e-06
0.0	-0.28	6.478023e-05	6.478023e-05	1.115049e-09	-9.465217e-09	9.465217e-09	1.497794e-10	1342114.0	1342114.0										-1.6309999999999849e-06	1.6309999999999849e-06
0.0	-0.3	6.481647e-05	6.481647e-05	8.736895e-10	-9.773577e-09	9.773577e-09	2.285094e-10	1342114.0	1342114.0										-1.917499999999888e-06	1.917499999999888e-06
0.0	-0.32	6.485693e-05	6.485693e-05	5.773503e-10	-1.000803e-08	1.000803e-08	1.938196e-10	1342115.0	1342115.0										-1.988249999999728e-06	1.988249999999728e-06
0.0	-0.34	6.4896e-05	6.4896e-05	3.605551e-10	-1.04006e-08	1.04006e-08	1.777891e-10	1342115.0	1342115.0										-1.9474999999999267e-06	1.9474999999999267e-06
0.0	-0.36	6.493483e-05	6.493483e-05	4.163332e-10	-1.08278e-08	1.08278e-08	1.762156e-10	1342116.0	1342116.0										-1.7542500000001637e-06	1.7542500000001637e-06
0.0	-0.38	6.496617e-05	6.496617e-05	5.773503e-11	-1.132013e-08	1.132013e-08	2.057266e-10	1342117.0	1342117.0										-1.7092499999999972e-06	1.7092499999999972e-06
0.0	-0.4	6.50032e-05	6.50032e-05	1.53948e-09	-1.182473e-08	1.182473e-08	2.260637e-10	1342117.0	1342117.0										-1.9540000000001917e-06	1.9540000000001917e-06
0.0	-0.42	6.504433e-05	6.504433e-05	1.021437e-09	-1.236717e-08	1.236717e-08	2.725861e-10	1342118.0	1342118.0										-2.0050000000002358e-06	2.0050000000002358e-06
0.0	-0.44	6.50834e-05	6.50834e-05	1.053565e-09	-1.306613e-08	1.306613e-08	2.540577e-10	1342119.0	1342119.0										-1.9424999999999564e-06	1.9424999999999564e-06
0.0	-0.46	6.512203e-05	6.512203e-05	1.530795e-09	-1.380123e-08	1.380123e-08	2.499472e-10	1342119.0	1342119.0										-1.9592499999995967e-06	1.9592499999995967e-06
0.0	-0.48	6.516177e-05	6.516177e-05	5.773503e-11	-1.463293e-08	1.463293e-08	2.833284e-10	1342120.0	1342120.0										-1.9792499999999116e-06	1.9792499999999116e-06
0.0	-0.5	6.52012e-05	6.52012e-05	1.732051e-10	-1.561283e-08	1.561283e-08	2.876329e-10	1342120.0	1342120.0										-1.9507500000003845e-06	1.9507500000003845e-06
0.0	-0.52	6.52398e-05	6.52398e-05	2.645751e-10	-1.663723e-08	1.663723e-08	3.214056e-10	1342121.0	1342121.0										-1.8149999999998463e-06	1.8149999999998463e-06
0.0	-0.54	6.52738e-05	6.52738e-05	2e-10	-1.77288e-08	1.77288e-08	3.111069e-10	1342122.0	1342122.0										-1.7174999999997748e-06	1.7174999999997748e-06
0.0	-0.56	6.53085e-05	6.53085e-05	7e-10	-1.891097e-08	1.891097e-08	3.316568e-10	1342122.0	1342122.0										-1.726750000000327e-06	1.726750000000327e-06
0.0	-0.58	6.534287e-05	6.534287e-05	4.163332e-10	-2.013327e-08	2.013327e-08	3.780413e-10	1342123.0	1342123.0										-1.673250000000081e-06	1.673250000000081e-06
0.0	-0.6	6.537543e-05	6.537543e-05	9.291573e-10	-2.13313e-08	2.13313e-08	4.429469e-10	1342123.0	1342123.0											
1.0	-0.6	6.53754e-05	6.53754e-05	7.549834e-10	-1.80594e-08	1.80594e-08	2.133675e-10	1342124.0	1342124.0											
1.0	-0.58	6.533797e-05	6.533797e-05	8.082904e-10	-1.254123e-08	1.254123e-08	6.916447e-11	1342125.0	1342125.0										-1.7717500000000597e-06	1.7717500000000597e-06
1.0	-0.56	6.530453e-05	6.530453e-05	6.506407e-10	-9.388127e-09	9.388127e-09	1.132974e-10	1342125.0	1342125.0										-1.6260000000000146e-06	1.6260000000000146e-06
1.0	-0.54	6.527293e-05	6.527293e-05	5.507571e-10	-7.286073e-09	7.286073e-09	1.412094e-10	1342126.0	1342126.0										-1.527499999999602e-06	1.527499999999602e-06
1.0	-0.52	6.524343e-05	6.524343e-05	9.865766e-10	-5.92351e-09	5.92351e-09	1.517874e-10	1342127.0	1342127.0										-1.6207500000001759e-06	1.6207500000001759e-06
1.0	-0.5	6.52081e-05	6.52081e-05	7e-10	-4.594323e-09	4.594323e-09	1.087165e-10	1342127.0	1342127.0										-1.7282499999999711e-06	1.7282499999999711e-06
1.0	-0.48	6.51743e-05	6.51743e-05	6.244998e-10	-3.614027e-09	3.614027e-09	1.425252e-10	1342128.0	1342128.0										-1.6982499999999325e-06	1.6982499999999325e-06
1.0	-0.46	6.514017e-05	6.514017e-05	4.932883e-10	-2.868177e-09	2.868177e-09	1.469881e-10	1342128.0	1342128.0										-1.6642500000002645e-06	1.6642500000002645e-06
1.0	-0.44	6.510773e-05	6.510773e-05	8.504901e-10	-2.268157e-09	2.268157e-09	1.379585e-10	1342129.0	1342129.0										-1.5167500000000562e-06	1.5167500000000562e-06
1.0	-0.42	6.50795e-05	6.50795e-05	9.643651e-10	-1.747607e-09	1.747607e-09	1.366861e-10	1342130.0	1342130.0										-1.580749999999763e-06	1.580749999999763e-06
1.0	-0.4	6.50445e-05	6.50445e-05	1.4e-09	-1.37329e-09	1.37329e-09	1.38344e-10	1342130.0	1342130.0										-1.7992499999996796e-06	1.7992499999996796e-06
1.0	-0.38	6.500753e-05	6.500753e-05	5.773503e-11	-9.437397e-10	9.437397e-10	2.364506e-10	1342131.0	1342131.0										-1.777500000000069e-06	1.777500000000069e-06
1.0	-0.36	6.49734e-05	6.49734e-05	1.442221e-09	-5.145867e-10	5.145867e-10	2.485319e-10	1342131.0	1342131.0										-1.6082500000000333e-06	1.6082500000000333e-06
1.0	-0.34	6.49432e-05	6.49432e-05	7e-10	-2.340477e-10	2.340477e-10	1.383668e-10	1342132.0	1342132.0										-1.4917499999999879e-06	1.4917499999999879e-06
1.0	-0.32	6.491373e-05	6.491373e-05	7.767453e-10	-7.470453e-11	7.470453e-11	1.031304e-10	1342133.0	1342133.0										-1.4532500000000864e-06	1.4532500000000864e-06
1.0	-0.3	6.488507e-05	6.488507e-05	7.505553e-10	5.086267e-11	5.086267e-11	1.001737e-10	1342133.0	1342133.0										-1.4850000000002882e-06	1.4850000000002882e-06
1.0	-0.28	6.485433e-05	6.485433e-05	1.167619e-09	1.521906e-10	1.521906e-10	1.075091e-10	1342134.0	1342134.0										-1.3985000000000646e-06	1.3985000000000646e-06
1.0	-0.26	6.482913e-05	6.482913e-05	1.205543e-09	2.328553e-10	2.328553e-10	1.16827e-10	1342134.0	1342134.0										-1.289000000000021e-06	1.289000000000021e-06
1.0	-0.24	6.480277e-05	6.480277e-05	4.618802e-10	4.184247e-10	4.184247e-10	1.225422e-10	1342135.0	1342135.0										-1.282499999999973e-06	1.282499999999973e-06
1.0	-0.22	6.477783e-05	6.477783e-05	6.027714e-10	5.503497e-10	5.503497e-10	1.475614e-10	1342136.0	1342136.0										-1.153499999999785e-06	1.153499999999785e-06
1.0	-0.2	6.475663e-05	6.475663e-05	2.886751e-10	6.67572e-10	6.67572e-10	1.082839e-10	1342136.0	1342136.0										-1.2924999999999135e-06	1.2924999999999135e-06
1.0	-0.18	6.472613e-05	6.472613e-05	7.767453e-10	7.708867e-10	7.708867e-10	1.156412e-10	1342137.0	1342137.0										-1.2232500000001513e-06	1.2232500000001513e-06
1.0	-0.16	6.47077e-05	6.47077e-05	6.928203e-10	8.658553e-10	8.658553e-10	1.419388e-10	1342137.0	1342137.0										-9.025000000002781e-07	9.025000000002781e-07
1.0	-0.14	6.469003e-05	6.469003e-05	1.159023e-09	1.016856e-09	1.016856e-09	1.243511e-10	1342138.0	1342138.0										-9.067499999999926e-07	9.067499999999926e-07
1.0	-0.12	6.467143e-05	6.467143e-05	1.70098e-09	1.11143e-09	1.11143e-09	1.306991e-10	1342139.0	1342139.0										-1.0149999999998268e-06	1.0149999999998268e-06
1.0	-0.1	6.464943e-05	6.464943e-05	1.171893e-09	1.207987e-09	1.207987e-09	1.407072e-10	1342139.0	1342139.0										-9.71499999999955e-07	9.71499999999955e-07
