Cycle #	V	ids_Oupt01__--0.1000	ABS_ids_Oupt01__--0.1000	deviation	igs_Oupt02__--0.1000	ABS_igs_Oupt02__--0.1000	deviation.1	time_Oupt03__--0.1000	ABS_time_Oupt03__--0.1000	deviation.2	Unnamed: 11	Unnamed: 12	Unnamed: 13	Unnamed: 14	Unnamed: 15	Unnamed: 16	Unnamed: 17	Unnamed: 18	gm [S]	|gm| [S]
0.0	-0.6	6.516613e-05	6.516613e-05	4.437717e-09	-4.820147e-08	4.820147e-08	4.964205e-09	1342050.0	1342050.0										6.9999999998120545e-09	6.9999999998120545e-09
0.0	-0.58	6.516627e-05	6.516627e-05	2.218859e-09	-2.55573e-08	2.55573e-08	4.145399e-10	1342051.0	1342051.0										-3.2649999999988244e-07	3.2649999999988244e-07
0.0	-0.56	6.515307e-05	6.515307e-05	1.446836e-09	-1.739263e-08	1.739263e-08	5.069066e-11	1342051.0	1342051.0										-7.660000000003515e-07	7.660000000003515e-07
0.0	-0.54	6.513563e-05	6.513563e-05	9.0185e-10	-1.291317e-08	1.291317e-08	3.683983e-11	1342052.0	1342052.0										-1.0950000000000022e-06	1.0950000000000022e-06
0.0	-0.52	6.510927e-05	6.510927e-05	8.144528e-10	-9.959923e-09	9.959923e-09	1.060953e-10	1342052.0	1342052.0										-1.1575000000000647e-06	1.1575000000000647e-06
0.0	-0.5	6.508933e-05	6.508933e-05	1.159023e-09	-7.865033e-09	7.865033e-09	6.692864e-11	1342053.0	1342053.0										-1.1734999999996661e-06	1.1734999999996661e-06
0.0	-0.48	6.506233e-05	6.506233e-05	6.350853e-10	-6.37889e-09	6.37889e-09	1.216651e-10	1342054.0	1342054.0										-1.341500000000143e-06	1.341500000000143e-06
0.0	-0.46	6.503567e-05	6.503567e-05	1.36504e-09	-5.24998e-09	5.24998e-09	1.257692e-10	1342054.0	1342054.0										-1.4325000000001663e-06	1.4325000000001663e-06
0.0	-0.44	6.500503e-05	6.500503e-05	1.40119e-09	-4.23789e-09	4.23789e-09	1.210397e-10	1342055.0	1342055.0										-1.5734999999998927e-06	1.5734999999998927e-06
0.0	-0.42	6.497273e-05	6.497273e-05	3.05505e-10	-3.508327e-09	3.508327e-09	6.595506e-11	1342055.0	1342055.0										-1.5049999999999526e-06	1.5049999999999526e-06
0.0	-0.4	6.494483e-05	6.494483e-05	9.237604e-10	-2.89003e-09	2.89003e-09	1.045097e-10	1342056.0	1342056.0										-1.369999999999887e-06	1.369999999999887e-06
0.0	-0.38	6.491793e-05	6.491793e-05	1.106044e-09	-2.34246e-09	2.34246e-09	1.3232e-10	1342057.0	1342057.0										-1.5307500000000598e-06	1.5307500000000598e-06
0.0	-0.36	6.48836e-05	6.48836e-05	5.567764e-10	-1.955427e-09	1.955427e-09	1.144421e-10	1342057.0	1342057.0										-1.4932500000002825e-06	1.4932500000002825e-06
0.0	-0.34	6.48582e-05	6.48582e-05	7.211103e-10	-1.565617e-09	1.565617e-09	1.043157e-10	1342058.0	1342058.0										-1.4274999999997623e-06	1.4274999999997623e-06
