Type,Chip,Disp,Electrolyte,Width [s],Interval [s],Train pulses #,Resistor,Measure #,Polarization,IDSmed [A],Std IDS [A],delIDS [A],Std delIDS [A],Gn [S],Std Gn [S]
Standard,2,1,KCl,0.1,0.1,40,0,49,pos,5.5080224022028485e-06,5.1292948671761414e-08,-2.141665721534212e-09,7.375563003994571e-08,1.3127387246472192e-06,6.810483330535678e-07
Standard,2,1,KCl,0.1,0.1,40,0,50,pos,5.502901124352568e-06,5.310954408334707e-08,-5.121277850280639e-09,7.38348850895357e-08,1.1923523431888708e-06,7.275855806060016e-07
Standard,2,1,KCl,0.1,0.1,40,0,51,pos,5.5006973814835705e-06,5.2715505327520024e-08,-2.203742868997333e-09,7.483012878965785e-08,1.1367248311791716e-06,6.833703408076923e-07
Standard,2,1,KCl,0.1,0.1,40,0,52,pos,5.4980706450309794e-06,5.370428531540328e-08,-2.6267364525910743e-09,7.525340366504381e-08,1.110408169624762e-06,7.393523402258559e-07
Standard,2,1,KCl,0.1,0.1,40,0,53,pos,5.495563498863537e-06,5.1371907209415944e-08,-2.507146167442172e-09,7.43183901303781e-08,9.38016817635172e-07,6.86789713701903e-07
Standard,2,1,KCl,0.1,0.1,40,0,54,pos,5.496866813039312e-06,5.038736483671127e-08,1.3033141757748439e-09,7.195803906111316e-08,1.0587114465217195e-06,6.219654360603868e-07
Standard,2,1,KCl,0.1,0.1,40,0,55,pos,5.495702386972632e-06,5.155319523144967e-08,-1.1644260666797102e-09,7.208757503037408e-08,1.0770565123870653e-06,7.174379603360099e-07
Standard,2,1,KCl,0.1,0.1,40,0,56,pos,5.494328987961953e-06,5.1928369322393335e-08,-1.373399010679669e-09,7.317299692547005e-08,1.2826462152614493e-06,6.219964928071151e-07
Standard,2,1,KCl,0.1,0.1,40,0,57,pos,5.495172767537456e-06,5.325230965409784e-08,8.437795755027151e-10,7.437986302742702e-08,9.449685297424464e-07,7.002802321240879e-07
Standard,2,1,KCl,0.1,0.1,40,0,58,pos,5.492230820891564e-06,5.101889341116962e-08,-2.941946645891332e-09,7.374778619318825e-08,1.0450869594640853e-06,6.777291422329848e-07
Standard,2,1,KCl,0.1,0.1,40,0,59,pos,5.4911530489996285e-06,5.2450410588051944e-08,-1.0777718919356672e-09,7.317084840122818e-08,1.072636990102056e-06,6.351785634364146e-07
Standard,2,1,KCl,0.1,0.1,40,0,60,pos,5.488516676037265e-06,5.2641258840946973e-08,-2.6363729623632567e-09,7.43111546351879e-08,9.910341680485697e-07,6.556333269012173e-07
Standard,2,1,KCl,0.1,0.1,40,0,61,pos,5.49091920964367e-06,5.0077793296801096e-08,2.402533606404385e-09,7.265595305160286e-08,8.393856320686736e-07,6.711352106449787e-07
Standard,2,1,KCl,0.1,0.1,40,0,62,pos,5.491432656609422e-06,5.091913607994526e-08,5.134469657523466e-10,7.141809154972651e-08,7.627058852369104e-07,6.327650439271053e-07
Standard,2,1,KCl,0.1,0.1,40,0,63,pos,5.48809522032653e-06,5.045660330559258e-08,-3.337436282891526e-09,7.168421887881544e-08,1.0259194887536554e-06,6.672243729639362e-07
Standard,2,1,KCl,0.1,0.1,40,0,64,pos,5.487930709271247e-06,5.2825191078513154e-08,-1.6451105528343316e-10,7.3050459475758e-08,1.0079879962423806e-06,6.883500209900096e-07
Standard,2,1,KCl,0.1,0.1,40,0,65,pos,5.486310423789705e-06,5.299234119328364e-08,-1.6202854815423714e-09,7.482438798698465e-08,1.1243311030439263e-06,6.358165538529683e-07
Standard,2,1,KCl,0.1,0.1,40,0,66,pos,5.4857315634845605e-06,5.086360148190287e-08,-5.78860305144059e-10,7.345266626103654e-08,8.124802624555216e-07,6.969626102135905e-07
Standard,2,1,KCl,0.1,0.1,40,0,67,pos,5.481301228759218e-06,5.075122464403939e-08,-4.430334725342729e-09,7.185257656187135e-08,8.632319100437556e-07,6.670455813017657e-07
Standard,2,1,KCl,0.1,0.1,40,0,68,pos,5.479280496894551e-06,5.120251005084038e-08,-2.020731864666551e-09,7.209288341005763e-08,6.483921961368658e-07,7.051808894760272e-07
Standard,2,1,KCl,0.1,0.1,40,0,69,pos,5.483277345774696e-06,5.0965634123895294e-08,3.99684888014419e-09,7.22439817365929e-08,5.490115313127743e-07,6.444020808716008e-07
Standard,2,1,KCl,0.1,0.1,40,0,70,pos,5.482207507157e-06,5.0240093011770573e-08,-1.069838617695326e-09,7.156509489606034e-08,8.314301505606914e-07,6.139646615920615e-07
Standard,2,1,KCl,0.1,0.1,40,0,71,pos,5.480661093315575e-06,5.229703856558471e-08,-1.5464138414251875e-09,7.251928838979057e-08,9.04414751160855e-07,7.347982480078345e-07
Standard,2,1,KCl,0.1,0.1,40,0,72,pos,5.474557044429027e-06,5.366753867993552e-08,-6.104048886547989e-09,7.493453776925984e-08,8.91111281538206e-07,7.070519537947395e-07
Standard,2,1,KCl,0.1,0.1,40,0,73,pos,5.477832978199744e-06,5.180468162319138e-08,3.275933770717268e-09,7.45917538742896e-08,6.319123889630344e-07,6.51873296940717e-07
Standard,2,1,KCl,0.1,0.1,40,0,74,pos,5.4798402454087576e-06,5.25546402891989e-08,2.007267209013362e-09,7.379508963343912e-08,8.835924947469141e-07,6.582213727456098e-07
