Type,Chip,Disp,Electrolyte,IDSmed (10s - 160s) [A],Std IDSmed [A],IGSmed (10s - 160s) [A],Std IGSmed [A],IDSant_pos (35s - 50s) [A],Std IDSant_pos [A],IDSdep_pos (150s - 165s) [A],Std IDSdep_pos [A],delIDS_pos [A],Std delIDS_pos [A],IGSant_pos (35s - 50s) [A],Std IGSant_pos [A],IGSdur_pos (75s - 85s) [A],Std IGSdur_pos [A],IGSdep_pos (150s - 165s) [A],Std IGSdep_pos [A],delIGS_pos [A],Std delIGS_pos [A],IGS_pico_ant_pos [A],IGS_pico_dep_pos [A],IDSant_neg (35s - 50s) [A],Std IDSant_neg [A],IDSdep_neg (150s - 165s) [A],Std IDSdep_neg [A],delIDS_neg [A],Std delIDS_neg [A],IGSant_neg (35s - 50s) [A],Std IGSant_neg [A],IGSdur_neg (75s - 85s) [A],Std IGSdur_neg [A],IGSdep_neg (150s - 165s) [A],Std IGSdep_neg [A],delIGS_neg [A],Std delIGS_neg [A],IGS_pico_ant_neg [A],IGS_pico_dep_neg [A]
Standard,1,2,MgCl2,1.2368833990935752e-05,4.070437590286208e-08,-2.736855737136764e-07,4.763572153878735e-08,1.2716307180851065e-05,3.0275414474969633e-08,1.714157021276596e-05,4.137451087752721e-08,4.425263031914896e-06,5.126841983117695e-08,-1.820478704787234e-07,3.927450946620048e-08,-5.45227812749004e-08,4.575760451866605e-08,-1.7764090691489365e-07,4.545983009211606e-08,4.406963563829777e-09,6.007564602910843e-08,9.13143e-06,-9.97782e-06,1.4015407446808511e-05,2.8737176810950546e-08,1.3008115691489364e-05,4.6619225717013976e-08,-1.0072917553191488e-06,5.476474721495326e-08,-1.3651993085106386e-07,4.545885510368608e-08,-4.688581752988048e-07,5.0674780016031136e-08,-4.5020460106383005e-09,6.041722415205636e-08,1.3201788484042557e-07,7.560918252155455e-08,-1.25051e-05,9.85861e-06
Standard,1,1,KCl,6.81177951746201e-06,3.6868165782516254e-08,-7.307640258597709e-08,5.090943301742568e-08,6.811732632978724e-06,3.07599192063677e-08,9.236627765957448e-06,3.455097499920581e-08,2.424895132978723e-06,4.6259512567449456e-08,-1.4828236143617026e-07,4.486080790737832e-08,-7.912450438247013e-08,3.992353893203581e-08,-1.0120097367021278e-07,4.495923679725145e-08,4.708138776595745e-08,6.351240083238882e-08,1.08361e-05,-1.13487e-05,7.6275236170212765e-06,2.8742385847657112e-08,7.126338085106383e-06,2.9843923898454323e-08,-5.011855319148935e-07,4.143409873367989e-08,-1.5497207127659576e-07,5.7616563035950886e-08,-5.258032430278885e-07,5.2809068726125984e-08,-8.775825851063829e-08,4.845942558687969e-08,6.721381276595744e-08,7.528601639272748e-08,-1.27792e-05,1.15275e-05
Standard,1,3,MgCl2,1.0953583337776592e-05,8.18760083844032e-08,-1.391293569181552e-07,5.168287392739111e-08,1.150316090425532e-05,3.135219185501177e-08,1.4922650531914894e-05,3.6046859868551386e-08,3.419489627659574e-06,4.7773800775073856e-08,-1.707609840425532e-07,4.413617837336701e-08,-1.803337386454183e-07,5.8604118002049487e-08,-2.4193785372340426e-07,4.754924163643284e-08,-7.117686968085104e-08,6.487628705163043e-08,8.72612e-06,-9.83477e-06,1.2159153191489362e-05,3.3980004950763353e-08,1.1286044946808513e-05,4.27454509205033e-08,-8.73108244680851e-07,5.460599152887033e-08,-1.761507965425532e-07,3.845007580063846e-08,-5.022937848605577e-07,3.8939081901985465e-08,1.775453457446808e-09,4.8282560779630434e-08,1.7792625e-07,6.1722070643438e-08,-1.22905e-05,9.76324e-06
Standard,2,2,MgCl2,7.09232966142362e-06,6.186342309932e-08,-9.493199250866437e-08,6.545824899767433e-08,7.309780505319148e-06,3.362378443122225e-08,9.866471382978722e-06,3.5727043474315114e-08,2.556690877659574e-06,4.90609877080854e-08,-1.1711667367021285e-07,3.93904108904378e-08,-1.7715158964143426e-08,4.2440500788010847e-08,-7.352289680851065e-08,3.663911951148376e-08,4.359377686170216e-08,5.37961852615435e-08,8.97646e-06,-9.91821e-06,7.732782047872341e-06,3.2144867887866164e-08,7.225634867021277e-06,2.6781077080324248e-08,-5.071471808510642e-07,4.1839199575405815e-08,-1.988830297872341e-07,4.402833859835418e-08,-6.053551434262948e-07,3.541883341911964e-08,-1.7817975265957443e-08,5.0994012895680144e-08,1.8106505452127665e-07,6.737123979070087e-08,-1.28984e-05,1.00851e-05
Standard,2,1,KCl,8.56171499333511e-06,6.037700326266617e-08,-3.90870495601173e-07,5.9415291734232415e-08,8.45999210106383e-06,2.6234753674730048e-08,1.1506014627659572e-05,5.489532316564847e-08,3.0460225265957427e-06,6.084208088021597e-08,-3.290620026595745e-07,3.4296834354091575e-08,-2.0925757768924305e-07,3.675075174976616e-08,-2.637505744680851e-07,4.2752075448658336e-08,6.531142819148941e-08,5.480887521086134e-08,9.23872e-06,-9.91821e-06,9.417405957446808e-06,2.84917167403823e-08,8.827481170212766e-06,3.123063487817069e-08,-5.899247872340423e-07,4.227446602510542e-08,-3.555354308510638e-07,4.3981376828659376e-08,-6.739361992031873e-07,3.732211034301463e-08,-2.426036835106383e-07,3.4940749676190866e-08,1.1293174734042548e-07,5.61713227161224e-08,-1.11222e-05,9.63211e-06
Standard,2,3,KCl,7.463916113036523e-06,5.089123522108181e-08,-3.245600919754733e-07,5.7612657588603474e-08,7.5404963031914895e-06,2.7497492974763444e-08,1.025780079787234e-05,4.154910058426904e-08,2.71730449468085e-06,4.982408934701036e-08,-2.676501941489362e-07,4.2315586400437294e-08,-1.7273476852589644e-07,3.60062850558333e-08,-2.504346808510638e-07,3.690968823398369e-08,1.721551329787239e-08,5.61509923148536e-08,9.5129e-06,-1.00732e-05,8.365383962765957e-06,3.291156105668552e-08,7.75941465425532e-06,2.98800533669784e-08,-6.05969308510637e-07,4.44520915188635e-08,-3.23735664893617e-07,6.04278750876178e-08,-7.08844235059761e-07,3.475026405016984e-08,-1.8439399760638296e-07,4.878227589225821e-08,1.3934166728723405e-07,7.766104898102482e-08,-1.14799e-05,1.02401e-05
Enode,1,2,KCl,1.170059037589976e-05,9.371770590814329e-08,-8.934808693681687e-08,4.244544257128141e-08,1.1954848670212769e-05,2.780549966392057e-08,1.4688167553191488e-05,3.3019738910695444e-08,2.733318882978721e-06,4.3167684316983954e-08,-1.0044005664893618e-07,3.898177234073258e-08,-3.462291155378486e-08,4.633976195431208e-08,-9.67623486702128e-08,4.330582050100881e-08,3.677707978723407e-09,5.826639395131897e-08,5.96046e-06,-6.48499e-06,1.3030277393617022e-05,3.42893529771073e-08,1.1985512499999998e-05,2.407822868623592e-08,-1.044764893617024e-06,4.1898935836788646e-08,3.0975385638297875e-08,3.705015451276464e-08,-2.7161666135458165e-07,3.6598321963839546e-08,2.218688414893617e-07,4.628553307446043e-08,1.908934558510639e-07,5.9287979569274464e-08,-6.9499e-06,7.16448e-06
Enode,1,1,MgCl2,1.064081852839243e-05,1.1015972314450165e-07,-4.158055705145296e-07,9.139062702131221e-08,1.0942457978723404e-05,3.4741641337692616e-08,1.459071063829787e-05,5.42080327982685e-08,3.648252659574467e-06,6.438549885412884e-08,-2.3667490425531922e-07,4.4573991196438084e-08,-7.34252705179283e-08,3.498842715707365e-08,-7.00036835106383e-08,4.46373823753074e-08,1.666712207446809e-07,6.308198313702211e-08,5.62668e-06,-6.35386e-06,1.2452306117021275e-05,4.27580640637795e-08,1.1623631117021274e-05,5.22419602983618e-08,-8.28675000000001e-07,6.750906945216977e-08,-2.956136595744681e-07,4.38527329343239e-08,-5.657930876494023e-07,3.432216571080979e-08,-2.042411037234043e-07,4.563442742991174e-08,9.137255585106385e-08,6.328951850555522e-08,-7.09295e-06,6.63996e-06
Enode,1,3,KCl,9.989623015195949e-06,6.768072988494988e-08,-3.354958240469208e-07,5.8387736042452406e-08,1.0117822872340423e-05,4.09903137598099e-08,1.2571540691489362e-05,3.909559113830993e-08,2.453717819148937e-06,5.664513278810069e-08,-7.777130531914896e-08,4.1967858820457305e-08,-1.0947297370517929e-07,4.021837500041327e-08,-6.467734042553192e-09,4.82105379023628e-08,7.130357127659577e-08,6.391836307986145e-08,5.8651e-06,-6.12736e-06,1.1280846276595746e-05,4.098780744846728e-08,1.0401238563829787e-05,3.923550809575329e-08,-8.796077127659584e-07,5.6739981097675314e-08,-2.413672180851064e-07,5.028306156057234e-08,-5.146422270916335e-07,3.845604472704166e-08,-2.0734816063829789e-07,4.31344349902691e-08,3.4019057446808507e-08,6.624926989661138e-08,-6.77109e-06,6.54459e-06
Enode,2,2,MgCl2,9.800507272727272e-06,8.963366215494543e-08,-3.624776611570248e-07,4.639365126208928e-08,9.928262234042554e-06,2.9251669697000555e-08,1.2798995478723405e-05,2.8507118283630226e-08,2.8707332446808504e-06,4.08450238450084e-08,-3.258915212765957e-07,3.294510972923823e-08,-2.4316801992031875e-07,3.6643149658232166e-08,-2.5829737500000004e-07,3.836198121342272e-08,6.75941462765957e-08,5.0567003645564615e-08,5.54323e-06,-6.46114e-06,1.0962661968085108e-05,2.8739993326077425e-08,1.0036219042553191e-05,4.6975753815639015e-08,-9.264429255319172e-07,5.507003416496578e-08,-4.661843750000001e-07,4.9107837430431243e-08,-8.183645657370519e-07,3.6464498183063786e-08,-2.9165053191489364e-07,4.2066045183437126e-08,1.745338430851063e-07,6.466167222140668e-08,-7.34329e-06,6.35386e-06
