,Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
281,Standard,MgCl2,-0.8,0.01,0.05,2.3718283974410237e-06,8.615320695166906e-07,2.3604984046381447e-06,8.70040074954426e-07,-1.1329992802878839e-08,3.2627920335451114e-08,0.9945655705264609,0.01289767437221339
291,Standard,MgCl2,-0.7,0.01,0.05,2.3677594137011862e-06,8.499507065375486e-07,2.3874035966946557e-06,8.424772592516087e-07,1.9644182993469302e-08,7.770139314652256e-09,1.0099836388612229,0.007449398496639607
306,Standard,MgCl2,-0.6,0.01,0.05,2.386796682526989e-06,8.501600145930901e-07,2.3914661604691457e-06,8.591218321998178e-07,4.669477942156716e-09,9.941750839988294e-09,1.001260490494736,0.0031940613050547447
321,Standard,MgCl2,-0.5,0.01,0.05,2.4130869181660667e-06,8.906877994138431e-07,2.4332966969212317e-06,8.834694121035664e-07,2.0209778755164884e-08,1.3169267717230436e-08,1.0103482643276462,0.010249926737441404
341,Standard,MgCl2,-0.4,0.01,0.05,2.394974325203252e-06,8.934035551596324e-07,2.4024814667466343e-06,8.882038928038554e-07,7.507141543382473e-09,1.8269025272013836e-08,1.003633281736507,0.007424256408535717
361,Standard,MgCl2,-0.3,0.01,0.05,2.41368749926696e-06,8.966439864562178e-07,2.4144167479674798e-06,9.295378654166911e-07,7.292487005196722e-10,4.8194083170239955e-08,0.9975441050908364,0.01706919496082735
381,Standard,MgCl2,-0.2,0.01,0.05,2.473997575236572e-06,8.993871792362745e-07,2.4726407287751565e-06,8.919618490186904e-07,-1.356846461415393e-09,7.73367137509038e-09,1.0002290192811139,0.00359106307221414
401,Standard,MgCl2,-0.1,0.01,0.05,2.5028156653338665e-06,9.186859492317958e-07,2.524466566440091e-06,9.151030302224064e-07,2.165090110622424e-08,7.485565919410326e-09,1.0097322762292762,0.004773193175038527
421,Standard,MgCl2,0.1,0.01,0.05,2.537137371318139e-06,9.500392140218561e-07,2.5532020078635214e-06,9.378491019778181e-07,1.60646365453817e-08,1.9502513052986645e-08,1.0079382058197908,0.008088609347199837
441,Standard,MgCl2,0.2,0.01,0.05,2.4885098190057307e-06,9.004450076332601e-07,2.4852924656803947e-06,9.147270606251514e-07,-3.2173533253362333e-09,3.304784245557768e-08,0.9965038095169785,0.01745654889898915
461,Standard,MgCl2,0.3,0.01,0.05,2.428795593762495e-06,9.120395788784273e-07,2.436404420498467e-06,8.876839028449658e-07,7.608826735972295e-09,2.4732963764714155e-08,1.0063064306020368,0.01350794999182324
481,Standard,MgCl2,0.4,0.01,0.05,2.4099965780354524e-06,8.906080516125997e-07,2.4108609226975875e-06,9.028073963170914e-07,8.643446621353646e-10,1.6813847208729427e-08,0.9987684069060906,0.009187361227665785
501,Standard,MgCl2,0.5,0.01,0.05,2.4024639906703985e-06,8.864043739159906e-07,2.401774475809676e-06,8.767223346845218e-07,-6.89514860722119e-10,1.350053124730308e-08,1.00055071214761,0.004767609025833502
521,Standard,MgCl2,0.6,0.01,0.05,2.407174881380781e-06,8.778351283330188e-07,2.394543724643476e-06,8.788055778429644e-07,-1.263115673730509e-08,1.0172091524429192e-08,0.994379480393618,0.004319964662352756
536,Standard,MgCl2,0.7,0.01,0.05,2.4048106998533923e-06,8.440703221383606e-07,2.4265061003598557e-06,8.602596448218953e-07,2.169540050646385e-08,2.1736028088791654e-08,1.008429775287773,0.00621778546206854
551,Standard,MgCl2,0.8,0.01,0.05,2.387977085832334e-06,8.518561419178848e-07,2.3954572962814875e-06,8.419521662128278e-07,7.480210449153475e-09,1.2060402311324145e-08,1.0043817503575247,0.005559721737713032
