,Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
296,Standard,MgCl2,-0.7,0.1,0.2,1.1443639654025282e-05,3.83420511878062e-06,1.1387325608782436e-05,3.79072560949391e-06,-5.63140452428481e-08,4.349808066082255e-08,0.9957352734754726,0.0029420557223276294
311,Standard,MgCl2,-0.6,0.1,0.2,1.1427047824351297e-05,3.80273740677309e-06,1.1434748043912174e-05,3.819783321409239e-06,7.700219560878956e-09,2.251221334581102e-08,1.0002992446330525,0.0019892137418683706
327,Standard,MgCl2,-0.5,0.1,0.2,1.1464651636726545e-05,3.8384861768161785e-06,1.1481973020625417e-05,3.839086859932132e-06,1.732138389886909e-08,2.284360678641954e-08,1.001661904615146,0.0018143849884000329
347,Standard,MgCl2,-0.4,0.1,0.2,1.1496353339986693e-05,3.827736200029867e-06,1.1518719168330006e-05,3.820662940249746e-06,2.2365828343313026e-08,7.490906747149274e-09,1.0023282855938687,0.0017380124082870376
367,Standard,MgCl2,-0.3,0.1,0.2,1.1574028456420495e-05,3.861759264062934e-06,1.1583758203592815e-05,3.904717471748208e-06,9.72974717232261e-09,4.769768129769356e-08,0.9997903990247002,0.004992239652876889
387,Standard,MgCl2,-0.2,0.1,0.2,1.1650938722554889e-05,3.859571384282193e-06,1.1718337651363939e-05,3.911348959485209e-06,6.739892880904908e-08,5.179848267445095e-08,1.0050261523268684,0.003439699369552627
407,Standard,MgCl2,-0.1,0.1,0.2,1.1731837292082501e-05,3.902572613113933e-06,1.1760055129740519e-05,3.924115324557528e-06,2.821783765801777e-08,2.3530174703333178e-08,1.0020984030060953,0.0015283951337636606
427,Standard,MgCl2,0.1,0.1,0.2,1.1753433386560215e-05,3.920177700953022e-06,1.1818421989354622e-05,3.939183653796007e-06,6.498860279441035e-08,2.285570647941617e-08,1.00559033489279,0.0009435243944100012
447,Standard,MgCl2,0.2,0.1,0.2,1.1674407485029941e-05,3.902626845907611e-06,1.1695019820359283e-05,3.893296619989446e-06,2.0612335329341187e-08,3.5841660214095494e-08,1.0022084334954169,0.0032099536603689663
467,Standard,MgCl2,0.3,0.1,0.2,1.1587533972055887e-05,3.827729369197581e-06,1.1634330532268796e-05,3.862886057236106e-06,4.6796560212906606e-08,3.6706861402681135e-08,1.0035369991272167,0.002389248318043916
487,Standard,MgCl2,0.4,0.1,0.2,1.1523462880904856e-05,3.8435571731380785e-06,1.1579937664670659e-05,3.860121143137276e-06,5.6474783765802396e-08,4.9877113267270735e-08,1.004991175154338,0.0034658195806080584
507,Standard,MgCl2,0.5,0.1,0.2,1.1450927385229542e-05,3.803167721219319e-06,1.1551842135728543e-05,3.856863588208663e-06,1.0091475049900149e-07,5.374485855140941e-08,1.0082812700820536,0.0024107570489082675
526,Standard,MgCl2,0.6,0.1,0.2,1.1402411523619427e-05,3.773907922038995e-06,1.1545204497671325e-05,3.823797737026085e-06,1.42792974051897e-07,5.0363583707387935e-08,1.0124503618521166,0.0006142291068313598
541,Standard,MgCl2,0.7,0.1,0.2,1.1324043087159014e-05,3.7673549116408136e-06,1.1553920778443114e-05,3.840803459085524e-06,2.2987769128410026e-07,7.350577117804615e-08,1.020379006944797,0.0004134487377849588
