,Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
288,Standard,MgCl2,-0.8,10.0,0.1,7.150447964071857e-06,2.3638436912035724e-06,6.528306839654025e-06,2.1944542316821135e-06,-6.221411244178315e-07,2.209863437439534e-07,0.9110354994164411,0.023238494779561795
301,Standard,MgCl2,-0.7,10.0,0.1,6.177000139720559e-06,2.0755340036143742e-06,6.07553373918829e-06,2.033369629673911e-06,-1.0146640053226918e-07,9.019774873063361e-08,0.9833370510983933,0.013175508281924264
316,Standard,MgCl2,-0.6,10.0,0.1,5.606564544244844e-06,1.8429534683826801e-06,5.745118702594811e-06,1.8752361428990906e-06,1.3855415834996712e-07,4.306568213308911e-08,1.0250638138243844,0.005088665248187823
334,Standard,MgCl2,-0.5,10.0,0.1,5.36323629407851e-06,1.7782680347075106e-06,5.532405821689954e-06,1.8221693910542848e-06,1.6916952761144384e-07,4.400907731835951e-08,1.0320817159880635,0.0024423380420552417
354,Standard,MgCl2,-0.4,10.0,0.1,5.369034138389887e-06,1.7731844810836063e-06,5.488060918163674e-06,1.8120870302815444e-06,1.1902677977378636e-07,4.6769570718333904e-08,1.0219662834836714,0.005157251637181201
374,Standard,MgCl2,-0.3,10.0,0.1,5.34991133067199e-06,1.7829734812236374e-06,5.45814365269461e-06,1.803757503038753e-06,1.0823232202262097e-07,2.2332280648416242e-08,1.020882906460097,0.003088321686958959
394,Standard,MgCl2,-0.2,10.0,0.1,5.398007651363939e-06,1.7771225895753967e-06,5.434048023952096e-06,1.7972284183530506e-06,3.6040372588157024e-08,3.4850426066276193e-08,1.0065592240787995,0.005227274839953121
414,Standard,MgCl2,-0.1,10.0,0.1,5.411245229540917e-06,1.7811623586600684e-06,5.40930995342648e-06,1.8288009004138517e-06,-1.9352761144372518e-09,5.1521816362750195e-08,0.9975970212810356,0.009509478757341388
434,Standard,MgCl2,0.1,10.0,0.1,5.407279314703925e-06,1.8471958144277622e-06,5.416606766467067e-06,1.821751359025398e-06,9.327451763140767e-09,2.9282864202083974e-08,1.0032442627135074,0.007744182248043896
454,Standard,MgCl2,0.2,10.0,0.1,5.407089081836327e-06,1.7882524142512211e-06,5.384365495675315e-06,1.8286455907974844e-06,-2.2723586161011807e-08,4.1463876691706295e-08,0.9935087435148541,0.011023744006667795
474,Standard,MgCl2,0.3,10.0,0.1,5.366171057884232e-06,1.7571116335431445e-06,5.361919680638722e-06,1.7483439782299613e-06,-4.251377245509345e-09,1.0431233295389792e-08,0.9995926701203536,0.0022418073061991387
494,Standard,MgCl2,0.4,10.0,0.1,5.388569201596807e-06,1.7717340516242665e-06,5.4121335728542925e-06,1.7788792903786263e-06,2.3564371257485143e-08,1.7554937398317704e-08,1.0045429580658745,0.0032215291369105657
514,Standard,MgCl2,0.5,10.0,0.1,5.288411503659348e-06,1.763798599446528e-06,5.423007538256819e-06,1.7652966272385742e-06,1.345960345974714e-07,2.539437624072924e-08,1.0277618629796759,0.012386314024901661
531,Standard,MgCl2,0.6,10.0,0.1,5.335960126413839e-06,1.7290343312427683e-06,5.6297083499667324e-06,1.8159335956425592e-06,2.9374822355289393e-07,8.696353161668605e-08,1.0554546361835342,0.002116676171220627
546,Standard,MgCl2,0.7,10.0,0.1,5.4421697937458415e-06,1.7666970444101292e-06,6.217712275449102e-06,2.0478685244600334e-06,7.7554248170326e-07,2.9144104071939904e-07,1.1419444907449157,0.01474379028126142
558,Standard,MgCl2,0.8,10.0,0.1,5.759625156353958e-06,1.8471305227548205e-06,7.209441536926147e-06,2.370312934268549e-06,1.4498163805721894e-06,5.285336315258219e-07,1.2500331753053986,0.0154935457279602
