,Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
7,Standard,KCl,-0.8,10.0,0.05,3.068176373918829e-06,8.771379149771768e-07,2.93740243512974e-06,8.417805372332089e-07,-1.307739387890886e-07,6.738772035345135e-08,0.9572315505783028,0.021865456514638365
20,Standard,KCl,-0.7,10.0,0.05,2.779987704590818e-06,7.769984200323882e-07,2.77533994677312e-06,8.021563197418166e-07,-4.647757817698065e-09,8.978929323797739e-08,0.9968084561066247,0.038548484972410216
35,Standard,KCl,-0.6,10.0,0.05,2.6205500532268794e-06,7.560131846872354e-07,2.691877258815702e-06,7.851046334326276e-07,7.132720558882254e-08,4.545375774690142e-08,1.0266862528083822,0.01654730210318316
53,Standard,KCl,-0.5,10.0,0.05,2.627355089820359e-06,7.40267453181955e-07,2.6724612974051896e-06,7.792357737958379e-07,4.510620758483019e-08,4.82402925711658e-08,1.015534801660259,0.015757560974808352
73,Standard,KCl,-0.4,10.0,0.05,2.590450392548237e-06,7.827551167001877e-07,2.6431863539587497e-06,7.501244611150666e-07,5.273596141051224e-08,3.610776772995539e-08,1.0237352773714845,0.01799519605523869
93,Standard,KCl,-0.3,10.0,0.05,2.629988463073853e-06,7.622837354032685e-07,2.640584823685961e-06,7.781469831897072e-07,1.0596360612109086e-08,3.039741229404777e-08,1.0032537505272077,0.012506402112981211
113,Standard,KCl,-0.2,10.0,0.05,2.6308371190951433e-06,7.751619956378968e-07,2.651466826347305e-06,7.831398163631746e-07,2.0629707252162144e-08,2.021502534034274e-08,1.0077082687468697,0.00858281883223592
133,Standard,KCl,-0.1,10.0,0.05,2.600729560878244e-06,7.820628168925034e-07,2.6270062208915497e-06,7.789453256928298e-07,2.627666001330643e-08,1.7511104226112686e-08,1.0109095520003104,0.009031174220752282
153,Standard,KCl,0.1,10.0,0.05,2.634644258150366e-06,8.082054117618929e-07,2.6474694278110453e-06,7.711335365063046e-07,1.2825169660678893e-08,5.032938126627195e-08,1.0077593598582666,0.020788097300172986
173,Standard,KCl,0.2,10.0,0.05,2.603251483699268e-06,7.659578312484489e-07,2.6087163073852294e-06,7.435212073858441e-07,5.464823685960922e-09,4.535548850105049e-08,1.0039161411213362,0.02048907020094664
193,Standard,KCl,0.3,10.0,0.05,2.604742794411178e-06,7.460967076407649e-07,2.634390259481038e-06,7.244611969336459e-07,2.9647465069860402e-08,3.100948497416108e-08,1.01345861680551,0.015087458515406667
213,Standard,KCl,0.4,10.0,0.05,2.567345921490353e-06,7.545302407820372e-07,2.6003089820359283e-06,7.475141340460524e-07,3.2963060545575524e-08,8.47473588797087e-09,1.013996876040007,0.006364187029474015
233,Standard,KCl,0.5,10.0,0.05,2.577506107784431e-06,7.268526825708072e-07,2.587856679973387e-06,7.546879932907532e-07,1.0350572188955185e-08,2.848423974807783e-08,1.0023664117465787,0.009296633598883532
250,Standard,KCl,0.6,10.0,0.05,2.5430043779108447e-06,7.25443923398633e-07,2.6541237391882895e-06,7.395831008033028e-07,1.1111936127744498e-07,1.7240510965020115e-08,1.0449212696024093,0.008130785280902289
265,Standard,KCl,0.7,10.0,0.05,2.5735959680638722e-06,7.19565172083844e-07,2.776212215568862e-06,7.860503513698797e-07,2.0261624750499005e-07,6.774094000233357e-08,1.0780612674983698,0.007327071457567747
277,Standard,KCl,0.8,10.0,0.05,2.612245741849634e-06,7.667865873019531e-07,3.091922860944777e-06,8.867154130857901e-07,4.796771190951429e-07,1.1992965866931293e-07,1.185042340118897,0.007238262249476604
