Type,Electrolyte,Width [s],Interval [s],Train pulses #,Resistor,Measure #,Polarization,IDSmed [A],IDSmed [A],delIDS [A],delIDS [A],Gn [S],Gn [S]
,,,,,,,,mean,std,mean,std,mean,std
Standard,KCl,0.1,0.03,10,0,34,pos,6.792842171421398e-06,2.6350367735741186e-06,-8.056735130897627e-09,9.806643401796845e-09,1.7355792359740482e-06,3.523279756967907e-07
Standard,KCl,0.1,0.03,10,0,35,pos,6.786821444393354e-06,2.6337212831492803e-06,-6.020727028044348e-09,1.5891861984247995e-09,1.7341017477202329e-06,3.9504143835380624e-07
Standard,KCl,0.1,0.03,10,0,36,pos,6.783299028256806e-06,2.630002904735996e-06,-3.5224161365476903e-09,3.7685822149669974e-09,1.7497115749945132e-06,3.903763456779192e-07
Standard,KCl,0.1,0.03,10,0,37,pos,6.779838320388385e-06,2.6277338309476418e-06,-3.4607078684218643e-09,2.8627116063051652e-09,1.4311478829093104e-06,5.738963690239977e-07
Standard,KCl,0.1,0.03,10,0,38,pos,6.779745338765983e-06,2.626541252296219e-06,-9.298162240184892e-11,1.424025065247688e-09,1.6311584163725792e-06,5.9312180548103e-07
Standard,KCl,0.1,0.03,10,0,39,pos,6.776171616706961e-06,2.628685308435617e-06,-3.5737220590219884e-09,2.23892095062904e-09,1.5572389347343126e-06,5.638256113679403e-07
Standard,KCl,0.1,0.03,10,0,40,pos,6.774462335101816e-06,2.6241430498175657e-06,-1.7092816051442147e-09,6.14748074250094e-09,1.363799314882966e-06,5.923739577179572e-07
Standard,KCl,0.1,0.03,10,0,41,neg,6.64295892249811e-06,2.6563847021596685e-06,-1.3150341260370624e-07,7.328092629144301e-08,-1.394049300414674e-08,8.170165666487377e-08
Standard,KCl,0.1,0.03,10,0,42,neg,6.6552415300217644e-06,2.676626061236075e-06,1.2282607523654105e-08,2.192475546290496e-08,2.9756881256199844e-07,2.597334774575045e-07
Standard,KCl,0.1,0.03,10,0,43,neg,6.66881804534114e-06,2.6838080771646395e-06,1.3576515319376106e-08,7.635481624133325e-09,3.087940038897252e-07,4.0860727016699376e-07
Standard,KCl,0.1,0.03,10,0,44,neg,6.677483331903507e-06,2.6997153473919196e-06,8.665286562367003e-09,1.6164111363848466e-08,4.7092989638077926e-07,5.571765783458151e-07
Standard,KCl,0.1,0.03,10,0,45,neg,6.688568262802619e-06,2.704579789486307e-06,1.1084930899111592e-08,6.25290407442824e-09,4.93679971980906e-07,3.591777744688728e-07
Standard,KCl,0.1,0.03,10,0,46,neg,6.692586353551633e-06,2.708627434355641e-06,4.018090749013936e-09,4.0478253523556506e-09,6.725239334701887e-07,7.579763858981605e-07
Standard,KCl,0.1,0.03,10,0,47,neg,6.701371068137026e-06,2.713771867205365e-06,8.78471458539328e-09,6.201457857485745e-09,6.729092394797104e-07,4.865041702577659e-07
Standard,KCl,0.1,0.03,10,0,48,neg,6.705773922514406e-06,2.720018123333968e-06,4.402854377379602e-09,6.342305577163348e-09,6.131235682329255e-07,5.267476886358622e-07
