,Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
48,Standard,KCl,-0.5,0.1,0.4,1.9650867731204256e-05,6.408332076713984e-06,1.9662798469727212e-05,6.476479290557886e-06,1.193073852295407e-08,8.423029488706869e-08,1.0000061124221005,0.0036968978241759005
68,Standard,KCl,-0.4,0.1,0.4,1.9755840785096473e-05,6.405342359988205e-06,1.9816436793080503e-05,6.507484421546869e-06,6.059600798403013e-08,1.341817089698446e-07,1.002347080368901,0.005610084075555752
88,Standard,KCl,-0.3,0.1,0.4,1.98475119760479e-05,6.412849718329718e-06,1.9949962807717903e-05,6.496905564112606e-06,1.0245083166999377e-07,8.484969427415252e-08,1.004605018796089,0.002803619187125761
108,Standard,KCl,-0.2,0.1,0.4,1.9946057085828342e-05,6.460563678925846e-06,2.0070427877578176e-05,6.494550196796888e-06,1.2437079174983388e-07,4.527248617167556e-08,1.0063548556913482,0.0018786534574081466
128,Standard,KCl,-0.1,0.1,0.4,2.0064033799068527e-05,6.483999591446085e-06,2.0192616966067867e-05,6.5183245676543395e-06,1.285831669993363e-07,4.103750342500244e-08,1.0065249211492555,0.0014612805563520605
148,Standard,KCl,0.1,0.1,0.4,2.013061836327345e-05,6.486948055997706e-06,2.021648163672655e-05,6.538350195582896e-06,8.586327345309638e-08,5.158373297545634e-08,1.004009768775317,0.001268441775469877
168,Standard,KCl,0.2,0.1,0.4,1.9991985495675315e-05,6.444668676894927e-06,2.010928496340652e-05,6.50417807186409e-06,1.1729946773120642e-07,6.122056389327084e-08,1.0056644216179305,0.001152745251824763
188,Standard,KCl,0.3,0.1,0.4,1.9922233865602126e-05,6.429752173159646e-06,2.003421004657352e-05,6.476142172128318e-06,1.1197618097139327e-07,5.013185324525305e-08,1.0055455985302746,0.0010907641053476236
208,Standard,KCl,0.4,0.1,0.4,1.9823723819028606e-05,6.4335816224814545e-06,1.9928120292747835e-05,6.460372001340378e-06,1.0439647371922855e-07,2.6790389063410513e-08,1.0053413535532076,0.00035184162084885066
228,Standard,KCl,0.5,0.1,0.4,1.9680469461077842e-05,6.426100029048998e-06,1.9824675582168992e-05,6.486405274101318e-06,1.4420612109114999e-07,6.340692004682162e-08,1.0071531493349262,0.001504527748789067
