,Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
305,Standard,MgCl2,-0.7,40.0,0.2,1.3514610820105824e-05,4.6127928010836925e-06,1.1987126587301589e-05,4.122255125284479e-06,-1.527484232804234e-06,4.908261955455518e-07,0.8862497490197919,0.003378073669073927
320,Standard,MgCl2,-0.6,40.0,0.2,1.2369349973544974e-05,4.280563939605309e-06,1.1713447645502644e-05,4.075582267192298e-06,-6.559023280423287e-07,2.2966738070884285e-07,0.9463085047175891,0.007581137491037957
339,Standard,MgCl2,-0.5,40.0,0.2,1.132832283068783e-05,3.920622841803429e-06,1.1308831164021163e-05,3.92675859851896e-06,-1.949166666666649e-08,1.9231210366497957e-08,0.9978978285612046,0.0021761111754532844
359,Standard,MgCl2,-0.4,40.0,0.2,1.0808713835978835e-05,3.6686060835954206e-06,1.1028656481481482e-05,3.824181615179989e-06,2.1994264550264696e-07,1.5572301775957664e-07,1.0180225819927118,0.010320208450905621
379,Standard,MgCl2,-0.3,40.0,0.2,1.072842674603175e-05,3.6208766020121507e-06,1.0972016058201057e-05,3.756478963633941e-06,2.435893121693088e-07,1.4135447559684643e-07,1.021136482537364,0.007790812596849364
399,Standard,MgCl2,-0.2,40.0,0.2,1.0825366878306876e-05,3.6599303497585186e-06,1.0991002592592592e-05,3.744261539746684e-06,1.6563571428571526e-07,8.480331520326051e-08,1.0145024081455516,0.0035902340776986863
419,Standard,MgCl2,-0.1,40.0,0.2,1.1009923095238095e-05,3.755970250529913e-06,1.1096717592592595e-05,3.7546502252388874e-06,8.679449735449843e-08,2.6274052182683594e-08,1.008729888564735,0.004154340515272635
439,Standard,MgCl2,0.1,40.0,0.2,1.110378007936508e-05,3.7853555271250067e-06,1.1066625317460319e-05,3.783480261724022e-06,-3.7154761904760444e-08,1.8042429888075265e-08,0.9963745017508135,0.0017923102915123877
459,Standard,MgCl2,0.2,40.0,0.2,1.0896392698412698e-05,3.7118519784575897e-06,1.0842903095238093e-05,3.644928186031306e-06,-5.3489603174603534e-08,7.100411384116913e-08,0.996509395300461,0.006567788077069529
479,Standard,MgCl2,0.3,40.0,0.2,1.0691814603174603e-05,3.618105949467325e-06,1.0716727275132274e-05,3.642262713852528e-06,2.491267195767184e-08,2.645508444534444e-08,1.0018878586665136,0.002109904466770972
499,Standard,MgCl2,0.4,40.0,0.2,1.055822029100529e-05,3.5929211988196996e-06,1.0817140846560845e-05,3.6541272649411304e-06,2.5892055555555456e-07,7.632792099396558e-08,1.0253751807025744,0.005342736734058944
519,Standard,MgCl2,0.5,40.0,0.2,1.0532931216931218e-05,3.5591842176721477e-06,1.134935494708995e-05,3.9104941221524496e-06,8.164237301587316e-07,3.672661065604174e-07,1.0754585430833667,0.012565084665557195
535,Standard,MgCl2,0.6,40.0,0.2,1.0683644206349207e-05,3.648769431203832e-06,1.2405591904761906e-05,4.243368648904548e-06,1.7219476984126996e-06,6.199514470021368e-07,1.1613273184928452,0.01490292765467041
550,Standard,MgCl2,0.7,40.0,0.2,1.0996077328042327e-05,3.731590733215063e-06,1.384007187830688e-05,4.715303523853142e-06,2.8439945502645535e-06,1.0022098835258873e-06,1.2584711638755524,0.016434376605740045
