Type,Electrolyte,IDSmed (100s - 600s) [A],IDSmed (100s - 600s) [A],IGSmed (100s - 600s) [A],IGSmed (100s - 600s) [A],IDSmed_pos (90s - 100s) [A],IDSmed_pos (90s - 100s) [A],IDSmed_pos (130s - 140s) [A],IDSmed_pos (130s - 140s) [A],IDSmed_pos (150s - 160s) [A],IDSmed_pos (150s - 160s) [A],IDSmed_pos (7150s - 7160s) [A],IDSmed_pos (7150s - 7160s) [A],IGSmed_pos (7150s - 7160s) [A],IGSmed_pos (7150s - 7160s) [A],delIDSmed_pos (f-b) [A],delIDSmed_pos (f-b) [A],a trans pos [muA],a trans pos [muA],Tau trans pos [s],Tau trans pos [s],c trans pos [muA],c trans pos [muA],r2 trans pos,r2 trans pos,a long pos [muA],a long pos [muA],Tau long pos [s],Tau long pos [s],c long pos [muA],c long pos [muA],r2 long pos,r2 long pos,Slope pos [muA/s],Slope pos [muA/s],r2 linear pos,r2 linear pos,IDSmed_neg (90s - 100s) [A],IDSmed_neg (90s - 100s) [A],IDSmed_neg (130s - 140s) [A],IDSmed_neg (130s - 140s) [A],IDSmed_neg (150s - 160s) [A],IDSmed_neg (150s - 160s) [A],IDSmed_neg (2990s - 3000s) [A],IDSmed_neg (2990s - 3000s) [A],IGSmed_neg (2990s - 3000s) [A],IGSmed_neg (2990s - 3000s) [A],delIDSmed_neg (f-b) [A],delIDSmed_neg (f-b) [A],a trans neg [muA],a trans neg [muA],Tau trans neg [s],Tau trans neg [s],c trans neg [muA],c trans neg [muA],r2 trans neg,r2 trans neg,a long neg [muA],a long neg [muA],Tau long neg [s],Tau long neg [s],c long neg [muA],c long neg [muA],r2 long neg,r2 long neg,Slope neg [muA/s],Slope neg [muA/s],r2 linear neg,r2 linear neg
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Bicamada,KCl,8.751351482074074e-05,3.877006329833969e-06,-7.334376502222225e-09,9.162722162232883e-08,8.759657933333333e-05,3.7856180384373703e-06,8.943425933333333e-05,3.492609638622865e-06,9.197382299999999e-05,3.4457034197092577e-06,9.012695499999999e-05,3.922310797765516e-06,7.275740499999998e-07,8.129004131589403e-07,2.5303756666666653e-06,3.21342866141965e-07,-3.2112618019300463,0.3683364404154866,9.41369978084827,2.256870260869715,93.17402760484448,3.3732306426400887,0.9977945081324496,0.0005765907370646761,8440.60948371313,7328.310774811774,9810162.06020809,8790083.201525444,-8347.033336037355,7327.0963306018775,0.8902657521053815,0.10309859989069295,-0.00035108794933096663,5.828754486442326e-06,0.9689927301043619,0.0035408400367503193,8.905113266666665e-05,4.497279097313416e-06,0.000102541863,3.2215664718125848e-06,9.121370666666668e-05,4.059993914026525e-06,9.136526300000001e-05,3.8769012416775745e-06,6.872811299999998e-07,6.380052283305726e-07,2.31413033333336e-06,1.2774216748064475e-06,3.040641817447593,0.060676119663055514,7.024399030119111,0.4110802870355474,90.32621836038903,4.030422281230662,0.988724654034673,0.00037642119496439575,1.4020087769801937,0.1184070809260089,240.36165507223077,63.68947716374243,88.50133423333274,3.90218288921506,0.9491717488517829,0.00842745549164577,-0.00012495115445262093,5.980029596832129e-05,0.47748014416391465,0.19167903698348607
Bicamada,MgCl2,8.832570441833167e-05,9.375345185556845e-07,-2.3679644964360873e-07,1.4450028471465615e-07,8.8094429e-05,9.307661676275129e-07,8.833308966666668e-05,9.345876146570613e-07,9.279362366666668e-05,1.4492314623110803e-06,8.956087266666666e-05,8.309978032728716e-07,1.4464049666666665e-08,3.557517882617646e-08,1.4664436666666717e-06,1.000760002414869e-07,-2.1962865022423155,0.16058188316059951,6.163421876589137,0.5715635908556556,93.35554455988778,1.3536698475288904,0.9810440224468654,0.007642554219258819,8231.203194024361,8274.494814692178,7751612.894032651,8823367.811659718,-8137.248504560786,8275.41825534102,0.9224509897736598,0.0938990017018369,-0.0004167528547831334,2.213268881972407e-05,0.9689418026969197,0.004908989957470073,8.933357366666665e-05,7.49982425767638e-07,0.00010166666666666667,5.773502691896242e-07,9.189410699999999e-05,6.430354694252865e-07,9.121112833333333e-05,7.692503245578406e-07,4.283593533333332e-08,1.8126404206822455e-07,1.8775546666666777e-06,2.041171284665685e-08,-8474.577282894743,14683.317649120545,-75799.89805448092,131301.7068971193,8568.23858262801,14682.302360637821,0.9474740727946059,0.07062089503161424,2.100254882757359,0.12948220475143554,233.98113674673223,19.230076020471326,88.382998490118,0.9262547342168606,0.9724748158498429,0.008478242245478423,-0.0002869444339233333,4.2714514121093386e-05,0.8364405957317035,0.060755889306766536
Enode,KCl,1.1567889813333333e-05,1.0416452307808734e-06,2.1872123232666666e-07,3.3987102580152303e-07,1.1543826333333332e-05,1.0223490692861876e-06,1.569613e-05,2.5811139030852396e-07,1.4828286666666663e-05,1.7716375814283615e-06,1.2021106999999998e-05,1.0166818218105423e-06,5.991455790000001e-07,8.274298722773127e-07,4.772806666666662e-07,1.5474827091225653e-07,-2.252103754161293,0.6728940507091454,11.987718849164205,3.9600105513537205,15.80797462266221,1.8653283596321808,0.9929526063933536,0.009669455234793133,2.151956886706774,0.5775516713049441,456.39692217332157,39.09093040455221,13.552413237295445,1.3453778192560568,0.988940423010023,0.008112549444937977,-0.00019119319933763332,3.6518159769969544e-05,0.9105973173091443,0.07590227504943409,1.1990429333333334e-05,1.02076901428988e-06,2.930326966666667e-05,8.838382461889309e-07,1.2777569333333336e-05,9.094554925147977e-07,1.2753759666666667e-05,1.2282469339104144e-06,5.445879853333332e-07,7.439847074645871e-07,7.633303333333335e-07,2.0753410199370478e-07,1.7339478025072392,0.11102887741297914,5.926450606702232,0.6891913212204428,12.360895935098661,0.8473771681612445,0.9799573625957437,0.0037548202871176737,0.652938069667183,0.05749739412121808,135.5170029714354,34.64072088984035,11.484121425226236,0.8343339547823196,0.9158523377183512,0.03500669822143475,-0.00010279368422120406,2.858288486461564e-05,0.5242888234194122,0.2294851728228387
Enode,MgCl2,1.0474140398666666e-05,4.266058962014407e-07,-2.0879904098e-07,1.5497508705888363e-07,1.0344231199999998e-05,3.5368733092226937e-07,1.4357758000000003e-05,1.1333893344813162e-06,1.4509556666666668e-05,1.055034145071303e-06,1.0590792e-05,3.9746877240734166e-07,9.21886933333336e-09,2.548288887764671e-07,2.465608000000004e-07,5.74510254888476e-08,-2.209096312678302,0.614422201825554,5.450403157019639,0.7356047662053463,14.966646226473918,1.1430841714294002,0.9932244039467192,0.00032088789272083904,3.1783799077827655,0.4332017858529385,445.02270565818645,120.41508800925722,11.87787280939567,0.919886231593613,0.9956976594560802,0.0009356538525992736,-0.00016608713717506667,6.708182545036333e-05,0.7997954553515357,0.17107660789795093,1.0515970666666668e-05,4.4655123403069114e-07,2.8501073999999996e-05,1.5612675029337594e-06,1.2240251333333333e-05,5.145827177882413e-07,1.1193117666666666e-05,6.358993115559538e-07,-2.6623305999999985e-08,2.533471101233749e-07,6.771469999999987e-07,2.892715757847644e-07,2.65587665109148,0.3137689530899259,5.155026776809432,0.42894827107646455,11.695798602423691,0.5544331040330437,0.9779067881447219,0.00486084159296928,0.9472836391606144,0.06276602439014303,218.98302887061791,24.03412359535994,10.371102975950238,0.4500453555318394,0.9480376427868379,0.02637213217265991,-0.00019627408033576666,5.16372757173303e-05,0.7343218410496487,0.026482034918092142
Standard,KCl,8.026948803333334e-06,9.627888743019012e-07,-3.1109577344666667e-07,8.263521588857799e-08,7.946133866666666e-06,1.0085723618821914e-06,1.157192566666667e-05,1.2004613716673e-06,1.1709092166666666e-05,2.191954963691678e-06,8.100073600000001e-06,9.595056862050014e-07,-1.7495961300000003e-07,8.288347841253303e-08,1.5393973333333327e-07,1.4376618876065275e-07,-1.594398787287503,0.2122520922076507,11.023340745463841,3.310206762969579,12.377589537723269,2.1165977933283666,0.9935123917077582,0.0034925402783209736,2.4991437321757424,0.785919561336586,445.6073130347084,67.25096507301802,9.588093421847539,1.3385395770036643,0.991306835898622,0.0026468370447688366,-0.00017826061497723335,3.299952389622349e-05,0.9257125200695032,0.028946896177948843,8.1107625e-06,9.395304727252015e-07,2.212711066666667e-05,1.9119041407958544e-06,9.2104684e-06,1.0211741794522174e-06,8.8003472e-06,1.0632003146603985e-06,-1.5167390733333334e-07,1.285700765261943e-07,6.895846999999996e-07,1.23692395822096e-07,0.9008822556306096,0.12525199587287428,9.000097152755755,0.39571956465036984,8.874416865292021,0.9617008939007832,0.9821556705496709,0.0012536126322079478,0.7754082852825612,0.07561649854821001,421.60174987688174,72.25264341381133,8.024030852902328,0.9108482606542416,0.967246013996737,0.005343576889147503,-0.00015522278005296666,3.9236443107134645e-05,0.7756707650265607,0.09426755830973269
Standard,MgCl2,1.0506589284666666e-05,2.834642958754357e-06,-3.110790454e-07,8.872763742609645e-08,1.0366878133333332e-05,2.7838958421825793e-06,1.3424947433333332e-05,3.472584626645254e-06,1.6848407333333335e-05,3.985676111884447e-06,1.0726771499999999e-05,3.0904075570381066e-06,-7.4903107e-08,6.3905597270458e-08,3.5989336666666814e-07,3.8340676038980114e-07,-1.724475855135184,0.5440902052846013,2.9948281873911475,0.6962518916750884,16.984985991386107,4.104333870555054,0.9819146635447139,0.014206752464512232,3.7607218042998656,0.585784671804034,357.1438439821968,29.348224490050235,12.960234178250031,3.601995999306627,0.9941885008142594,0.0020437511682055488,-0.000261753152445,7.692212706210092e-05,0.9647982327280061,0.02219706774801728,1.0671097666666665e-05,3.0620626336968224e-06,2.5033152666666668e-05,5.492207086705431e-06,1.1759320666666667e-05,3.2660236357617406e-06,1.1727772766666666e-05,3.4007236964415637e-06,-1.824299846666667e-07,7.560517183514148e-08,1.0566751000000013e-06,3.428402118638233e-07,1.7182576326796128,0.5060289543997907,5.326150846447327,0.3049232786217713,11.393684851514946,3.151516956450185,0.9823092598086296,0.004108027843090023,0.9171278438547613,0.12980518338784752,346.85986627978554,68.74081481966556,10.186638188946942,2.9391599682890357,0.9660770074995365,0.007656772579434762,-0.00016021997509470002,4.296305138603479e-05,0.7565005523051211,0.11176744360476892
