,Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
8,Standard,KCl,-0.8,10.0,0.1,5.637726892880905e-06,1.7994120786277218e-06,5.4493874451097805e-06,1.7537251838050576e-06,-1.8833944777112411e-07,6.950713852061273e-08,0.9662401097294938,0.011154406723562814
21,Standard,KCl,-0.7,10.0,0.1,5.110113140385895e-06,1.6237041614131079e-06,5.175673938789088e-06,1.6483600800850495e-06,6.556079840319293e-08,3.039610332608995e-08,1.0127168326759108,0.004289920758447918
36,Standard,KCl,-0.6,10.0,0.1,4.851611862940785e-06,1.5663939412592127e-06,4.9992158948769135e-06,1.5820407140696116e-06,1.4760403193612753e-07,1.8329884029933064e-08,1.0316877591998128,0.006291737305014393
54,Standard,KCl,-0.5,10.0,0.1,4.7499471257485025e-06,1.5639003689876671e-06,4.8759455888223555e-06,1.6183594561769104e-06,1.2599846307385256e-07,7.107364055562886e-08,1.0261122478013245,0.012060807520397853
74,Standard,KCl,-0.4,10.0,0.1,4.717570765136394e-06,1.50431644346474e-06,4.815817345309381e-06,1.535494086298913e-06,9.824658017298659e-08,3.207478919911834e-08,1.020842435969895,0.0019768328320883617
94,Standard,KCl,-0.3,10.0,0.1,4.738818995342648e-06,1.5032590772348108e-06,4.811724610778443e-06,1.5139716647102203e-06,7.290561543579485e-08,2.0040380808678235e-08,1.015902978182406,0.0050770710466954356
114,Standard,KCl,-0.2,10.0,0.1,4.732370771789754e-06,1.4933288879053182e-06,4.783005222887558e-06,1.4961882064140134e-06,5.0634451097804774e-08,1.965807253038528e-08,1.0112541110297901,0.005744582919314986
134,Standard,KCl,-0.1,10.0,0.1,4.769188749168331e-06,1.4894895081780634e-06,4.811685196274119e-06,1.4950493884097836e-06,4.249644710578801e-08,4.0757589176122394e-08,1.0093099072917606,0.010559853050472532
154,Standard,KCl,0.1,10.0,0.1,4.784187052561544e-06,1.536129766167925e-06,4.790548017298736e-06,1.5058919371341392e-06,6.360964737192165e-09,3.405810014079143e-08,1.002604281759063,0.007007926314647745
174,Standard,KCl,0.2,10.0,0.1,4.754126872920825e-06,1.4867150165587605e-06,4.75850499001996e-06,1.523021899891705e-06,4.378117099134942e-09,3.797114122272917e-08,0.9995283793710624,0.007373148577812373
194,Standard,KCl,0.3,10.0,0.1,4.745933526280772e-06,1.5067402792277655e-06,4.748320911510313e-06,1.5155011569334918e-06,2.387385229540759e-09,9.164504873385115e-09,1.0001807093410886,0.0016878597695021969
214,Standard,KCl,0.4,10.0,0.1,4.690786360612109e-06,1.5160004806834675e-06,4.768086094477711e-06,1.5281456920665408e-06,7.729973386560233e-08,1.2705542861101224e-08,1.0170041033669441,0.002605170093770361
234,Standard,KCl,0.5,10.0,0.1,4.709242648037259e-06,1.5374568308655677e-06,4.804086872920825e-06,1.5915448253533015e-06,9.484422488356617e-08,5.879103164106637e-08,1.0191560925916219,0.007729243825480816
251,Standard,KCl,0.6,10.0,0.1,4.72054504324684e-06,1.54329657783296e-06,4.932940871590154e-06,1.5778848268084122e-06,2.1239582834331365e-07,4.474044456782311e-08,1.046394716779638,0.009608071723431541
266,Standard,KCl,0.7,10.0,0.1,4.765667178975382e-06,1.5350530559639345e-06,5.169344836992681e-06,1.6612553288873706e-06,4.036776580172985e-07,1.2691410678710355e-07,1.0848863694994886,0.0037175539850904087
278,Standard,KCl,0.8,10.0,0.1,4.935724677312043e-06,1.5810964641455657e-06,5.7079356952761145e-06,1.808392887503708e-06,7.722110179640719e-07,2.2831833509271069e-07,1.1572093145001752,0.006629263479700739
