Type	Chip	Disp	Electrolyte	Measure	Sweep	VGSmin [V]	IDSmin [A]	IDSmax [A]	Ronoff	Res [ohm]	IDS(-0.6V) [A]	IDS(+0.6V) [A]	VGS min |gm| [V]	min |gm| [S]	VGS min gm [V]	min gm [S]	VGS max gm [V]	max gm [S]
Standard	2	1	KCl	110	2	0.1	9.298323e-06	2.0152e-05	2.167272528605427	10541.325527411504	2.0152e-05	1.22038e-05	0.1	2.6100000000001664e-07	-0.6	-3.060149999999992e-05	0.6	9.109999999999975e-06
Standard	2	1	KCl	151	1	0.26	8.921117e-06	2.14255e-05	2.401661137276868	9926.119889661251	2.14255e-05	1.01808e-05	0.26	1.7739999999999596e-07	-0.6	-6.924349999999987e-05	0.6	6.698499999999927e-06
Standard	2	1	KCl	152	1	0.16	8.507073e-06	1.687187e-05	1.9832755637573585	11339.835595063543	1.687187e-05	1.009987e-05	0.16	1.0589999999998149e-07	-0.6	-7.800849999999994e-05	0.6	6.606349999999935e-06
Standard	2	1	KCl	310	2	0.06	4.326973e-06	1.081503e-05	2.499444761961769	22702.07857961268	1.081503e-05	6.955687e-06	0.06	2.7182499999999464e-07	-0.6	-1.872999999999997e-05	0.6	8.223999999999959e-06
Standard	2	1	KCl	330	2	0.16	3.7274e-06	8.860023e-06	2.37699817567205	25206.94905171458	8.860023e-06	5.067553e-06	0.18	1.4767499999999685e-07	-0.6	-1.778564999999996e-05	0.6	5.846499999999999e-06
Standard	2	1	KCl	330	2	0.44	3.62917e-06	5.709757e-06	1.573295546915686	20753.33355608578	5.284333e-06	3.8108e-06	0.44	1.2749999999997464e-08	0.04	-4.399424999999992e-06	-0.6	4.890499999999996e-06
Standard	2	1	KCl	310	2	0.08	3.83795e-06	8.531107e-06	2.2228291145012307	25606.44381037199	8.531107e-06	6.17668e-06	0.08	1.031499999999924e-07	-0.6	-1.5031349999999935e-05	0.6	7.722849999999985e-06
Standard	2	3	KCl	250	2	0.18	4.89093e-06	1.161777e-05	2.3753703283424628	19062.869343093524	1.161777e-05	6.322307e-06	0.18	2.3424999999992072e-08	-0.6	-1.9997000000000005e-05	0.6	5.994700000000024e-06
Standard	2	3	KCl	230	2	0.08	4.917183e-06	1.10949e-05	2.256352875213308	20032.66526397945	1.10949e-05	7.11917e-06	0.08	2.0359999999998565e-07	-0.6	-1.925349999999992e-05	0.6	6.948349999999973e-06
Standard	2	3	KCl	210	2	0.04	4.815687e-06	1.111563e-05	2.308212722296944	20674.856252893187	1.111563e-05	7.329037e-06	0.04	9.160000000001113e-08	-0.6	-1.984299999999999e-05	0.6	7.23169999999999e-06
