,Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
2,Standard,KCl,-0.8,0.01,0.1,4.6110180032467455e-06,9.665711192009039e-07,4.600750192595894e-06,9.63703044560881e-07,-1.0267810650851273e-08,3.746085681205286e-08,0.9978547365487461,0.009187768723139905
12,Standard,KCl,-0.7,0.01,0.1,4.59289793158708e-06,9.847395126681619e-07,4.596822629476237e-06,9.766223829726225e-07,3.9246978891572264e-09,2.189535892419957e-08,1.001096398653693,0.005231291251030776
27,Standard,KCl,-0.6,0.01,0.1,4.600737527293422e-06,9.509117752349629e-07,4.608311475429558e-06,9.32357223747928e-07,7.57394813613593e-09,2.579676145628644e-08,1.0021902673699308,0.005795444027418015
42,Standard,KCl,-0.5,0.01,0.1,4.600331283513789e-06,9.718950914120767e-07,4.597589443921691e-06,1.003861253873888e-06,-2.7418395920978803e-09,3.46977223251475e-08,0.9984799303585504,0.007473301746525504
62,Standard,KCl,-0.4,0.01,0.1,4.607816117313656e-06,9.886992046889235e-07,4.583462941450094e-06,9.792167958798349e-07,-2.43531758635616e-08,2.4853257125932174e-08,0.9948334402607198,0.005706109526984116
82,Standard,KCl,-0.3,0.01,0.1,4.592503718952864e-06,9.747078651704133e-07,4.601562113092242e-06,9.85186619544885e-07,9.058394139378533e-09,1.1652078045798907e-08,1.001725989341518,0.0021866150955701675
102,Standard,KCl,-0.2,0.01,0.1,4.622758110334217e-06,9.78011380986422e-07,4.646631899117178e-06,9.917424993287602e-07,2.387378878296065e-08,1.436428727010713e-08,1.0049258833627102,0.0019378290303639933
122,Standard,KCl,-0.1,0.01,0.1,4.661174812646161e-06,9.6578602927838e-07,4.6378393350408955e-06,9.856125372792439e-07,-2.3335477605265286e-08,2.220645026107808e-08,0.9943322470692492,0.005254714726224937
142,Standard,KCl,0.1,0.01,0.1,4.624626223537646e-06,9.313678536223027e-07,4.646208039511917e-06,9.857063538793e-07,2.1581815974270284e-08,5.604315747297083e-08,1.0033014029042775,0.010909672047580077
162,Standard,KCl,0.2,0.01,0.1,4.633715423596342e-06,9.650591731300053e-07,4.63435215326387e-06,9.500217040072439e-07,6.367296675276578e-10,3.832857461161581e-08,1.0006346717101333,0.009384504914195516
182,Standard,KCl,0.3,0.01,0.1,4.642423909016677e-06,9.424586559509148e-07,4.645506225077522e-06,9.56145751908411e-07,3.082316060845026e-09,1.6282535041555124e-08,1.0003227883508192,0.0032539045179573504
202,Standard,KCl,0.4,0.01,0.1,4.59599391792813e-06,9.836393070301476e-07,4.619998767046537e-06,9.684255287178015e-07,2.400484911840753e-08,1.6024462432730753e-08,1.0058104026851826,0.004346875206756464
222,Standard,KCl,0.5,0.01,0.1,4.623950831147112e-06,1.0092202083686769e-06,4.624751208867116e-06,9.791951232692113e-07,8.003777200040299e-10,3.307253371438119e-08,1.0010365332884212,0.006754706788395918
242,Standard,KCl,0.6,0.01,0.1,4.619218018661762e-06,9.509682379948308e-07,4.6095607463470645e-06,9.603567339461428e-07,-9.657272314696279e-09,1.7660117352635292e-08,0.9976179588123104,0.004159349981348178
257,Standard,KCl,0.7,0.01,0.1,4.58698256941308e-06,9.77010290295339e-07,4.58804423217982e-06,9.895655229875791e-07,1.0616627667400772e-09,1.6160540539619456e-08,0.9998737798023735,0.0036291289932770315
272,Standard,KCl,0.8,0.01,0.1,4.596446265385067e-06,9.760919802612677e-07,4.632955852708174e-06,9.910344814540907e-07,3.650958732310608e-08,1.651054369404273e-08,1.0077319473980044,0.002339773244786513
