,Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
324,Standard,MgCl2,-0.5,0.01,0.4,2.105116506730641e-05,7.300215176465936e-06,2.11053450219912e-05,7.316334839907689e-06,5.4179954684790455e-08,2.012542492962471e-08,1.00261018178782,0.0005000143850556434
344,Standard,MgCl2,-0.4,0.01,0.4,2.1311937118485936e-05,7.369488132447159e-06,2.1361811382113824e-05,7.387477270177456e-06,4.9874263627883145e-08,4.8320299069043314e-08,1.0023132065863198,0.0017670098568418756
364,Standard,MgCl2,-0.3,0.01,0.4,2.1793557923497268e-05,7.519057688186042e-06,2.1822936532053848e-05,7.534995605370254e-06,2.9378608556576732e-08,5.029001935326668e-08,1.0012465449083023,0.001895266410347317
384,Standard,MgCl2,-0.2,0.01,0.4,2.2322247740903642e-05,7.727261836550443e-06,2.232405176596028e-05,7.747254428499659e-06,1.8040250566444295e-09,3.5924182338349074e-08,0.999792131571247,0.001702213696813487
404,Standard,MgCl2,-0.1,0.01,0.4,2.316615607090497e-05,7.95589015153792e-06,2.3089847154471544e-05,7.96416073778298e-06,-7.63089164334289e-08,8.008109400193305e-08,0.9962050712153818,0.0036773582593395996
424,Standard,MgCl2,0.1,0.01,0.4,2.3841973437291753e-05,8.284965169646503e-06,2.3671997534319603e-05,8.200504524464495e-06,-1.6997590297214546e-07,1.1077158808366467e-07,0.9931779923524277,0.002785938560484257
444,Standard,MgCl2,0.2,0.01,0.4,2.270387007863521e-05,7.814733809202992e-06,2.2668485938957754e-05,7.80945772562608e-06,-3.538413967745908e-08,5.439318521432196e-08,0.9983256477887347,0.0020709523088465057
464,Standard,MgCl2,0.3,0.01,0.4,2.199741881913901e-05,7.62815607208521e-06,2.201371904571505e-05,7.585381393510367e-06,1.630022657603655e-08,6.657807327002744e-08,1.0014263997762891,0.003491042952673646
484,Standard,MgCl2,0.4,0.01,0.4,2.1555636545381844e-05,7.438821453833334e-06,2.161471701985872e-05,7.4754839883015376e-06,5.9080474476876554e-08,6.446090200788375e-08,1.0024826180009805,0.0023724287361777375
504,Standard,MgCl2,0.5,0.01,0.4,2.1145515047314407e-05,7.303600896343305e-06,2.1260983953085428e-05,7.369029596755628e-06,1.154689057710218e-07,7.616924773936746e-08,1.0050622155599733,0.002351191061979934
