Type	Chip	Disp	Electrolyte	Potential [V]	Width [s]	VDS [V]	IDSant (5sp 1sa) [A]	Std IDSant [A]	IDSdep (5sp 10sd) [A]	Std IDSdep [A]	delIDS [A]	Std del IDS [A]	RatioIDS	Std RazIDS
Standard	1	1	KCl	0.1	1.0	0.1	6.508829200000001e-06	2.4203554625091683e-08	6.4911852e-06	1.9750635870931498e-08	-1.7644000000001693e-08	3.1239392980592995e-08	0.9972892206174344	0.0047917353676987
Standard	1	1	KCl	-0.1	1.0	0.1	6.521465000000001e-06	2.0350875050132867e-08	6.5088288e-06	2.6492168934557732e-08	-1.2636200000001397e-08	3.3406483355230113e-08	0.9980623678881968	0.0051188615036382
Standard	1	1	KCl	0.2	1.0	0.1	6.455658199999999e-06	2.0324292360600925e-08	6.4814096e-06	1.9156654618259092e-08	2.57514000000014e-08	2.792945176909938e-08	1.0039889658346537	0.0043354996478138
Standard	1	1	KCl	-0.2	1.0	0.1	6.4563734e-06	2.1541751829355712e-08	6.4690106000000006e-06	2.3551200186930964e-08	1.2637200000000788e-08	3.1917175660174687e-08	1.0019573217373086	0.0049479245594519
Standard	1	1	KCl	0.3	1.0	0.1	6.439445999999999e-06	2.3924556251615844e-08	6.468295200000001e-06	1.8501366991966497e-08	2.8849200000001912e-08	3.0243759230759616e-08	1.0044800748387364	0.0047098179987519
Standard	1	1	KCl	-0.3	1.0	0.1	6.4537516000000006e-06	2.5247731549748423e-08	6.479024999999999e-06	2.991362055816643e-08	2.5273399999998795e-08	3.91442542821564e-08	1.0039160788277006	0.0060752413842604
Standard	1	1	KCl	0.4	1.0	0.1	6.494523600000001e-06	1.9715156063603666e-08	6.493331e-06	3.74084998117175e-08	-1.1926000000011988e-09	4.22857332533742e-08	0.9998163683630312	0.0065107231954694
Standard	1	1	KCl	-0.4	1.0	0.1	6.4804564e-06	2.2962767002436e-08	6.5484048e-06	2.9538595592055828e-08	6.794840000000004e-08	3.7414132329364304e-08	1.010485125708121	0.0057962558546766
Standard	1	1	KCl	0.5	1.0	0.1	6.5193196e-06	2.0805541742133784e-08	6.5200346e-06	2.5074725482046585e-08	7.15000000000043e-10	3.258239440531754e-08	1.0001096740218105	0.0049980448139581
Standard	1	1	KCl	-0.5	1.0	0.1	6.5288552e-06	2.277603773392428e-08	6.5495962e-06	2.0589139488019923e-08	2.07409999999993e-08	3.07027777198462e-08	1.0031768203405704	0.0047108551135046
Standard	1	1	KCl	0.6	1.0	0.1	6.518126999999999e-06	2.9719566649544732e-08	6.6134936e-06	1.85471828280508e-08	9.536660000000078e-08	3.5032137141400245e-08	1.0146309821824584	0.0054312797742049
Standard	1	1	KCl	-0.6	1.0	0.1	6.578681799999999e-06	2.2975058587564985e-08	6.624938200000001e-06	2.026803129591629e-08	4.6256400000001816e-08	3.063733685740792e-08	1.0070312566265178	0.0046755057582666
Standard	1	1	KCl	0.7	1.0	0.1	6.5696222e-06	2.1707691601205823e-08	6.682633600000001e-06	1.927917071635111e-08	1.1301140000000117e-07	2.9032917493136523e-08	1.0172021155189108	0.0044619260261429
Standard	1	1	KCl	-0.7	1.0	0.1	6.613016399999999e-06	2.231214401282359e-08	6.665945799999999e-06	2.30604485229936e-08	5.292939999999987e-08	3.2087630896197635e-08	1.0080038210702154	0.0048710092273823
Standard	1	1	KCl	0.8	1.0	0.1	6.569383799999999e-06	2.151852120042313e-08	6.7028978e-06	2.0298165724910192e-08	1.3351400000000046e-07	2.958145172990972e-08	1.0203236717574635	0.0045515821081343
Standard	1	1	KCl	-0.8	1.0	0.1	6.6616544000000016e-06	2.17659517070651e-08	6.709096799999999e-06	2.297447203008647e-08	4.74423999999977e-08	3.1647796428432674e-08	1.0071217143897464	0.0047667746670576
Standard	1	1	KCl	0.1	10.0	0.1	6.55398860279441e-06	5.281774133038933e-08	6.524222055888223e-06	5.3788137624990016e-08	-2.9766546906187715e-08	7.538486285991891e-08	0.9954582547040902	0.0114765204880662
Standard	1	1	KCl	-0.1	10.0	0.1	6.484699740518962e-06	5.0395620969807774e-08	6.536309421157685e-06	5.206070517640232e-08	5.1609680638723015e-08	7.245712964503085e-08	1.0079586847045894	0.0112166585813559
Standard	1	1	KCl	0.2	10.0	0.1	6.468210199600798e-06	4.91773843342656e-08	6.513681177644711e-06	4.9848633345462696e-08	4.547097804391209e-08	7.00235772891563e-08	1.0070299165674483	0.0108634072534335
Standard	1	1	KCl	-0.2	10.0	0.1	6.454623792415169e-06	5.0379571752733415e-08	6.509517465069861e-06	5.245546706456132e-08	5.489367265469212e-08	7.27301675713049e-08	1.0085045502914047	0.0113139992811682
Standard	1	1	KCl	0.3	10.0	0.1	6.484890219560879e-06	5.31839779120713e-08	6.497287025948104e-06	5.3177267892750164e-08	1.2396806387225069e-08	7.520875831370309e-08	1.0019116447568892	0.0116086295020797
Standard	1	1	KCl	-0.3	10.0	0.1	6.473397305389222e-06	4.7269886191152806e-08	6.559294291417165e-06	5.06251811981638e-08	8.589698602794296e-08	6.926291296120497e-08	1.013269228192812	0.0107659837399335
Standard	1	1	KCl	0.4	10.0	0.1	6.440204471057884e-06	5.03006351010565e-08	6.531360179640719e-06	4.614733448605309e-08	9.115570858283485e-08	6.826221774698872e-08	1.0141541637369569	0.0106811094378012
Standard	1	1	KCl	-0.4	10.0	0.1	6.452624830339322e-06	5.2213373055388175e-08	6.587229021956088e-06	5.387494164118886e-08	1.346041916167662e-07	7.50249669287674e-08	1.0208603777774088	0.0117451461323128
Standard	1	1	KCl	0.5	10.0	0.1	6.482510419161677e-06	4.834269149751545e-08	6.63824387225549e-06	5.0400923076622754e-08	1.5573345309381248e-07	6.983744603147795e-08	1.0240236332877275	0.0108979904316774
Standard	1	1	KCl	-0.5	10.0	0.1	6.550990738522954e-06	5.0289991466031264e-08	6.74284375249501e-06	4.711079869298142e-08	1.918530139720562e-07	6.890943763479801e-08	1.0292861067325083	0.0106841131278224
Standard	1	1	KCl	0.6	10.0	0.1	6.498167245508982e-06	4.956442312382546e-08	6.747769481037925e-06	5.2178228828987095e-08	2.496022355289432e-07	7.196665619109829e-08	1.0384111744279048	0.0112786952495336
Standard	1	1	KCl	-0.6	10.0	0.1	6.658731077844311e-06	4.8546883962165176e-08	6.82388746506986e-06	5.6613636651969984e-08	1.6515638722554878e-07	7.457817239244473e-08	1.0248029820238689	0.0113186028918624
Standard	1	1	KCl	0.7	10.0	0.1	6.534834431137725e-06	4.79284624490057e-08	7.08488632734531e-06	5.44814619231591e-08	5.500518962075849e-07	7.256285004057093e-08	1.084172277355131	0.0115210975480924
Standard	1	1	KCl	-0.7	10.0	0.1	6.9817862475049904e-06	5.46857393905451e-08	7.076867584830339e-06	6.313316258477228e-08	9.508133732534845e-08	8.352440547915268e-08	1.0136184830005823	0.0120332946605181
Standard	1	1	KCl	0.8	10.0	0.1	6.759237984031936e-06	5.176227808479593e-08	7.792123493013973e-06	5.619780835917405e-08	1.0328855089820367e-06	7.640371127701978e-08	1.1528109398459014	0.0121269936088687
Standard	1	1	KCl	-0.8	10.0	0.1	7.70567884231537e-06	5.3773624790012894e-08	7.469759101796408e-06	6.50305308496834e-08	-2.359197405189616e-07	8.438348574009438e-08	0.9693836525831548	0.0108159193718755
Standard	1	1	KCl	0.1	40.0	0.1	7.129472936507936e-06	2.7549151219373932e-08	7.063907142857142e-06	2.9179067479469453e-08	-6.556579365079379e-08	4.012946189371798e-08	0.9908035566956078	0.005604335345321
Standard	1	1	KCl	-0.1	40.0	0.1	7.054541269841269e-06	2.8959441347764368e-08	7.076773174603174e-06	2.6136466957897635e-08	2.2231904761904527e-08	3.90097955418364e-08	1.0031514316681296	0.0055393529799019
Standard	1	1	KCl	0.2	40.0	0.1	6.985001587301587e-06	2.7448116887326145e-08	7.075070952380951e-06	3.107631621485591e-08	9.006936507936439e-08	4.146247158752159e-08	1.01289468068885	0.0059695934696972
Standard	1	1	KCl	-0.2	40.0	0.1	6.989543650793651e-06	2.6586564264024066e-08	7.053784444444444e-06	3.615178153409443e-08	6.424079365079343e-08	4.487534632127057e-08	1.0091909854005274	0.0064411282042962
Standard	1	1	KCl	0.3	40.0	0.1	6.931073968253968e-06	2.79391814362372e-08	6.9799869047619045e-06	2.373440660186928e-08	4.8912936507936855e-08	3.6659513309233073e-08	1.0070570501385456	0.0053108655173774
Standard	1	1	KCl	-0.3	40.0	0.1	6.9980587301587306e-06	2.987165471102337e-08	7.067880793650794e-06	3.51308231979423e-08	6.98220634920633e-08	4.611388612706248e-08	1.0099773474593974	0.0066171932597691
Standard	1	1	KCl	0.4	40.0	0.1	6.863333174603174e-06	2.7567014772029122e-08	6.97222865079365e-06	2.6248126039111424e-08	1.0889547619047573e-07	3.80644771933932e-08	1.01586626693185	0.0055923884487594
Standard	1	1	KCl	-0.4	40.0	0.1	6.861630634920635e-06	2.7360060986658134e-08	7.067597222222222e-06	3.6934150043316616e-08	2.059665873015872e-07	4.596416404783053e-08	1.0300171487304153	0.006770651684769
Standard	1	1	KCl	0.5	40.0	0.1	6.787077698412697e-06	2.4966159565706546e-08	7.066177698412697e-06	2.7912599797588178e-08	2.790999999999996e-07	3.744892990354517e-08	1.041122263867006	0.0056196580829865
Standard	1	1	KCl	-0.5	40.0	0.1	7.0774353968253975e-06	2.694170107920569e-08	7.311786984126984e-06	3.1573472771168924e-08	2.3435158730158657e-07	4.150589644704736e-08	1.0331125010913849	0.0059471315113614
Standard	1	1	KCl	0.6	40.0	0.1	6.990584285714285e-06	2.92514007713428e-08	7.453514126984127e-06	3.910828379297334e-08	4.629298412698414e-07	4.883750923539667e-08	1.066221909692995	0.0071555949269075
Standard	1	1	KCl	-0.6	40.0	0.1	7.500345714285714e-06	2.9360173062938725e-08	7.56278880952381e-06	3.1094646706007634e-08	6.244309523809564e-08	4.2765603188276726e-08	1.00832536227219	0.005724240687273
Standard	1	1	KCl	0.7	40.0	0.1	7.1330683333333335e-06	3.085263107742993e-08	8.009919047619048e-06	4.817285428834079e-08	8.76850714285715e-07	5.72058452842514e-08	1.122927564031334	0.0083186261838903
Standard	1	1	KCl	-0.7	40.0	0.1	8.205667142857143e-06	3.328081722210893e-08	7.926187777777778e-06	4.7631866087969046e-08	-2.794793650793645e-07	5.810686243460093e-08	0.9659406894998604	0.0070031049724291
Standard	1	1	KCl	0.8	40.0	0.1	7.470826111111111e-06	2.6172406567901883e-08	8.97125571428571e-06	6.578839025151564e-08	1.5004296031745989e-06	7.08032990576094e-08	1.200838512482985	0.0097593100360331
Standard	1	1	KCl	-0.8	40.0	0.1	9.328033015873016e-06	3.15133394300215e-08	8.293749047619044e-06	4.9010629498974164e-08	-1.0342839682539717e-06	5.8267764380637284e-08	0.8891208932800746	0.0060521381643666
Standard	1	1	KCl	0.1	0.01	0.05	3.1350862095161943e-06	1.942989703067568e-07	3.1402102798880447e-06	1.940905593939112e-07	5.1240703718504575e-09	2.7463290973244144e-07	1.0016344272627329	0.087671488952737
Standard	1	1	KCl	-0.1	0.01	0.05	3.1284989644142345e-06	1.903935892830618e-07	3.119423606557377e-06	1.9542159249690785e-07	-9.075357856857596e-09	2.7283569717710094e-07	0.9970991334949804	0.087086673253245
Standard	1	1	KCl	0.2	0.01	0.05	3.134428572570972e-06	1.9331123764003299e-07	3.1646860895641737e-06	1.898227802843024e-07	3.025751699320203e-08	2.709278917217344e-07	1.0096532801091664	0.0868619293891709
Standard	1	1	KCl	-0.2	0.01	0.05	3.063298260695721e-06	1.9467722057881781e-07	3.097731367453019e-06	1.9519016352339455e-07	3.44331067572975e-08	2.7567810966520934e-07	1.0112405335122272	0.090499756547245
Standard	1	1	KCl	0.3	0.01	0.05	3.0699094602159134e-06	1.968243942573908e-07	3.038808112754898e-06	1.9656776950058853e-07	-3.1101347461015386e-08	2.7817032584592e-07	0.9898689691458106	0.0901534725961357
Standard	1	1	KCl	-0.3	0.01	0.05	3.07893237105158e-06	1.9606366601840402e-07	3.0247899400239907e-06	1.918941424609847e-07	-5.4142431027588615e-08	2.743434399496604e-07	0.9824151931570044	0.0883066342213899
Standard	1	1	KCl	0.4	0.01	0.05	2.9988650259896045e-06	1.927934444608777e-07	3.0400141383446623e-06	1.992787693368948e-07	4.114911235505777e-08	2.772748458398576e-07	1.013721561990433	0.0930754552075621
Standard	1	1	KCl	-0.4	0.01	0.05	3.0063055257896845e-06	1.9420151677804426e-07	2.9827543662534987e-06	1.983637033317541e-07	-2.3551159536185893e-08	2.7760113097460735e-07	0.9921660791512534	0.0919863159420924
Standard	1	1	KCl	0.5	0.01	0.05	2.947925721711315e-06	1.939656304577921e-07	2.9823587964814074e-06	1.9086825184076868e-07	3.4433074770092245e-08	2.721274616051087e-07	1.0116804417819942	0.0928608674774433
Standard	1	1	KCl	-0.5	0.01	0.05	2.947901867253099e-06	1.9606984370981689e-07	2.973979360255897e-06	1.968036523069376e-07	2.607749300279864e-08	2.7780399776414665e-07	1.008846119775045	0.0946540520693551
Standard	1	1	KCl	0.6	0.01	0.05	2.930108680527789e-06	1.9565367740785841e-07	2.968335721711316e-06	1.917658354323032e-07	3.8227041183526693e-08	2.739607583619732e-07	1.013046287817775	0.094122616485639
Standard	1	1	KCl	-0.6	0.01	0.05	2.933135301879248e-06	1.9625678606325465e-07	3.000156677329069e-06	1.938393089627485e-07	6.702137544982075e-08	2.758448907901576e-07	1.02284973877846	0.0951382075445775
Standard	1	1	KCl	0.7	0.01	0.05	2.9519104878048783e-06	1.943517609472116e-07	2.9349752658936424e-06	2.005160413847713e-07	-1.6935221911235894e-08	2.792477212725315e-07	0.9942629622472632	0.0943364812722186
Standard	1	1	KCl	-0.7	0.01	0.05	2.962082179128349e-06	1.958809906477131e-07	2.950561647341064e-06	1.963494661034917e-07	-1.1520531787285209e-08	2.773490135844289e-07	0.9961106643602052	0.0934516529176697
Standard	1	1	KCl	0.8	0.01	0.05	2.9314195361855258e-06	1.9572154804523845e-07	2.955609324270292e-06	2.012507126633431e-07	2.4189788084766325e-08	2.807290040532472e-07	1.0082519024609635	0.0961504804849655
Standard	1	1	KCl	-0.8	0.01	0.05	2.856971919232307e-06	1.965901428269364e-07	2.9182638784486205e-06	1.936295780190407e-07	6.129195921631347e-08	2.7593495200961226e-07	1.0214534692496324	0.0976402467103026
Standard	1	1	KCl	0.1	0.1	0.05	3.5392791816367264e-06	5.2826396510920096e-08	3.550248003992016e-06	5.4024765106458215e-08	1.0968822355289412e-08	7.555993259087078e-08	1.003099168444298	0.0213813264594584
Standard	1	1	KCl	-0.1	0.1	0.05	3.508655508982036e-06	5.3515374119877264e-08	3.541991696606786e-06	5.330233469666948e-08	3.3336187624750166e-08	7.55316764762057e-08	1.0095011287199358	0.0216301582942723
Standard	1	1	KCl	0.2	0.1	0.05	3.51762624750499e-06	5.3538136470096e-08	3.5266916566866264e-06	5.4334613139783176e-08	9.0654091816363e-09	7.627963189305859e-08	1.002577138258525	0.0217125214398013
Standard	1	1	KCl	-0.2	0.1	0.05	3.539802215568862e-06	5.226842605322484e-08	3.540492395209581e-06	5.493737477757284e-08	6.901796407189112e-10	7.582943695909214e-08	1.0001949768938172	0.0214239263500078
Standard	1	1	KCl	0.3	0.1	0.05	3.533901536926148e-06	5.741341957620313e-08	3.5081792614770458e-06	5.4921395295945466e-08	-2.5722275449101992e-08	7.945225238271503e-08	0.9927212812297324	0.0223975683867684
Standard	1	1	KCl	-0.3	0.1	0.05	3.514556487025948e-06	5.1796235689809817e-08	3.5400164670658675e-06	5.271748612835604e-08	2.5459980039919496e-08	7.39052323947888e-08	1.0072441516117057	0.0211032849038026
Standard	1	1	KCl	0.4	0.1	0.05	3.5397546906187624e-06	5.413758210110693e-08	3.547249840319361e-06	5.3708228214813233e-08	7.495149700598751e-09	7.625910813619938e-08	1.0021174206564265	0.0215666159509927
Standard	1	1	KCl	-0.4	0.1	0.05	3.513366906187625e-06	5.5441003744603904e-08	3.5526036926147705e-06	5.312221540690232e-08	3.92367864271454e-08	7.678329679003445e-08	1.0111678590579432	0.0219822029170956
Standard	1	1	KCl	0.5	0.1	0.05	3.512200738522954e-06	5.489769068780112e-08	3.5397549700598805e-06	5.152279925866894e-08	2.7554231536926616e-08	7.52884804356057e-08	1.0078452894889245	0.0215258475236816
Standard	1	1	KCl	-0.5	0.1	0.05	3.5133431137724546e-06	5.05903955656113e-08	3.5096548702594814e-06	5.8423302010697136e-08	-3.6882435129731926e-09	7.728305339023656e-08	0.998950218241277	0.0219871204229707
Standard	1	1	KCl	0.6	0.1	0.05	3.5275959481037925e-06	5.5763007126134283e-08	3.4942598203592814e-06	5.6372240152114406e-08	-3.333612774451108e-08	7.929276400477513e-08	0.9905499019063024	0.0223730447409575
Standard	1	1	KCl	-0.6	0.1	0.05	3.595314271457086e-06	5.4101673727512094e-08	3.598050538922156e-06	5.455517503142101e-08	2.736267465070157e-09	7.683266377542272e-08	1.000761064891265	0.0213782876273097
Standard	1	1	KCl	0.7	0.1	0.05	3.5159128742514968e-06	5.845413050693809e-08	3.5333537724550896e-06	6.03116767860099e-08	1.744089820359279e-08	8.39903787946112e-08	1.004960560408456	0.0239461113331716
Standard	1	1	KCl	-0.7	0.1	0.05	3.5288093812375246e-06	5.73120817368936e-08	3.5143659680638726e-06	5.696744385094856e-08	-1.4443413173651981e-08	8.080819495526027e-08	0.9959070010269052	0.0228524650762025
Standard	1	1	KCl	0.8	0.1	0.05	3.5226468263473053e-06	5.88449574671252e-08	3.528809580838324e-06	5.672411396596642e-08	6.162754491018046e-09	8.173343333380609e-08	1.0017494670328355	0.0232233279997347
Standard	1	1	KCl	-0.8	0.1	0.05	3.502492874251497e-06	5.640782010432733e-08	3.53121249500998e-06	5.939450989411804e-08	2.8719620758483123e-08	8.191184269984798e-08	1.0081997656496648	0.0234778619538401
Standard	1	1	KCl	0.1	1.0	0.05	3.6087024e-06	2.086121629107133e-08	3.6587726e-06	2.4661831023437228e-08	5.007020000000006e-08	3.230164476573029e-08	1.0138748487544995	0.0090030499615478
Standard	1	1	KCl	-0.1	1.0	0.05	3.6132326e-06	2.4233557759302937e-08	3.6308764000000006e-06	3.303134910218178e-08	1.764380000000054e-08	4.096749132157932e-08	1.0048831066120685	0.0113575863155304
Standard	1	1	KCl	0.2	1.0	0.05	3.631829e-06	2.9458878863214585e-08	3.6308754e-06	2.3362156317341844e-08	-9.536000000007423e-10	3.7598083617033816e-08	0.9997374325718528	0.0103507140442556
Standard	1	1	KCl	-0.2	1.0	0.05	3.6225308e-06	2.64528936606264e-08	3.6256302e-06	2.50303772579134e-08	3.099399999999115e-09	3.6418063769150014e-08	1.0008555896888438	0.0100577493597407
Standard	1	1	KCl	0.3	1.0	0.05	3.6022656e-06	2.3802264011678333e-08	3.6160934e-06	2.600628186356804e-08	1.3827799999999814e-08	3.5254424806667674e-08	1.0038386397715926	0.0098038792757258
Standard	1	1	KCl	-0.3	1.0	0.05	3.620147e-06	3.199049024829929e-08	3.5860546000000003e-06	2.956377072757559e-08	-3.4092399999999345e-08	4.3559247077505694e-08	0.9905825923643434	0.0119714681694019
Standard	1	1	KCl	0.4	1.0	0.05	3.5464792e-06	2.1304449074485448e-08	3.5731806e-06	2.9769720160058044e-08	2.6701400000000096e-08	3.660759195543336e-08	1.007528988186368	0.0103486218052746
Standard	1	1	KCl	-0.4	1.0	0.05	3.6289684e-06	2.3238334563951e-08	3.6482806e-06	2.1938733374596413e-08	1.9312200000000177e-08	3.195822609888962e-08	1.005321677642605	0.0088312322036038
Standard	1	1	KCl	0.5	1.0	0.05	3.582239800000001e-06	2.4940273183944866e-08	3.6334978e-06	2.2593623562267904e-08	5.1257999999999095e-08	3.3652474681117683e-08	1.0143089248240722	0.0094683222147234
Standard	1	1	KCl	-0.5	1.0	0.05	3.6308766e-06	3.1778530078000245e-08	3.6571028e-06	2.4121037903685264e-08	2.6226200000000447e-08	3.989610812434449e-08	1.0072231041947282	0.0110384318972568
Standard	1	1	KCl	0.6	1.0	0.05	3.6301598e-06	1.930415874512903e-08	3.6520954e-06	2.0546047359081763e-08	2.193560000000057e-08	2.819203091192212e-08	1.0060425990062478	0.007788095601474
