Type,Electrolyte,Potential [V],Period [s],A1_first [A],A1_first [A],A2_first [A],A2_first [A],Rat_first,Rat_first,A1_last [A],A1_last [A],A2_last [A],A2_last [A],Rat_last,Rat_last
,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Bare,Nenhum,-0.8,0.3,4.9910069301777785e-05,3.4750861820420703e-07,4.751393596844444e-05,4.304504545153597e-07,0.9520610865882303,0.015187383683752954,-4.699916403155555e-05,4.251549208089428e-06,-4.757133069822222e-05,3.856748808195348e-07,1.0185435187409475,0.10565000274056667
Bare,Nenhum,-0.8,0.5,2.2861200418666662e-05,1.8736732605040498e-06,4.625800041866667e-05,2.5607040749395366e-06,2.026343515542583,0.05599907947321724,-1.9994566248000002e-05,3.1376409665498705e-06,-2.1277999581333334e-05,1.8480743462863573e-06,1.0936018273312609,0.2846360214496804
Bare,Nenhum,-0.8,0.6,1.7708518225306577e-05,6.075657735183371e-07,2.7698251558639914e-05,7.840213187329093e-07,1.5643324817563997,0.0095996105504923,-3.256998177469342e-05,1.2243845009387664e-06,-1.7017115108026755e-05,2.9479641858270497e-06,0.5252516442260876,0.11226339103900136
Bare,Nenhum,-0.8,0.85,2.8274706682831662e-05,1.3809369940323458e-06,1.7998873349498328e-05,7.668639806283722e-07,0.6382753659722888,0.05570733867596796,-3.7640026650501676e-05,1.5176995271379255e-06,-2.8305993317168337e-05,1.4598942420750171e-06,0.7518537985816071,0.015524811897124534
Bare,Nenhum,-0.8,1.1,3.553145577536232e-05,1.25033753991336e-06,2.3519155775362322e-05,8.436335923453734e-07,0.6619757931331834,0.011258436232812419,-4.099697755797102e-05,8.07170625573517e-07,-3.5632510891304346e-05,5.020469295201706e-07,0.8692244868572775,0.007333040136391814
Bare,Nenhum,-0.8,1.6,3.72270844722408e-05,2.7782281986088332e-06,2.931555113890747e-05,4.633985109274334e-06,0.7843189616495577,0.06417527350405446,-4.2476248861092525e-05,2.0152624667681746e-06,-3.782308219442586e-05,3.0116512568507346e-06,0.8895636509933885,0.02838683820842648
Bare,Nenhum,-0.8,2.1,3.532462936622073e-05,1.483404413511339e-06,2.499716269955407e-05,1.2957520032752902e-06,0.7075185785211269,0.013820547204720581,-4.188723730044593e-05,5.087242290234149e-07,-3.6351937300445935e-05,7.990925191617786e-07,0.8678467070899362,0.01556126803430735
Bare,Nenhum,-0.5,0.101,6.170205610444445e-06,1.1548383525818783e-06,7.171562277111112e-06,1.9731781031826176e-06,1.219833315500618,0.5359451975404543,-1.650736772288889e-05,3.7541800172966987e-07,-7.435557722888888e-06,3.876178400396882e-06,0.44708473123280706,0.22196075911851862
Bare,Nenhum,-0.5,0.102,7.489836271571907e-06,2.0543222513061655e-06,8.654112938238574e-06,4.912608826362008e-06,1.2570174875677826,0.7716751728367275,-1.5958660395094758e-05,1.3998258972849897e-06,-9.056417061761428e-06,4.855542235400349e-06,0.5594652494383405,0.2839692358366716
Bare,Nenhum,-0.5,0.105,7.356933007111111e-06,2.021720875963848e-06,1.4465809673777778e-05,4.246163214246648e-06,1.960293201147567,0.08407919541678945,-1.3210643659555555e-05,3.3156841842186604e-06,-6.674010326222222e-06,2.8150822014139243e-06,0.5747509203589677,0.4161088091041718
Bare,Nenhum,-0.5,0.11,9.668737204124861e-06,2.8139209401228126e-06,6.243430537458194e-06,7.339101186588927e-07,0.707304001612739,0.323327616684135,-1.7034159462541807e-05,2.4036433250577487e-07,-9.78624279587514e-06,1.911711318157982e-06,0.5750071759187482,0.11633545239258201
Bare,Nenhum,-0.5,0.12,1.3817555953957636e-05,6.242896443727623e-07,4.86095928729097e-06,6.916825501284993e-07,0.3509485506774066,0.038231490410164375,-1.7991477379375695e-05,6.959058112731529e-07,-1.3481410712709031e-05,2.0365915260850503e-07,0.7503113045973745,0.03907400109018179
Bare,Nenhum,-0.5,0.14,1.5720652852e-05,1.6000963724699454e-06,6.183902851999999e-06,1.6502892973682437e-06,0.38879782432722565,0.06740074456291478,-1.8114947147999997e-05,2.1604957110944884e-07,-1.5718847147999998e-05,1.9110537118315684e-06,0.8680362712732252,0.10929173153802263
Bare,Nenhum,-0.5,0.15,1.8164277624222223e-05,7.740478167959555e-07,1.5764210957555552e-05,8.649152837742136e-07,0.868555601882495,0.052822890565094836,-1.9811789042444447e-05,8.763482943180921e-07,-1.801175570911111e-05,3.1417638957748e-07,0.9107459229360858,0.054582926792314794
