,Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
287,Standard,MgCl2,-0.8,10.0,0.05,3.771708948769128e-06,1.0523080052954576e-06,3.464421942781104e-06,9.817664269263943e-07,-3.0728700598802395e-07,7.278350204719398e-08,0.9175265049850606,0.0069963106183304705
300,Standard,MgCl2,-0.7,10.0,0.05,3.3481631071190955e-06,9.498861012969734e-07,3.3038899667332007e-06,8.946195118323583e-07,-4.4273140385894784e-08,5.9426347152172977e-08,0.9895129899304475,0.015016200765219187
315,Standard,MgCl2,-0.6,10.0,0.05,3.1030503127079177e-06,8.558612202147833e-07,3.1336259547571525e-06,8.785679088118856e-07,3.057564204923448e-08,6.679598300437452e-08,1.0084332641969003,0.021827392400017936
333,Standard,MgCl2,-0.5,10.0,0.05,3.0118391550232866e-06,8.037779077088414e-07,3.052431989354624e-06,8.022014692551901e-07,4.0592834331337264e-08,2.0016244656597826e-08,1.0141210384570327,0.006897443209456194
353,Standard,MgCl2,-0.4,10.0,0.05,2.952869075182967e-06,7.888853263268352e-07,3.0533045642049236e-06,8.275990470820799e-07,1.0043548902195631e-07,3.877059957765422e-08,1.0331813052676326,0.004859038752527663
373,Standard,MgCl2,-0.3,10.0,0.05,2.949466500332668e-06,8.242300690747792e-07,3.0269247771124417e-06,8.187001103342644e-07,7.745827677977383e-08,1.4700331530354474e-08,1.0280803873144346,0.010199577221158366
393,Standard,MgCl2,-0.2,10.0,0.05,2.995119720558883e-06,8.147876700798883e-07,3.0303825948103793e-06,8.316999381475148e-07,3.52628742514969e-08,1.9363312822320526e-08,1.0113788729977469,0.003514355951230051
413,Standard,MgCl2,-0.1,10.0,0.05,3.0339755688622757e-06,8.362624312325475e-07,3.0440406719893546e-06,8.538697126463497e-07,1.0065103127079356e-08,1.985835785315915e-08,1.0022029831927353,0.007141785092940751
433,Standard,MgCl2,0.1,10.0,0.05,3.0496797804391215e-06,8.512849439204629e-07,3.0440089088489685e-06,8.478957430033972e-07,-5.670871590152815e-09,4.6374051279506245e-09,0.9982993830996469,0.0013915732320665395
453,Standard,MgCl2,0.2,10.0,0.05,3.009650066533599e-06,8.227230449469903e-07,2.9807480172987355e-06,8.144667390449843e-07,-2.8902049234863713e-08,1.626521289941444e-08,0.9905650020350539,0.004611614655300581
473,Standard,MgCl2,0.3,10.0,0.05,2.9639175382568195e-06,8.426304060109324e-07,2.9865617099135062e-06,7.985593623200272e-07,2.264417165668654e-08,4.647702924585151e-08,1.0115245015514975,0.021857893586362684
493,Standard,MgCl2,0.4,10.0,0.05,2.9364192747837657e-06,7.801238298029159e-07,2.979090232867598e-06,7.938188977110247e-07,4.267095808383261e-08,1.4488003851922673e-08,1.014326336667456,0.0020581385696559406
513,Standard,MgCl2,0.5,10.0,0.05,2.935197831004657e-06,7.974672742529779e-07,3.0252668928809048e-06,8.20032748687284e-07,9.006906187624749e-08,3.9956005404173056e-08,1.0311872491895244,0.011380900177832352
530,Standard,MgCl2,0.6,10.0,0.05,2.9437558349966738e-06,7.82222660722145e-07,3.1247030738522955e-06,8.19107821020664e-07,1.8094723885562202e-07,3.7100707849155796e-08,1.06219705819283,0.004183624297318911
545,Standard,MgCl2,0.7,10.0,0.05,2.984166453759148e-06,8.253056171643187e-07,3.3826884630738532e-06,9.919936162012232e-07,3.985220093147041e-07,1.667424982606285e-07,1.1295023520961098,0.02240703516252946
557,Standard,MgCl2,0.8,10.0,0.05,3.096808416500333e-06,8.311184477489828e-07,3.850404584165003e-06,1.0565176697520725e-06,7.535961676646705e-07,2.2546460548263044e-07,1.241778441530583,0.00881043946496816
