,Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
332,Standard,MgCl2,-0.5,1.0,0.4,2.0661434666666668e-05,6.909448643582014e-06,2.0695359333333333e-05,6.966767399956548e-06,3.3924666666667856e-08,8.168624594956567e-08,1.000996018444327,0.003693247793408207
352,Standard,MgCl2,-0.4,1.0,0.4,2.0584740666666665e-05,6.8927599954181905e-06,2.0666595333333336e-05,6.955358410145183e-06,8.185466666666769e-08,7.535859436941053e-08,1.0034757072332259,0.002789113773071769
372,Standard,MgCl2,-0.3,1.0,0.4,2.0606122e-05,6.893257784001698e-06,2.0703238000000003e-05,6.944514629538626e-06,9.711599999999822e-08,7.255542788792287e-08,1.004456187210626,0.0023717862528003994
392,Standard,MgCl2,-0.2,1.0,0.4,2.0656188666666667e-05,6.9183415096551385e-06,2.0768323333333335e-05,6.992008954615646e-06,1.1213466666666836e-07,7.44749897706204e-08,1.0049009774928208,0.0023941326021270524
412,Standard,MgCl2,-0.1,1.0,0.4,2.071476e-05,6.95649350763357e-06,2.083818266666667e-05,7.0313461969327995e-06,1.2342266666666653e-07,7.709228211263089e-08,1.0054586835698975,0.0023733049275199993
432,Standard,MgCl2,0.1,1.0,0.4,2.0675980000000002e-05,6.9100681275203106e-06,2.0826186666666665e-05,7.000289166166303e-06,1.5020666666666334e-07,9.040471130053314e-08,1.0066794461084865,0.00263270648091429
452,Standard,MgCl2,0.2,1.0,0.4,2.0673354000000002e-05,6.943089049746375e-06,2.0807822e-05,7.000596461846092e-06,1.3446799999999757e-07,5.928221574806391e-08,1.006316307003358,0.0010382541106958322
472,Standard,MgCl2,0.3,1.0,0.4,2.0579412e-05,6.89545236969323e-06,2.077897e-05,6.986733450609949e-06,1.9955799999999962e-07,9.300659402429689e-08,1.009329123944054,0.001819793773542923
492,Standard,MgCl2,0.4,1.0,0.4,2.0509244666666667e-05,6.874561383534612e-06,2.0754417333333335e-05,6.971622650013217e-06,2.4517266666666586e-07,9.885976298440747e-08,1.0117259611595897,0.001298564535451144
512,Standard,MgCl2,0.5,1.0,0.4,2.0436604e-05,6.824019735349831e-06,2.0869252e-05,6.997083007800036e-06,4.3264799999999724e-07,1.9594433271722876e-07,1.0207942016947482,0.004139289534045039
