Type	Chip	Disp	Electrolyte	Potential [V]	Pulse #	Polarization	IDSant (10sp 5sa) [A]	Std IDSant [A]	IDSdur (10sp 15sa) [A]	Std IDSdur [A]	IDSdep (10sp 30sd) [A]	Std IDSdep [A]	delIDS [A]	Std del IDS [A]	RatioIDS	Std RazIDS
Standard	1	1	KCl	0.8	51	pos	2.7822642914171656e-06	3.8876341583884966e-08	6.8749736127744505e-06	8.519621596480535e-08	2.4834079441117764e-06	3.819864687609852e-08	-2.988563473053892e-07	5.4502353693320215e-08	0.8925852054287896	0.0185484750934421
Standard	1	1	KCl	0.8	52	neg	2.371098383233533e-06	4.1255479151027243e-08	3.739959321357285e-06	4.4675495734669934e-08	2.8245463872255484e-06	4.2516027781552576e-08	4.534480039920153e-07	5.9242106464090175e-08	1.191239641171547	0.0274065106853266
Standard	1	1	KCl	0.8	53	pos	2.617322135728543e-06	4.017147140981448e-08	5.524363592814371e-06	3.2443580294268645e-07	2.0532075049900195e-06	3.682717455307263e-08	-5.641146307385235e-07	5.449759536706204e-08	0.7844687808818384	0.018518871842066
Standard	1	1	KCl	0.8	54	neg	2.0811654291417166e-06	4.1808034678342296e-08	3.125305648702595e-06	4.239142598956008e-08	2.440815928143712e-06	4.534881112649838e-08	3.596504990019955e-07	6.168003270307414e-08	1.1728120667227868	0.0320920287359172
Standard	1	1	KCl	0.8	55	pos	2.204039061876248e-06	4.362359129322303e-08	-7.987728942115768e-08	4.7680950723294363e-08	-1.3969606846307388e-07	3.815942728936905e-08	-2.343735130339322e-06	5.795825746492735e-08	-0.0633818478444541	0.017358797098864
Standard	1	1	KCl	0.8	56	neg	-1.5268777025948106e-07	3.5127885704531315e-08	-1.4469287285429146e-07	3.420089664367792e-08	-1.7569693473053893e-07	3.746583687837112e-08	-2.3009164471057872e-08	5.135812776053396e-08	1.150694220185124	0.3609606175577236
Standard	1	1	KCl	0.8	57	pos	-1.487379273453094e-07	4.161419777190404e-08	-5.784383552894213e-08	4.064688543285029e-08	-1.3681695708582837e-07	3.712371599523322e-08	1.1920970259481041e-08	5.576658269513993e-08	0.9198525186396784	0.3585096042736684
Standard	1	1	KCl	0.8	58	neg	-1.5049870518962078e-07	3.862633759249633e-08	-1.061937153692615e-07	3.7552882830354095e-08	-1.1882847305389225e-07	3.921058777289488e-08	3.1670232135728526e-08	5.5040568213867386e-08	0.7895647534254489	0.330068766590583
Standard	1	1	KCl	0.8	59	pos	-1.7481653353293412e-07	3.634496723302903e-08	-1.289172409181637e-07	3.714951841927732e-08	-1.8402495928143722e-07	3.4686855599959175e-08	-9.208425748503024e-09	5.0240766261895055e-08	1.0526747989014908	0.2954104886320253
Standard	1	1	KCl	0.8	60	neg	-1.2998797984031938e-07	3.4597042663644764e-08	-1.363648419161677e-07	3.48670946089719e-08	-1.4940417345309388e-07	4.239140930241729e-08	-1.941619361277445e-08	5.47173367746926e-08	1.1493691465674427	0.4471403947359851
Standard	1	1	KCl	0.8	61	pos	-1.3415198802395214e-07	3.65209716946722e-08	-8.26136397205589e-08	3.9868471937832727e-08	-1.1999438043912177e-07	3.698496967301089e-08	1.4157607584830369e-08	5.197758512317193e-08	0.8944659129292769	0.3678348366332613
Standard	1	1	KCl	0.8	62	neg	-2.7189707584830336e-07	3.807824451051067e-08	-2.582154331337326e-07	3.9867525990485336e-08	-2.041311640718563e-07	4.104799833581156e-08	6.776591177644709e-08	5.5990096199051364e-08	0.7507663090343238	0.1839741594127319
Standard	1	1	KCl	0.8	63	pos	-1.988250005988024e-07	4.495084589447253e-08	-1.1045289141716569e-07	4.030504417791082e-08	-1.643708117764471e-07	4.3250508512022784e-08	3.4454188822355297e-08	6.237936384075405e-08	0.8267109834347319	0.2867977652621393
Standard	1	1	KCl	0.8	64	neg	-1.310111540918164e-07	3.934616758339507e-08	-1.303687127744511e-07	4.094964211554961e-08	-1.422896616766467e-07	3.975226038143557e-08	-1.1278507584830316e-08	5.5931771909479694e-08	1.0860881477078357	0.4454907295530017
Standard	1	1	KCl	0.8	65	pos	-1.942803103792416e-07	4.15789879744302e-08	-1.5199775249501e-07	4.04182787300016e-08	-1.746975526946108e-07	3.7193674091196944e-08	1.958275768463078e-08	5.578693066821284e-08	0.8992035906963264	0.2714498905706494
Standard	1	1	KCl	0.8	66	neg	-1.247532622754491e-07	4.3240772681907577e-08	-1.34961001996008e-07	3.866236058631176e-08	-1.4431216946107786e-07	3.654662187130364e-08	-1.9558907185628733e-08	5.6616428643393375e-08	1.1567807272441792	0.4965713190730943
Standard	1	1	KCl	0.8	67	pos	-1.845960371257485e-07	3.6963270497800136e-08	-1.5413924790419165e-07	4.331284301437789e-08	-1.955652161676647e-07	3.830599739785815e-08	-1.0969179041916178e-08	5.3231877691269326e-08	1.0594226139017484	0.2967553615545835
Standard	1	1	KCl	0.8	68	neg	-2.4600903393213573e-07	3.599189696468982e-08	-2.810578662674651e-07	3.974611540651571e-08	-2.43011001996008e-07	3.5381727699110403e-08	2.998031936127755e-09	5.0470618205950734e-08	0.9878133258433316	0.2038899451045943
Standard	1	1	KCl	0.8	69	pos	-2.0774791796407186e-07	3.718338386532988e-08	-1.535919640718563e-07	4.177200238955309e-08	-1.705573401197605e-07	3.9546977668632594e-08	3.7190577844311364e-08	5.428229433618113e-08	0.8209821874087656	0.2404766863834281
Standard	1	1	KCl	0.8	70	neg	-1.713901483033933e-07	4.1363205491766e-08	-1.590884674650699e-07	4.5659822715637454e-08	-1.836204489021956e-07	3.725968838532746e-08	-1.2230300598802372e-08	5.5670451292636096e-08	1.0713594142946443	0.3378096532744496
Standard	1	1	KCl	0.8	71	pos	-1.4876176966067866e-07	5.48701328450759e-08	-1.2201690878243518e-07	3.892950581978663e-08	-1.3462789401197606e-07	4.0502707253917255e-08	1.41338756487026e-08	6.819971241385699e-08	0.9049898661400604	0.4307575124614318
Standard	1	1	KCl	0.8	72	neg	-1.4702472534930142e-07	3.846367903769757e-08	-1.6191999820359284e-07	4.078930257436304e-08	-1.677496271457086e-07	4.272772532030155e-08	-2.072490179640717e-08	5.7490113203594884e-08	1.140962016743571	0.416598906020854
Standard	1	1	KCl	0.8	73	pos	-1.9287643393213575e-07	4.379336557319491e-08	-1.5497203453093813e-07	3.60163477000979e-08	-2.201923233532935e-07	3.760983165911858e-08	-2.731588942115767e-08	5.7726582313997526e-08	1.141623778832249	0.3243651970577976
Standard	1	1	KCl	0.8	74	neg	-1.365314153692615e-07	3.4435454751556634e-08	-1.4576361576846308e-07	3.523471613955769e-08	-1.2358733433133737e-07	4.0518650687069175e-08	1.2944081037924144e-08	5.317482108523954e-08	0.90519338715624	0.374428065926003
Standard	1	1	KCl	0.8	75	pos	-1.6729751756487025e-07	4.1393140877850895e-08	-1.1913780858283437e-07	4.1140120208968026e-08	-1.630621255489022e-07	3.949878850861508e-08	4.235392015968057e-09	5.72149141866167e-08	0.9746834736246116	0.3374909929395038
Standard	1	1	KCl	0.8	76	neg	-1.962076429141717e-07	4.371728473593546e-08	-1.98634682235529e-07	4.1556086868332735e-08	-2.1626625449101802e-07	3.902693150466231e-08	-2.0058611576846298e-08	5.860292115033567e-08	1.102231550611006	0.3160347974071257
Standard	1	1	KCl	0.8	77	pos	-3.471583033932136e-08	3.703604871424157e-08	-1.9915801596806392e-08	3.4733330266122694e-08	-1.0164902035928144e-07	3.90412652665959e-08	-6.69331900199601e-08	5.3813467626425843e-08	2.928030796490768	3.319995476790216
Standard	1	1	KCl	0.8	78	neg	-1.1832881616766469e-07	4.411797738339374e-08	-1.2239762315369266e-07	4.1227017301056055e-08	-1.245866868263473e-07	3.936456670479813e-08	-6.257870658682618e-09	5.912668636291183e-08	1.05288543282488	0.5145614227601979
Standard	1	1	KCl	0.8	79	pos	-1.4514498243512978e-07	4.0279938603452286e-08	-8.920463612774453e-08	3.785937642892541e-08	-1.6322867784431138e-07	3.591624501539951e-08	-1.8083695409181603e-08	5.396712063751498e-08	1.1245905652802282	0.3982871886208973
Standard	1	1	KCl	0.8	80	neg	-1.648942944111777e-07	3.7135015855088174e-08	-1.4312246307385234e-07	3.987015215945399e-08	-1.5689938423153693e-07	3.874557892598091e-08	7.994910179640737e-09	5.366776769036576e-08	0.951514937444077	0.318010051033211
Standard	1	1	KCl	0.8	81	pos	-1.110953261477046e-07	3.7963607446597286e-08	-5.793901297405189e-08	3.628432093698893e-08	-1.7495930838323352e-07	3.302616095618456e-08	-6.386398223552893e-08	5.0318612837230974e-08	1.5748575070621769	0.6148107465599068
Standard	1	1	KCl	0.8	82	neg	-1.0374289740518965e-07	3.2658451922145554e-08	-1.1264195249501001e-07	3.336134180793958e-08	-1.525212151696607e-07	3.43680823160852e-08	-4.877831776447107e-08	4.74103318279497e-08	1.470184648631483	0.5691631422530553
Standard	1	1	KCl	0.8	83	pos	-1.7119979500998008e-07	3.538588721915154e-08	-1.3048766087824352e-07	3.4916550391040995e-08	-1.2396805009980042e-07	4.313390150101469e-08	4.72317449101796e-08	5.5791526892403204e-08	0.7241133092044517	0.2930530703872422
Standard	1	1	KCl	0.8	84	neg	-1.4823822275449104e-07	3.761115039075673e-08	-1.2208828363273456e-07	3.6911717289874374e-08	-1.0912040339321361e-07	3.5576174594847723e-08	3.911781936127743e-08	5.177125488646388e-08	0.7361151622408242	0.3041036095763992
Standard	1	1	KCl	0.8	85	pos	-2.437485768463075e-07	3.5538803245925155e-08	-1.7341267125748506e-07	3.3625431112337176e-08	-2.408932854291417e-07	3.770623854420335e-08	2.8552914171657166e-09	5.181473691243589e-08	0.988285915535966	0.2114067383144713
Standard	1	1	KCl	0.8	86	neg	-1.7614903053892217e-07	3.4090523640018255e-08	-2.194309341317365e-07	3.347609288142289e-08	-1.5944537365269464e-07	3.630501178611e-08	1.6703656886227555e-08	4.9801783932307386e-08	0.905173154600265	0.270493902630207
Standard	1	1	KCl	0.8	87	pos	-1.7981336626746505e-07	3.5405442904093785e-08	-1.663457443113773e-07	3.5921325766780224e-08	-1.8773688343313375e-07	3.652691412090959e-08	-7.923517165668693e-09	5.087003875004765e-08	1.0440652290213108	0.2890106346485531
Standard	1	1	KCl	0.8	88	neg	-2.920269520958084e-07	3.4141507526026155e-08	-2.802488463073852e-07	3.748249031863189e-08	-2.9490608383233535e-07	3.563835708083305e-08	-2.8791317365269722e-09	4.935316637836589e-08	1.0098591301791295	0.1698015151821779
Standard	1	1	KCl	0.8	89	pos	-2.13577502994012e-07	3.87181896943864e-08	-2.050829391217565e-07	4.084289593518833e-08	-2.4355822155688626e-07	3.923718302147621e-08	-2.9980718562874296e-08	5.51239942735585e-08	1.1403739539164612	0.2765660689283823
Standard	1	1	KCl	0.8	90	neg	-1.5532895908183636e-07	4.084753253479655e-08	-1.4433596806387226e-07	3.965285174571449e-08	-1.5209291896207588e-07	3.678842592990651e-08	3.236040119760482e-09	5.497189460607556e-08	0.9791665370135164	0.3498545064051732
Standard	1	1	KCl	0.8	91	pos	-1.959934890219561e-07	4.143114208839313e-08	-1.6498948063872257e-07	4.2846663559122506e-08	-1.827400644710579e-07	3.74199481331946e-08	1.3253424550898181e-08	5.58282370583166e-08	0.9323782406393436	0.2744064537164055
Standard	1	1	KCl	0.8	92	neg	-1.8040819720558888e-07	4.060848918611168e-08	-1.739599457085829e-07	4.106405134231652e-08	-1.489520784431138e-07	4.3459171863178603e-08	3.145611876247504e-08	5.9478979589531e-08	0.8256391935083282	0.304250006077431
Standard	1	1	KCl	0.8	93	pos	-1.3950570918163677e-07	3.6869057853944073e-08	-1.833111359281437e-07	3.643883646848391e-08	-2.149575924151697e-07	3.591145468266334e-08	-7.545188323353293e-08	5.14680483840456e-08	1.5408515800259788	0.4817615041619463
Standard	1	1	KCl	0.8	94	neg	-2.6380704990019964e-07	3.863750527950143e-08	-2.060347361277445e-07	3.5402435400114314e-08	-2.4246368662674656e-07	4.133067017907651e-08	2.134336327345308e-08	5.65780974554209e-08	0.9190947956791624	0.2065571032473815
Standard	1	1	KCl	0.8	95	pos	-1.3046389760479044e-07	4.4681886316624905e-08	-9.51293900199601e-08	3.7906997834054046e-08	-1.2132686127744512e-07	3.6646700593298405e-08	9.137036327345317e-09	5.7787988623819136e-08	0.929965021012757	0.4246688820878788
Standard	1	1	KCl	0.8	96	neg	-1.1209470958083837e-07	4.282436398734799e-08	-1.543771824351298e-07	3.918990597778421e-08	-2.0315557724550898e-07	4.6482882996259945e-08	-9.106086766467065e-08	6.32027259108724e-08	1.8123565153536625	0.8070665157309408
Standard	1	1	KCl	0.8	97	pos	-1.1894744271457089e-07	3.6050743188320184e-08	-1.323436241516966e-07	3.833954862592306e-08	-9.598599740518964e-08	4.35093980270016e-08	2.2961445309381248e-08	5.6504192774538987e-08	0.8069614210666127	0.4400191194948935
Standard	1	1	KCl	0.8	98	neg	-1.3729283692614773e-07	3.6067948255282494e-08	-1.1854295009980045e-07	3.970380465307103e-08	-1.5766079321357286e-07	3.760502092051162e-08	-2.0367956287425133e-08	5.21059928393832e-08	1.1483541074934698	0.4074742700084502
Standard	1	1	KCl	0.8	99	pos	-1.4159960698602798e-07	3.5281104589718456e-08	-1.5823186766467065e-07	3.6655928559809175e-08	-1.7084287984031937e-07	4.0154385809709655e-08	-2.9243272854291414e-08	5.3452137850844326e-08	1.2065208617222851	0.4132639166661391
Standard	1	1	KCl	0.8	100	neg	-1.4159960698602798e-07	3.5281104589718456e-08	-1.5823186766467065e-07	3.6655928559809175e-08	-1.7084287984031937e-07	4.0154385809709655e-08	-2.9243272854291414e-08	5.3452137850844326e-08	1.2065208617222851	0.4132639166661391
Standard	1	2	MgCl2	0.8	1	pos	7.311098942115768e-06	4.334045752271935e-08	7.621875229540917e-06	3.739803113797843e-08	8.619211876247505e-06	4.3557843129253567e-08	1.3081129341317373e-06	6.14465699315373e-08	1.178921519800029	0.009183506694225
Standard	1	2	MgCl2	0.8	2	neg	8.102281576846307e-06	4.063890937154423e-08	1.5740764271457087e-05	2.722413500203783e-07	6.2959638722554895e-06	4.375288966657694e-08	-1.8063177045908167e-06	5.971462391311062e-08	0.7770606109576977	0.0066596928310338
Standard	1	2	MgCl2	0.8	3	pos	5.9558243912175645e-06	3.767216302097138e-08	7.029851117764472e-06	4.0107298671789294e-08	7.614094690618763e-06	4.0607904567387976e-08	1.6582702994011986e-06	5.5391278916745855e-08	1.278428340138181	0.0105772135207799
