,Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
10,Standard,KCl,-0.8,40.0,0.1,6.715929973544973e-06,2.267895047174475e-06,5.88751947089947e-06,2.087474108321677e-06,-8.284105026455035e-07,1.8240228547326613e-07,0.8737012319631029,0.01371360256578574
24,Standard,KCl,-0.7,40.0,0.1,5.962292962962962e-06,1.9440178568014354e-06,5.721667248677249e-06,1.913247966408668e-06,-2.4062571428571355e-07,6.582687694911328e-08,0.9580665802076719,0.014094349041392822
39,Standard,KCl,-0.6,40.0,0.1,5.444112142857143e-06,1.7821617859895187e-06,5.455023994708994e-06,1.826863248314288e-06,1.0911851851851798e-08,4.471164684122968e-08,1.0005254694937384,0.006788603232523781
58,Standard,KCl,-0.5,40.0,0.1,5.1789180687830705e-06,1.6463725914431986e-06,5.293933730158731e-06,1.7489908362262854e-06,1.150156613756605e-07,1.0420549302110012e-07,1.0198071863794755,0.012019370925333067
78,Standard,KCl,-0.4,40.0,0.1,5.056397989417989e-06,1.567086792626688e-06,5.161856825396825e-06,1.6512652390518458e-06,1.0545883597883576e-07,1.0292057750230739e-07,1.0191007048172736,0.016543236879948433
98,Standard,KCl,-0.3,40.0,0.1,5.0849073544973545e-06,1.6596457414270052e-06,5.161825714285714e-06,1.6541904769221749e-06,7.691835978835897e-08,1.2619585946721287e-08,1.0162854503175398,0.005895109619739419
118,Standard,KCl,-0.2,40.0,0.1,5.110010211640211e-06,1.628268132787582e-06,5.170277645502645e-06,1.6312963128690119e-06,6.026743386243427e-08,2.165925379678624e-08,1.0124160512834737,0.005963865361034288
138,Standard,KCl,-0.1,40.0,0.1,5.1473819841269846e-06,1.6517381459487355e-06,5.148547433862434e-06,1.671073725893525e-06,1.1654497354492148e-09,4.911628362509928e-08,0.999531541489624,0.011325589044272019
158,Standard,KCl,0.1,40.0,0.1,5.190492724867725e-06,1.6795169005174423e-06,5.169583544973546e-06,1.6407515910736193e-06,-2.0909179894179823e-08,3.906111036396105e-08,0.9971653034520754,0.005661339192348045
178,Standard,KCl,0.2,40.0,0.1,5.099950158730158e-06,1.6340499643475032e-06,5.140884867724868e-06,1.6754210480729552e-06,4.0934708994709775e-08,5.576629771469921e-08,1.0070224741145093,0.010111720716936442
198,Standard,KCl,0.3,40.0,0.1,5.046527089947091e-06,1.632839927168378e-06,5.087745873015874e-06,1.6407970364542245e-06,4.121878306878279e-08,3.27583019323673e-08,1.008359824882917,0.007786455009650432
218,Standard,KCl,0.4,40.0,0.1,5.032209576719576e-06,1.5878063397019537e-06,5.093390476190476e-06,1.6306735314030243e-06,6.118089947089929e-08,4.9784409034806634e-08,1.0112481620649798,0.007692951006935262
238,Standard,KCl,0.5,40.0,0.1,4.960651878306878e-06,1.5831891715598796e-06,5.1549183862433856e-06,1.6574465798952328e-06,1.942665079365076e-07,7.572603574373938e-08,1.0386753756203153,0.004444050740681196
254,Standard,KCl,0.6,40.0,0.1,5.027352063492063e-06,1.7013242173098669e-06,5.415161746031745e-06,1.7660457138589198e-06,3.8780968253968205e-07,6.568699494449085e-08,1.0798251616422974,0.01230803365903394
269,Standard,KCl,0.7,40.0,0.1,5.141138121693122e-06,1.7259712011627808e-06,5.85286126984127e-06,1.8685369446628206e-06,7.117231481481481e-07,1.4369789281651914e-07,1.142212446327429,0.017568841562709887
280,Standard,KCl,0.8,40.0,0.1,5.389710634920635e-06,1.806174825603179e-06,6.563922275132273e-06,2.0875464530362634e-06,1.1742116402116384e-06,2.8274491433392134e-07,1.2220970563679359,0.020475317655847803
