,Type,Electrolyte,Potential [V],Width [s],VDS [V],IDSant (5sp 1sa) [A],IDSant (5sp 1sa) [A].1,IDSdep (5sp 10sd) [A],IDSdep (5sp 10sd) [A].1,delIDS [A],delIDS [A].1,RatioIDS,RatioIDS.1
19,Standard,KCl,-0.7,1.0,0.2,1.0354916933333333e-05,3.222290221588622e-06,1.0177213266666665e-05,3.142266330129401e-06,-1.777036666666667e-07,8.01825738535087e-08,0.9833505059090871,0.0026431563894907246
34,Standard,KCl,-0.6,1.0,0.2,1.0322412599999999e-05,3.2054544736974126e-06,1.0267578533333334e-05,3.169391677215307e-06,-5.483406666666506e-08,4.4369582024775157e-08,0.9951560653016945,0.0038623020924476096
51,Standard,KCl,-0.5,1.0,0.2,1.0297697199999998e-05,3.202271401662487e-06,1.0297221933333332e-05,3.167759520488147e-06,-4.75266666666419e-10,3.462929197100588e-08,1.0006528341848753,0.003482872779100135
71,Standard,KCl,-0.4,1.0,0.2,1.0325911466666667e-05,3.1751343244015134e-06,1.0330281133333333e-05,3.2093233446622628e-06,4.36966666666623e-09,4.299360999233765e-08,0.9998604480676617,0.0035925832273490765
91,Standard,KCl,-0.3,1.0,0.2,1.0328770400000001e-05,3.19201440356467e-06,1.03476056e-05,3.2054638175870425e-06,1.883520000000007e-08,3.258652749588567e-08,1.0017749054264682,0.003128387488182141
111,Standard,KCl,-0.2,1.0,0.2,1.0364850066666668e-05,3.226377189373619e-06,1.0406092866666668e-05,3.2517204868282035e-06,4.124279999999996e-08,2.901202387355958e-08,1.0036809529863808,0.0022639489725688896
131,Standard,KCl,-0.1,1.0,0.2,1.0393698933333334e-05,3.236807503985032e-06,1.0438045066666665e-05,3.242519658466583e-06,4.4346133333333556e-08,1.9583157890733294e-08,1.004496970279509,0.002427546644529333
151,Standard,KCl,0.1,1.0,0.2,1.0429062533333332e-05,3.2325319995968555e-06,1.04266826e-05,3.241646493521148e-06,-2.379933333333004e-09,3.260279243030158e-08,0.9996854244189811,0.003252527030509721
171,Standard,KCl,0.2,1.0,0.2,1.03718428e-05,3.244522414003583e-06,1.0420563333333333e-05,3.26385843171065e-06,4.8720533333333336e-08,2.2095928499462717e-08,1.004652402286574,0.001120265231355781
191,Standard,KCl,0.3,1.0,0.2,1.0329008066666667e-05,3.257314347784851e-06,1.0382731933333334e-05,3.217167074263297e-06,5.3723866666668e-08,5.0612935637178795e-08,1.00625627493947,0.005571492321047478
211,Standard,KCl,0.4,1.0,0.2,1.0312242266666667e-05,3.191221111340373e-06,1.0395050266666668e-05,3.219618220242501e-06,8.280800000000079e-08,3.682346176502213e-08,1.0078982374043886,0.002705737433863915
231,Standard,KCl,0.5,1.0,0.2,1.0252878266666666e-05,3.2159819572056383e-06,1.0358334066666667e-05,3.2191939393844926e-06,1.0545580000000041e-07,2.0101906179265782e-08,1.0109639511257773,0.004215533331410085
249,Standard,KCl,0.6,1.0,0.2,1.0224417866666666e-05,3.170524268583611e-06,1.0402439333333335e-05,3.2228302683723023e-06,1.780214666666684e-07,5.355580132958048e-08,1.0175098321423308,0.0014125920011870921
264,Standard,KCl,0.7,1.0,0.2,1.0152339133333333e-05,3.174111447788185e-06,1.0421990866666667e-05,3.210957070372659e-06,2.696517333333346e-07,3.687346661779213e-08,1.027526013442373,0.004674421846825153
