Type	Chip	Disp	Electrolyte	Width [s]	Interval [s]	Train pulses #	Resistor	Measure #	Polarization	IDSmed [A]	Std IDS [A]	delIDS [A]	Std delIDS [A]	Gn [S]	Std Gn [S]
Standard	1	1	KCl	0.1	0.1	10	0	1	neg	9.858082213465054e-06	2.4628926081697305e-08	0.0	0.0	0.0	3.188563266294375e-07
Standard	1	1	KCl	0.1	0.1	10	0	2	neg	9.875567636125662e-06	2.347661006398088e-08	1.7485422660607874e-08	3.402550837289456e-08	6.900617655022673e-08	4.701073879574269e-07
Standard	1	1	KCl	0.1	0.1	10	0	3	neg	9.88950483936586e-06	2.2646837236512763e-08	1.3937203240198582e-08	3.2619479715552006e-08	4.678040017841836e-07	4.234261736461653e-07
Standard	1	1	KCl	0.1	0.1	10	0	4	neg	9.897030985426835e-06	2.3089445956214533e-08	7.526146060976325e-09	3.234195033361551e-08	6.636425288367805e-07	4.7109304336133403e-07
Standard	1	1	KCl	0.1	0.1	10	0	5	neg	9.9052007634724e-06	2.325163747720945e-08	8.169778045564061e-09	3.2768295041648455e-08	2.727270505539439e-07	4.308289100821702e-07
Standard	1	1	KCl	0.1	0.1	10	0	6	neg	9.905040847212497e-06	2.2374642397754885e-08	-1.5991625990473678e-10	3.2268611184849305e-08	5.71517199577794e-07	4.592517332377975e-07
Standard	1	1	KCl	0.1	0.1	10	0	7	neg	9.90825865881832e-06	2.396677971038586e-08	3.217811605824803e-09	3.2787667683346654e-08	6.817456265016382e-07	4.328616613557292e-07
Standard	1	1	KCl	0.1	0.1	10	0	8	neg	9.912272113805112e-06	2.3798898445624776e-08	4.013454986791031e-09	3.377564354548e-08	3.346382313054389e-07	4.621163846783504e-07
Standard	1	1	KCl	0.1	0.1	10	0	9	neg	9.91924830583578e-06	2.27656247513699e-08	6.976192030667811e-09	3.2934195565480984e-08	4.875936337644704e-07	4.575148051408316e-07
Standard	1	1	KCl	0.1	0.1	10	0	10	neg	9.922351733969644e-06	2.2949218389842443e-08	3.103428133863567e-09	3.2325536268171464e-08	7.179553954808138e-07	4.899342003238449e-07
Standard	1	1	KCl	0.1	0.1	10	0	11	pos	9.9058094089374e-06	3.767066426682139e-08	-1.6542325032244722e-08	4.4110606105655095e-08	5.516630153672467e-07	4.1507341169127773e-07
Standard	1	1	KCl	0.1	0.1	10	0	12	pos	9.877288564584498e-06	3.5680846812223206e-08	-2.8520844352900645e-08	5.1886431516735785e-08	5.66086724932419e-07	5.85836682508606e-07
Standard	1	1	KCl	0.1	0.1	10	0	13	pos	9.855898700520137e-06	3.730481665438971e-08	-2.1389864064363484e-08	5.162143135224914e-08	8.12705732323863e-08	5.292366210683207e-07
Standard	1	1	KCl	0.1	0.1	10	0	14	pos	9.850485765398728e-06	3.584234580993893e-08	-5.412935121406926e-09	5.173319146135176e-08	1.1089008768146788e-07	5.263140747905223e-07
Standard	1	1	KCl	0.1	0.1	10	0	15	pos	9.841023372846006e-06	3.4217104884654843e-08	-9.462392552721637e-09	4.955284068392766e-08	-2.132573739202645e-07	6.224187291042798e-07
Standard	1	1	KCl	0.1	0.1	10	0	16	pos	9.834397587837884e-06	3.3305630615221253e-08	-6.625785008122103e-09	4.77501340036343e-08	-2.824960184023043e-07	4.655327309255125e-07
Standard	1	1	KCl	0.1	0.1	10	0	17	pos	9.835735367464914e-06	3.5962201407165915e-08	1.3377796270299306e-09	4.901576237015119e-08	1.2707075792941678e-07	5.042614889507314e-07
Standard	1	1	KCl	0.1	0.1	10	0	18	pos	9.831934385921216e-06	3.470620784249344e-08	-3.800981543696823e-09	4.997800308991865e-08	-8.662541601171618e-08	4.822786778923108e-07
Standard	1	1	KCl	0.1	0.1	10	0	19	pos	9.825808610138606e-06	3.3574525032901114e-08	-6.125775782610841e-09	4.8288400201200034e-08	-5.93081965551709e-08	5.402297560461483e-07
Standard	1	1	KCl	0.1	0.1	10	0	20	pos	9.828798332083796e-06	3.3550684449625324e-08	2.989721945189768e-09	4.746469380732623e-08	-2.7593225566381293e-07	4.921420710076653e-07
Standard	1	1	KCl	0.1	0.1	10	0	21	neg	9.832767512094468e-06	2.6225028943041026e-08	3.969180010671654e-09	4.258404126080179e-08	1.5068766262340825e-07	5.615215367626811e-07
