IDSant (2-3s) [A],IDSant (2-3s) [A],"IDSdep (+3, +4s) [A]","IDSdep (+3, +4s) [A]",delIDS [A],delIDS [A],RatioIDS,RatioIDS
mean,std,mean,std,mean,std,mean,std
8.757077529021556e-06,1.5084599616063728e-06,9.085487678275291e-06,1.463148759190373e-06,3.284101492537359e-07,1.0637268661714996e-07,1.0389253378364505,0.015485576075130071
8.54839339966832e-06,1.402091778955189e-06,9.037724195688222e-06,1.3890664636709752e-06,4.893307960199022e-07,1.2766847352524603e-07,1.058553429217085,0.01775931207448758
8.52901933665008e-06,1.439874887948998e-06,9.198211575456049e-06,1.3499790476584742e-06,6.691922388059677e-07,1.8935559915848415e-07,1.0814914313023942,0.03143428058537227
8.720050016583743e-06,1.568579516298749e-06,9.020228938640133e-06,1.5123025993671904e-06,3.001789220563892e-07,1.8427705810793458e-07,1.0360306385159996,0.022065799863669064
8.467240414593693e-06,1.4165170859670348e-06,8.980096583747927e-06,1.377207823337652e-06,5.128561691542337e-07,1.7597041200397517e-07,1.062351501026486,0.02381479949444996
8.439760912106136e-06,1.3946974233392854e-06,9.154818557213926e-06,1.3972528228677784e-06,7.150576451077918e-07,2.421686689517268e-07,1.0864875137986394,0.030322129481965127
8.530680132669981e-06,1.5102911320780376e-06,8.893939784411276e-06,1.4260594520872042e-06,3.632596517412951e-07,1.6368515990135716e-07,1.04473276497148,0.02277269297360491
8.396011111111111e-06,1.431584263561265e-06,8.936761592039801e-06,1.433682114527488e-06,5.407504809286905e-07,1.3409958750429025e-07,1.0656684697068708,0.018093931702786677
8.342890912106133e-06,1.4272116630609808e-06,9.0594103814262e-06,1.3609484996700865e-06,7.165194693200662e-07,2.2889904014555348e-07,1.0887337074877448,0.0334677705883039
7.930461940298498e-06,1.4123572882768554e-06,8.355148242122718e-06,1.4151131026893356e-06,4.2468630182422177e-07,8.602744169390251e-08,1.0547100480705032,0.013586042936270255
7.992597081260359e-06,1.4353660285876088e-06,8.558396550580426e-06,1.3672479483773761e-06,5.657994693200674e-07,1.1254497192342107e-07,1.0735564955987689,0.024649204414472124
8.198257960199002e-06,1.4691599612846704e-06,8.928063665008292e-06,1.3928267747055094e-06,7.298057048092909e-07,1.7108188089030713e-07,1.0923011763407768,0.03128965276751805
9.036719817578777e-06,1.5772830301758368e-06,9.248863598673296e-06,1.532881678342298e-06,2.1214378109451937e-07,5.347807590656263e-08,1.0246174245988309,0.010102655834545277
8.747153316749583e-06,1.5477358257652084e-06,9.114213399668324e-06,1.5533569360226138e-06,3.6706008291874227e-07,8.616050525059114e-08,1.0427975329352988,0.011215311339542072
8.677882968490873e-06,1.5418083740404578e-06,9.223954228855718e-06,1.5032047611956988e-06,5.46071260364844e-07,1.5497684759382547e-07,1.0649356966837213,0.022480375541419694
9.001172819237147e-06,1.5470494468606738e-06,9.18949718076285e-06,1.5444558059141784e-06,1.8832436152570266e-07,2.860799198470208e-08,1.0213876663539174,0.0048689967963933085
8.681777562189048e-06,1.4333105406018694e-06,8.994547064676624e-06,1.4445609401035827e-06,3.1276950248757594e-07,8.806197720236584e-08,1.0365421514323943,0.010307145694566274
8.747015356550576e-06,1.5382374866598405e-06,9.246334494195679e-06,1.4674533166300042e-06,4.993191376451022e-07,1.39990382226522e-07,1.059400304551711,0.022739947582279256
8.862826351575453e-06,1.5841876864358658e-06,9.092806019900497e-06,1.5382635534373343e-06,2.2997966832504422e-07,8.960401679389233e-08,1.027166586957561,0.012534997281054304
8.664063747927027e-06,1.5216887408020735e-06,8.97972117744611e-06,1.4982612876804514e-06,3.1565742951908365e-07,8.433980543485527e-08,1.037546826052334,0.012439337677814721
8.6517275456053e-06,1.4831760620286662e-06,9.10883703150912e-06,1.5443053678368197e-06,4.5710948590382215e-07,1.4467880923741742e-07,1.0530413761100903,0.014443987442943047
8.717025058043112e-06,1.5390447381205636e-06,8.895898524046435e-06,1.531489451661525e-06,1.788734660033234e-07,1.1632902142553182e-07,1.0210084614601256,0.013007612032541648
8.46820940298507e-06,1.5206531313916304e-06,8.863950199004973e-06,1.5000463346390027e-06,3.9574079601990347e-07,7.322776786568824e-08,1.0480889366457586,0.013249123005684893
8.556024527363175e-06,1.4690728246405853e-06,9.004749436152572e-06,1.4567725138237996e-06,4.4872490878939693e-07,9.114661461442659e-08,1.0536962050870466,0.01421817707588132
7.993743781094523e-06,1.4116706266092028e-06,8.210949767827522e-06,1.3667423687127644e-06,2.172059867329989e-07,4.885636014158892e-08,1.0285642675225748,0.012161877822852262
8.092669502487556e-06,1.406553000893172e-06,8.378100381426206e-06,1.411776032151994e-06,2.8543087893864855e-07,4.271120039921018e-08,1.0359349457980007,0.007301020949322416
8.289177346600326e-06,1.4931273273439247e-06,8.673652388059693e-06,1.4938710294851829e-06,3.844750414593653e-07,7.63418803494041e-08,1.0474096600927358,0.011708881692394403
8.912366567164181e-06,1.5490905000597414e-06,8.758975704809282e-06,1.5074279493546777e-06,-1.5339086235489937e-07,6.119930392630511e-08,0.9830544870763704,0.005280477195303887
8.678258225538963e-06,1.4426543059607462e-06,8.53089723051409e-06,1.477724573212539e-06,-1.4736099502487341e-07,3.650394708162878e-08,0.9821875136038561,0.007536993292553839
8.661513250414587e-06,1.4613880788733554e-06,8.421158142620228e-06,1.4498848590099913e-06,-2.403551077943578e-07,2.7015659838164266e-08,0.9718576816667787,0.004240252719696463
8.836886500829182e-06,1.4664153531788755e-06,8.756287048092864e-06,1.5194115835870796e-06,-8.059945273631964e-08,5.360744755197803e-08,0.9899623159414451,0.008411340251535884
8.623694660033159e-06,1.4793873448883275e-06,8.457414825870644e-06,1.4616011659523962e-06,-1.662798341625156e-07,1.79442759633491e-08,0.9805587799803659,0.0014370398073710571
8.592795356550575e-06,1.4621875611399098e-06,8.403701857379766e-06,1.4354973615730344e-06,-1.8909349917080742e-07,5.244317393752729e-08,0.9779522208625734,0.004791313776410931
8.735174112769484e-06,1.5598603295061785e-06,8.677466384742949e-06,1.5645004449747195e-06,-5.7707728026535394e-08,5.9286006687372305e-09,0.9931648220022896,0.0019958865638927646
8.553592819237143e-06,1.4197363437582082e-06,8.391761210613595e-06,1.4479285777342077e-06,-1.6183160862354574e-07,3.542231879669922e-08,0.9803182277380053,0.007154337094813508
8.51994525704809e-06,1.4147173311946643e-06,8.292558059701489e-06,1.4783472125616242e-06,-2.2738719734660196e-07,7.180993382388873e-08,0.9718857527231158,0.013221393557546403
8.601909237147593e-06,1.4915295779636383e-06,8.5190951575456e-06,1.50371727562974e-06,-8.28140796019919e-08,2.168790944412049e-08,0.9900083404951276,0.00359675557483021
8.46735892205638e-06,1.444531246911038e-06,8.33907535655058e-06,1.4619521152650775e-06,-1.2828356550579751e-07,4.660641569884932e-08,0.9842358490818771,0.007565285032926584
8.507550132669982e-06,1.3597013111201756e-06,8.260234908789387e-06,1.4111892937808654e-06,-2.4731522388059605e-07,6.533777354568755e-08,0.9697209530318404,0.011979874197702016
7.93900265339966e-06,1.4279697874166541e-06,7.949499900497504e-06,1.4460036755075994e-06,1.049724709784333e-08,1.9130175700955388e-08,1.0010438652714118,0.002492471371133979
8.092234726368154e-06,1.4616330925009498e-06,7.958198208955216e-06,1.4153586844915026e-06,-1.3403651741293885e-07,4.6278682446477676e-08,0.9838010072893782,0.0030416808580831737
8.293091940298506e-06,1.4334540042803784e-06,8.144524660033169e-06,1.4413946630654332e-06,-1.4856728026533833e-07,1.4812748002296072e-08,0.9815593500208394,0.004888511937524436
8.638758855721384e-06,1.4355402679218604e-06,8.697612454394688e-06,1.5002081971904982e-06,5.885359867330284e-08,1.0244957126158631e-07,1.0061180811803312,0.01047891059159058
8.472933814262022e-06,1.3465203839333177e-06,8.643424792703144e-06,1.497163748272644e-06,1.7049097844112053e-07,1.9367637880661067e-07,1.0185713074089016,0.01982535250044523
8.421573084577116e-06,1.3869005472377744e-06,8.838331409618573e-06,1.6294123352005014e-06,4.167583250414586e-07,3.206879229625753e-07,1.0473488961449198,0.03092467198401322
8.622290862354882e-06,1.405328945347486e-06,8.642753233830836e-06,1.4604044295327328e-06,2.0462371475955182e-08,1.3137388223457955e-07,1.0018086709520768,0.013837046941128887
8.463128341625208e-06,1.357770502347137e-06,8.593151127694854e-06,1.5094124009422778e-06,1.3002278606964547e-07,2.1006681742906263e-07,1.0137411981743736,0.02210085531661569
8.420880945273627e-06,1.3351030094018353e-06,8.782835555555555e-06,1.543485803169562e-06,3.619546102819266e-07,3.356153010143468e-07,1.0413683434163217,0.033973353024909766
8.542522072968487e-06,1.4231573952809533e-06,8.575497097844106e-06,1.4836668584268776e-06,3.297502487562098e-08,1.1127053353354571e-07,1.00320532474435,0.011670821973057284
8.35259769485904e-06,1.3561535718359388e-06,8.520835257048088e-06,1.4557364837845914e-06,1.682375621890485e-07,1.4234019604695708e-07,1.019268031652448,0.013912466353891517
8.40745737976782e-06,1.3239745421845667e-06,8.791218922056382e-06,1.537032374551003e-06,3.8376154228856197e-07,3.1700653263585596e-07,1.0438996783497776,0.03184957849270243
8.4375863681592e-06,1.47621387540791e-06,8.472340746268652e-06,1.5401909063638518e-06,3.4754378109452297e-08,9.233116761091079e-08,1.0033486745718536,0.009697807888046707
8.296650248756222e-06,1.3541158576450367e-06,8.47924021558872e-06,1.5136668506971814e-06,1.825899668324967e-07,1.8238553832243952e-07,1.0202926825507173,0.018418644630604365
8.33401452736318e-06,1.2958115637719702e-06,8.725032504145934e-06,1.523291147320203e-06,3.9101797678275345e-07,3.058986559335176e-07,1.0449973766597223,0.0301889999927481
7.960788341625205e-06,1.3788202593894737e-06,8.129143996683248e-06,1.4414516062576707e-06,1.6835565505804348e-07,1.0397166530835982e-07,1.020720089252811,0.010340413784127119
8.037335107794354e-06,1.373110058688385e-06,8.261915572139303e-06,1.505763401152835e-06,2.2458046434494719e-07,1.4430457914478737e-07,1.0265391895206235,0.013761534759355902
8.327233847429519e-06,1.3879118749932433e-06,8.632787960199006e-06,1.584474887465052e-06,3.055541127694876e-07,2.93920071567005e-07,1.0349902790058616,0.029455470611454558
7.892661691542286e-06,3.2913670667346534e-06,7.674154361525711e-06,3.131376800888284e-06,-2.1850733001657484e-07,1.6345997834213747e-07,0.974410626432474,0.008684606816343704
7.64283746268657e-06,3.12393128921665e-06,7.48245016583748e-06,2.992217858467593e-06,-1.6038729684909278e-07,1.3302883671739626e-07,0.9811092235090508,0.007942061203863387
7.597585422885575e-06,3.0711360607561883e-06,7.5360854394693214e-06,2.9363292423129454e-06,-6.149998341625465e-08,1.3839340748449227e-07,0.9953729412973251,0.013295081377552318
7.87548199004975e-06,3.371981780844959e-06,7.642008689883918e-06,3.1581623544306634e-06,-2.3347330016583208e-07,2.1382311701649848e-07,0.9741719100995962,0.013491864933419476
7.616524394693202e-06,3.157231524695507e-06,7.487175572139306e-06,2.9981757082611885e-06,-1.2934882255389522e-07,1.590707169826265e-07,0.9865644825138654,0.013017290535053157
7.5603401160862395e-06,3.0519810194544103e-06,7.515603747927035e-06,2.9638864514091836e-06,-4.473636815920392e-08,1.0469252263364611e-07,0.9961603528140953,0.011411803948832885
7.815303963515754e-06,3.3296160568384615e-06,7.582264941956888e-06,3.1327391290004655e-06,-2.3303902155886715e-07,1.9728827287777452e-07,0.9735287710686961,0.012366617240152072
7.5698491376451145e-06,3.1479185174026067e-06,7.4433854063018296e-06,3.011348950520197e-06,-1.2646373134328603e-07,1.3871504868381285e-07,0.986029112399136,0.010193025554863386
7.5364190547263725e-06,3.106291061518282e-06,7.491721873963516e-06,2.982650054456645e-06,-4.469718076285778e-08,1.3572289976023069e-07,0.9979882743647351,0.018257179219300163
7.731979751243783e-06,3.3186458217263227e-06,7.533650547263683e-06,3.0984632628264784e-06,-1.9832920398010092e-07,2.2055491343040024e-07,0.9789103163386409,0.015941104087717716
7.483358905472638e-06,3.0882011919892164e-06,7.420750398009948e-06,2.966870863622662e-06,-6.260850746268888e-08,1.2155067980997266e-07,0.9949234563279421,0.012314501000303674
7.45987300165838e-06,3.0588087299463087e-06,7.42231129353234e-06,2.9045796541463133e-06,-3.756170812603922e-08,1.5540436009535218e-07,0.999597453644674,0.01695982925308127
6.977222868988388e-06,2.741391444034031e-06,7.0733808291873964e-06,2.8046932302609643e-06,9.615796019900841e-08,7.434709898493241e-08,1.013102618243267,0.00710575561572693
7.087258059701496e-06,2.815283889904693e-06,7.204924610281928e-06,2.808959441141619e-06,1.1766655058043048e-07,6.415276137704471e-08,1.0188006454040417,0.014937394497603809
7.291002139303482e-06,2.9740912227105986e-06,7.299423366500829e-06,2.879059862303771e-06,8.421227197347476e-09,9.768650763981062e-08,1.0046820506706255,0.014182468108677848
8.155181608623546e-06,3.4659651038808957e-06,8.07436245439469e-06,3.446987842827133e-06,-8.081915422885781e-08,1.929259957558284e-08,0.9895839674198438,0.0019507557335261558
7.776045555555559e-06,3.241277643967653e-06,7.788716915422886e-06,3.2645402857603643e-06,1.2671359867326594e-08,2.3266805429215463e-08,1.0010410687722835,0.002127574289005736
7.724567412935325e-06,3.2377871415470753e-06,7.82574520729685e-06,3.2441904420293917e-06,1.0117779436152551e-07,3.02244208219132e-08,1.0141711144152128,0.005850045979512187
8.142155456053069e-06,3.5583809549768537e-06,8.042318341625206e-06,3.520300563970592e-06,-9.98371144278618e-08,4.030495723593174e-08,0.9876179020332175,0.0020682763941604477
7.793580978441123e-06,3.2892450259005717e-06,7.813684892205637e-06,3.2733805471672197e-06,2.0103913764512593e-08,4.816873851802214e-08,1.0036298399658976,0.008791967762322704
7.75167228855721e-06,3.231776772884469e-06,7.79666456053068e-06,3.261140002604682e-06,4.499227197346731e-08,2.9366417314388448e-08,1.0054557287138322,0.001257710189961913
8.060346268656722e-06,3.4899055578898805e-06,8.01701207296849e-06,3.42776768554077e-06,-4.3334195688232615e-08,7.215858139065806e-08,0.9962457135718311,0.008688332893965214
7.743406185737977e-06,3.261450052839452e-06,7.74520587064677e-06,3.2566109326770666e-06,1.7996849087913672e-09,1.2574250627682702e-08,1.0003641033479374,0.0018961208245051849
7.723953897180763e-06,3.315671056303084e-06,7.776261393034828e-06,3.2955219875131566e-06,5.2307495854064825e-08,2.612852905180409e-08,1.008151913453112,0.005232955494135577
8.033915704809287e-06,3.537204590644128e-06,7.921980099502488e-06,3.4713383144012425e-06,-1.1193560530679905e-07,7.06122330934923e-08,0.986770233340502,0.0050229860480090665
7.695168126036484e-06,3.1762249178770033e-06,7.64521129353234e-06,3.233202127031828e-06,-4.995683250414461e-08,7.82746313824431e-08,0.9912132192086184,0.011201499252023394
7.652903117744616e-06,3.226007450000721e-06,7.655512371475958e-06,3.2383583123514155e-06,2.609253731343409e-09,2.5957823766738158e-08,0.9998487123188236,0.004423906848972546
6.964291194029851e-06,2.791655893394217e-06,7.0895116252072975e-06,2.800043945515947e-06,1.252204311774471e-07,3.099437636566073e-08,1.0196613552969265,0.008911260600284958
7.210562056384745e-06,2.885542689130683e-06,7.265657645107794e-06,2.9206369884368665e-06,5.509558872304899e-08,4.576932251258563e-08,1.0070523082543763,0.005874378295561572
7.4699543946932024e-06,3.1282102730244935e-06,7.47683447761194e-06,3.108975428905886e-06,6.880082918738785e-09,2.0549641472308162e-08,1.0017252456511077,0.003319952160561136
7.904976434494194e-06,3.3404912622362624e-06,7.91480373134328e-06,3.2699681070422975e-06,9.827296849086092e-09,7.069010740067215e-08,1.00367270223695,0.008633119417716374
7.601875140961862e-06,3.1238369389085504e-06,7.6090906633499206e-06,3.0461528084848286e-06,7.215522388059839e-09,7.930441436733045e-08,1.0035509410234356,0.009604237748691848
7.585684112769488e-06,3.08353812671605e-06,7.4969015257048115e-06,2.9509411780010436e-06,-8.878258706467641e-08,1.3364646671625572e-07,0.9914093369857753,0.01154333285550303
7.917671625207296e-06,3.412693838109385e-06,7.927672338308458e-06,3.367404002226187e-06,1.0000713101161976e-08,6.696239871615357e-08,1.0027025826406493,0.008807759297306707
7.62872393034826e-06,3.1776141434279046e-06,7.595629004975128e-06,3.113396943020536e-06,-3.3094925373131134e-08,7.053090810813665e-08,0.9972258709048356,0.006921427798529172
7.5499805472636835e-06,3.0933325454240483e-06,7.4910688225538985e-06,2.9654306374264854e-06,-5.891172470978471e-08,1.2897820328995566e-07,0.9955759940436875,0.012424355686917478
7.844504228855722e-06,3.382305358117673e-06,7.845293946932005e-06,3.3466689429991896e-06,7.897180762820504e-10,4.034853648423044e-08,1.0012288127886173,0.004663020319208674
