Type,Electrolyte,IDSmed (100s - 600s) [A],IDSmed (100s - 600s) [A],IGSmed (100s - 600s) [A],IGSmed (100s - 600s) [A],IDSmed_pos (90s - 100s) [A],IDSmed_pos (90s - 100s) [A],IDSmed_pos (130s - 140s) [A],IDSmed_pos (130s - 140s) [A],IDSmed_pos (150s - 160s) [A],IDSmed_pos (150s - 160s) [A],a trans pos [muA],a trans pos [muA],Tau trans pos [s],Tau trans pos [s],c trans pos [muA],c trans pos [muA],r2 trans pos,r2 trans pos,a long pos [muA],a long pos [muA],Tau long pos [s],Tau long pos [s],c long pos [muA],c long pos [muA],r2 long pos,r2 long pos,Slope pos [muA/s],Slope pos [muA/s],r2 linear pos,r2 linear pos,IDSmed_neg (90s - 100s) [A],IDSmed_neg (90s - 100s) [A],IDSmed_neg (130s - 140s) [A],IDSmed_neg (130s - 140s) [A],IDSmed_neg (150s - 160s) [A],IDSmed_neg (150s - 160s) [A],a trans neg [muA],a trans neg [muA],Tau trans neg [s],Tau trans neg [s],c trans neg [muA],c trans neg [muA],r2 trans neg,r2 trans neg,a long neg [muA],a long neg [muA],Tau long neg [s],Tau long neg [s],c long neg [muA],c long neg [muA],r2 long neg,r2 long neg,Slope neg [muA/s],Slope neg [muA/s],r2 linear neg,r2 linear neg
,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
Enode,KCl,1.1567889813333333e-05,1.0416452307808734e-06,2.1872123232666666e-07,3.3987102580152303e-07,1.1543826333333332e-05,1.0223490692861876e-06,1.569613e-05,2.5811139030852396e-07,1.4828286666666663e-05,1.7716375814283615e-06,-2.252103764012005,0.6728940349592811,11.987719105670157,3.9600109635453573,15.80797463516521,1.8653283400924596,0.992952606393347,0.009669455234804357,2.151956886045145,0.5775516707203081,456.3969213123403,39.090930498462136,13.552413238755454,1.3453778198302382,0.9889404230100233,0.00811254944493787,-0.00019119319933763332,3.6518159769969544e-05,0.9105973173091441,0.07590227504943517,1.1990429333333334e-05,1.02076901428988e-06,2.930326966666667e-05,8.838382461889309e-07,1.2777569333333336e-05,9.094554925147977e-07,1.7339478036841942,0.11102887562534562,5.926450575117229,0.6891912927379547,12.360895936672813,0.8473771692092655,0.9799573625957478,0.003754820287120267,0.6529380685504668,0.0574973976460612,135.5170040078974,34.64072199102124,11.4841214248278,0.8343339541766579,0.9158523377182801,0.035006698221454545,-0.00010279368422120406,2.858288486461565e-05,0.5242888234194121,0.2294851728228386
Enode,MgCl2,1.0474140398666666e-05,4.266058962014407e-07,-2.0879904098e-07,1.5497508705888363e-07,1.0344231199999998e-05,3.5368733092226937e-07,1.4357758000000003e-05,1.1333893344813162e-06,1.4509556666666668e-05,1.055034145071303e-06,-2.209096312678302,0.614422201825554,5.450403157019639,0.7356047662053463,14.966646226473918,1.1430841714294002,0.9932244039467192,0.00032088789272083904,3.1783799076150596,0.43320178576971313,445.0227056737593,120.41508780253521,11.877872809380504,0.9198862320880035,0.9956976594560802,0.0009356538525992736,-0.00016608713717506667,6.708182545036333e-05,0.7997954553515353,0.17107660789795134,1.0515970666666668e-05,4.4655123403069114e-07,2.8501073999999996e-05,1.5612675029337594e-06,1.2240251333333333e-05,5.145827177882413e-07,2.655876646998314,0.31376895961228757,5.155026791503583,0.42894824407828763,11.69579860193428,0.5544331005696099,0.9779067881447329,0.004860841592951392,0.9472836399660397,0.06276602510591765,218.98302789031393,24.034122602468965,10.371102976669988,0.4500453564664697,0.9480376427868308,0.02637213217266678,-0.00019627408033576666,5.16372757173303e-05,0.7343218410496478,0.026482034918093086
Standard,KCl,8.026948803333334e-06,9.627888743019012e-07,-3.1109577344666667e-07,8.263521588857799e-08,7.946133866666666e-06,1.0085723618821914e-06,1.157192566666667e-05,1.2004613716673e-06,1.1709092166666666e-05,2.191954963691678e-06,-1.5943987866687814,0.21225209162254924,11.023340744773918,3.3102067647803968,12.377589537467818,2.1165977929853166,0.9935123917077582,0.0034925402783209736,2.4991437316417495,0.7859195612845525,445.60731273777304,67.25096494357913,9.588093422609626,1.3385395774759892,0.9913068358986218,0.002646837044768777,-0.00017826061497723335,3.299952389622349e-05,0.9257125200695023,0.028946896177948846,8.1107625e-06,9.395304727252015e-07,2.212711066666667e-05,1.9119041407958544e-06,9.2104684e-06,1.0211741794522174e-06,0.9008822560554854,0.12525199534949208,9.00009721719757,0.39571951008330775,8.874416863539748,0.9617008965169613,0.9821556705496706,0.0012536126322073345,0.7754082847569124,0.07561649881745904,421.6017482282445,72.25264321985401,8.024030853949336,0.9108482611114157,0.9672460139967373,0.005343576889147604,-0.00015522278005296666,3.9236443107134645e-05,0.7756707650265607,0.0942675583097327
Standard,MgCl2,1.0506589284666666e-05,2.834642958754357e-06,-3.110790454e-07,8.872763742609645e-08,1.0366878133333332e-05,2.7838958421825793e-06,1.3424947433333332e-05,3.472584626645254e-06,1.6848407333333335e-05,3.985676111884447e-06,-1.7244758531793838,0.544090202649679,2.99482819248181,0.6962519052265936,16.984985991612312,4.104333871132144,0.9819146635447109,0.014206752464509625,3.760721804251004,0.5857846720698551,357.1438437685285,29.348224617504275,12.960234178834584,3.601995998546625,0.9941885008142596,0.0020437511682052,-0.000261753152445,7.692212706210092e-05,0.9647982327280049,0.022197067748018242,1.0671097666666665e-05,3.0620626336968224e-06,2.5033152666666668e-05,5.492207086705431e-06,1.1759320666666667e-05,3.2660236357617406e-06,1.7182576321400587,0.5060289541093651,5.326150848847625,0.30492328256980983,11.393684851463993,3.1515169564278476,0.9823092598086293,0.004108027843089668,0.9171278437185965,0.12980518314404657,346.8598666578585,68.7408152526889,10.186638188751205,2.9391599684454466,0.9660770074995356,0.0076567725794357624,-0.00016021997509470002,4.296305138603479e-05,0.7565005523051204,0.1117674436047685
