Type	Chip	Disp	Electrolyte	Potential [V]	Period [s]	A1_first [A]	A2_first [A]	Rat_first	A1_last [A]	A2_last [A]	Rat_last
Enode	1	1	MgCl2	-0.5	2.1	7.348894362416103e-06	6.788594362416104e-06	0.9237572385220968	-3.5229956375838964e-06	-2.235535637583896e-06	0.6345553238087593
Enode	1	1	MgCl2	-0.5	1.6	7.991984563758387e-06	7.1813845637583854e-06	0.8985733776719407	-3.2613754362416145e-06	-3.3448254362416145e-06	1.0255873638688366
Enode	1	1	MgCl2	-0.5	1.1	7.626539731543622e-06	7.066239731543624e-06	0.926532868152174	-3.805660268456376e-06	-2.5182002684563767e-06	0.6616986516975122
Enode	1	1	MgCl2	-0.5	0.85	7.000323557046987e-06	7.1195235570469874e-06	1.0170277843629107	-2.679486442953013e-06	-1.0940064429530132e-06	0.408289598116917
Enode	1	1	MgCl2	-0.5	0.6	6.974881744966449e-06	7.606681744966449e-06	1.0905821809030598	-2.4069082550335507e-06	-2.35922825503355e-06	0.980190354202206
Enode	1	1	MgCl2	-0.5	0.5	7.088997333333338e-06	8.06649733333334e-06	1.1378897401193364	-1.780192666666662e-06	-2.209342666666662e-06	1.2410694123370174
Enode	1	1	MgCl2	-0.5	0.3	9.087342200000003e-06	1.5167042200000004e-05	1.6690294990761985	-1.9156977999999964e-06	-3.536937799999996e-06	1.8462921448257663
Enode	1	1	MgCl2	-0.5	0.2	1.3200344066666668e-05	1.384404406666667e-05	1.048763880452591	-9.616294933333333e-06	-8.805672233333331e-06	0.9157032198346884
Enode	1	1	MgCl2	-0.5	0.18	1.4571148866666673e-05	1.3629448866666676e-05	0.9353722888553933	-9.222984133333327e-06	-8.412360133333326e-06	0.9121082733873218
Enode	1	1	MgCl2	-0.5	0.15	1.2720135733333334e-05	1.3363835733333336e-05	1.050604805915174	-8.046150266666666e-06	-7.700444266666665e-06	0.957034608037066
Enode	1	1	MgCl2	-0.5	0.14	1.3285953000000013e-05	1.259455300000001e-05	0.947960074824892	-8.07634899999999e-06	-7.34917699999999e-06	0.9099627814498852
Enode	1	1	MgCl2	-0.5	0.12	1.2147454630872485e-05	1.1670554630872486e-05	0.960740746560356	-7.808208369127515e-06	-7.295605369127516e-06	0.9343507529810866
Enode	1	1	MgCl2	-0.5	0.11	1.247656087248322e-05	1.188056087248322e-05	0.9522304258287664	-7.383699127516781e-06	-7.00222912751678e-06	0.948336193903354
Enode	1	1	MgCl2	-0.5	0.105	7.425746933333329e-06	1.1443046933333327e-05	1.5409960824232778	-1.4434630666666694e-06	-6.74828306666667e-06	4.675064587728043
Enode	1	1	MgCl2	-0.5	0.102	1.14840033557047e-05	1.0542303355704702e-05	0.9179989790291896	-7.613316644295299e-06	-6.921896644295298e-06	0.909182813180628
