IDSmed [A],IDSmed [A],delIDS [A],delIDS [A],Gn [S],Gn [S]
mean,std,mean,std,mean,std
6.804056809528447e-06,2.6491576055671528e-06,-1.1232444308006678e-08,9.18896386650022e-09,1.6912039532336274e-06,5.763744369916182e-07
6.7989325790070625e-06,2.643692723457629e-06,-5.12423052138454e-09,7.371756567361809e-09,1.683836800367406e-06,4.541896554721366e-07
6.791372446931139e-06,2.6372480023904066e-06,-7.56013207592332e-09,6.592255054810137e-09,1.4313245219811647e-06,7.982057538109351e-07
6.787465684017964e-06,2.635383609880097e-06,-3.906762913175326e-09,2.231306149931253e-09,1.5072133367853508e-06,6.044134257455073e-07
6.7822956187531735e-06,2.63145936698218e-06,-5.170065264792074e-09,4.338485710282044e-09,1.438424733042885e-06,6.958869936686227e-07
6.783648908973798e-06,2.6312813886442494e-06,1.3532902206258253e-09,1.7871477683617596e-10,1.4849049446410745e-06,6.25011457685228e-07
6.778853522367474e-06,2.62826189689143e-06,-4.795386606322912e-09,3.0197065528289555e-09,1.4015409295782139e-06,7.018479150265923e-07
6.776203117434913e-06,2.6270757857890984e-06,-2.650404932561893e-09,2.894623297560734e-09,1.4135328509341836e-06,7.691872608765446e-07
6.643130618044779e-06,2.657563237841138e-06,-1.3307249939013427e-07,7.049239989068916e-08,1.6790269847871532e-07,1.8791017774441385e-07
6.657835792604298e-06,2.6772275536110977e-06,1.4705174559518733e-08,2.0021179184999667e-08,2.6831895693501276e-07,2.2328468785443912e-07
6.669447917791634e-06,2.6898985180896015e-06,1.1612125187336724e-08,1.479787170694002e-08,4.2235415292926073e-07,2.847037980358679e-07
6.6797506358777054e-06,2.7024512245142956e-06,1.0302718086070877e-08,1.2628926067270875e-08,4.351460698376813e-07,5.058109967589897e-07
6.68528043945571e-06,2.706229843336407e-06,5.529803578003987e-09,4.230232364712751e-09,4.351689212894912e-07,3.1190207473989793e-07
6.693774054156165e-06,2.7148528442386063e-06,8.493614700455792e-09,9.38766860918862e-09,7.500542441162406e-07,5.099214482061758e-07
6.702155085728616e-06,2.7173071990876257e-06,8.381031572450673e-09,3.3419512800961464e-09,5.239038037253594e-07,4.373995854247284e-07
6.704160270487591e-06,2.724049616924335e-06,2.0051847589757225e-09,6.742625378519317e-09,6.379529944535435e-07,4.41831602635043e-07
6.7061529070618535e-06,2.7218716590398406e-06,1.9926365742624816e-09,2.1812632283573567e-09,6.084238436190022e-07,2.543673482754375e-07
6.7104151592426815e-06,2.7237514669862466e-06,4.262252180827393e-09,2.4015485253833848e-09,6.433988083961675e-07,5.674317556448252e-07
6.828158537549218e-06,2.676048861451777e-06,1.177433783065369e-07,8.596854015415045e-08,1.8734456808678378e-06,3.504127217147827e-07
6.816686431913392e-06,2.6604472626412176e-06,-1.1472105635826143e-08,1.750029715517444e-08,1.7238964239344484e-06,4.5653592892572425e-07
6.805369641445698e-06,2.6509539806640756e-06,-1.1316790467693539e-08,1.015011837553984e-08,1.5344177092929386e-06,5.837467820416954e-07
6.7975270544214555e-06,2.644359805551074e-06,-7.842587024242677e-09,7.913373166997559e-09,1.6261177309961837e-06,5.787096942893489e-07
6.79139330372891e-06,2.636654710690851e-06,-6.133750692545921e-09,7.71407319212911e-09,1.6799509356766942e-06,4.2211709386054536e-07
6.7878231675422285e-06,2.64193603172447e-06,-3.570136186680774e-09,5.494406969481503e-09,1.353760996075105e-06,6.366260159639795e-07
6.785841293321937e-06,2.6343315408887823e-06,-1.9818742202920672e-09,9.543516863928567e-09,1.3994579841614978e-06,5.566522518976636e-07
6.7822104720486704e-06,2.6317981827838107e-06,-3.630821273266823e-09,2.856867875459088e-09,1.3079645057194364e-06,7.543199042042301e-07
6.778909432606876e-06,2.6259036814176138e-06,-3.3010394417939905e-09,6.822897516230206e-09,1.2628774878791365e-06,8.233674856337663e-07
6.777833438794308e-06,2.627276992029006e-06,-1.075993812568089e-09,3.9007264731664985e-09,1.3366191170295526e-06,6.384851032877615e-07
6.6444313565246676e-06,2.66320999959104e-06,-1.3340208226964023e-07,7.426060930058979e-08,5.792463958269913e-08,9.794206127544895e-08
6.658728300597734e-06,2.678328830280517e-06,1.4296944073066699e-08,1.7167316353286503e-08,2.8974374868058885e-07,3.2683164631499457e-07
6.672456597319371e-06,2.6961650734793494e-06,1.372829672163761e-08,1.8130086755758422e-08,2.8389905801453876e-07,2.810201201783091e-07
6.680715027111243e-06,2.6975344965744457e-06,8.258429791871053e-09,2.037276117696471e-09,4.2065359373342863e-07,4.44658136144387e-07
6.689910819090983e-06,2.706159360057293e-06,9.195791979739647e-09,8.63221219545143e-09,5.198025006066996e-07,5.254052359154778e-07
6.698587929084472e-06,2.709006116768576e-06,8.67710999348977e-09,3.448496329706002e-09,6.927210058700226e-07,7.661008868026183e-07
6.700148470410265e-06,2.7175014333606783e-06,1.560541325791767e-09,8.515275522470208e-09,6.505929091781232e-07,5.126524907182991e-07
6.708219387974168e-06,2.7229497459282415e-06,8.070917563903398e-09,5.983403804115845e-09,6.005653051792104e-07,4.495355054230111e-07
6.711393586063726e-06,2.7184603176495534e-06,3.1741980895582343e-09,4.5155771398683136e-09,5.589684941248041e-07,5.561312138250196e-07
6.7141411648208305e-06,2.72098953150655e-06,2.7475787571044443e-09,3.3796999372901435e-09,6.195258120884407e-07,6.476060007202682e-07
6.8337057210025405e-06,2.674048883628977e-06,1.1956455618170916e-07,8.677868558460836e-08,1.8198689963283234e-06,5.388412335726358e-07
6.8201135690060255e-06,2.6613858463553843e-06,-1.3592151996513835e-08,1.2767680586487619e-08,1.6916361730159446e-06,5.36856780317826e-07
6.810445133472361e-06,2.650679772420178e-06,-9.668435533664971e-09,1.0939319496683529e-08,1.667327743971609e-06,4.483257490512953e-07
6.799231163275484e-06,2.6457322099857505e-06,-1.1213970196876635e-08,5.0236849313133296e-09,1.451231094977881e-06,3.949052484621109e-07
6.794856692711922e-06,2.6380509037297135e-06,-4.374470563561773e-09,7.994823778693538e-09,1.5110017508674018e-06,6.64144986571803e-07
6.790445477615019e-06,2.6346156041772374e-06,-4.411215096903713e-09,4.068892885372065e-09,1.3925897324898007e-06,6.988977981436248e-07
6.785189735107148e-06,2.631733843174343e-06,-5.255742507870309e-09,2.8833241184147014e-09,1.3639791269806184e-06,7.88155490201934e-07
6.782959871998173e-06,2.627339680336677e-06,-2.229863108975202e-09,4.4893876707001676e-09,1.4514036474367588e-06,6.099243053784093e-07
6.780251169402618e-06,2.630928040361127e-06,-2.7087025955552235e-09,3.611407665659506e-09,1.353869968479845e-06,6.005053583334459e-07
6.776242344130878e-06,2.6241336475918213e-06,-4.0088252717396244e-09,7.051368869605591e-09,1.3787455912912344e-06,7.651559675530064e-07
6.6471823364130005e-06,2.6579944192738335e-06,-1.2906000771787728e-07,7.31309559058256e-08,1.238455309381759e-07,1.3498769308849614e-07
6.661413166852981e-06,2.6788408080948583e-06,1.4230830439979724e-08,2.131761074008775e-08,2.936378435533959e-07,3.8071906017006803e-07
6.674378572787039e-06,2.689137751354231e-06,1.2965405934058557e-08,1.149533356049952e-08,3.7207970226768095e-07,3.0054955502192137e-07
6.682926600850199e-06,2.6980417258890203e-06,8.548028063159735e-09,1.0473150928070381e-08,4.2675544204182265e-07,3.3991035489804486e-07
6.691520511026283e-06,2.704541562287376e-06,8.593910176084116e-09,6.798269957386033e-09,5.881637005177269e-07,3.0098971650897985e-07
6.6990084945928174e-06,2.712343296068662e-06,7.487983566534804e-09,7.96791457923847e-09,6.298919417109525e-07,5.657182616611326e-07
6.703844491084965e-06,2.715074607606541e-06,4.8359964921465404e-09,2.9959848025465687e-09,7.196593341267222e-07,5.908809294679408e-07
6.709257855656385e-06,2.720864525780952e-06,5.41336457142004e-09,5.985567221613755e-09,6.186142061871086e-07,3.413602587180467e-07
6.711768430515501e-06,2.722285599718294e-06,2.510574859115877e-09,2.9441797291200373e-09,4.917115186279801e-07,3.288427713303002e-07
6.7154645269814255e-06,2.722758515294314e-06,3.6960964659253173e-09,2.9179673587866462e-09,6.0991830266683e-07,1.547383437990589e-07
6.833320066827279e-06,2.6821382771698936e-06,1.1785553984585354e-07,8.288456411999198e-08,1.8226889368042584e-06,6.603160934902189e-07
6.820939120188997e-06,2.658430758178949e-06,-1.2380946638283019e-08,2.4647785107653336e-08,1.724555894198131e-06,6.400459112521246e-07
6.807876128315608e-06,2.6514863885464723e-06,-1.3062991873388415e-08,7.044738945709684e-09,1.7627695372227978e-06,4.674567960561711e-07
6.8032609353470734e-06,2.643202426896986e-06,-4.615192968534433e-09,9.01108487869021e-09,1.6979576022902342e-06,6.057218709860591e-07
6.799148096092722e-06,2.6391786740059864e-06,-4.112839254351759e-09,4.430405962546142e-09,1.72213203823329e-06,5.799225888629226e-07
6.792107754449717e-06,2.6339389057681575e-06,-7.040341643005095e-09,5.244870213845029e-09,1.5998998492995033e-06,5.353775292963242e-07
6.785870600841311e-06,2.631687841861135e-06,-6.23715360840502e-09,2.424372559497859e-09,1.491897610608044e-06,5.18684113821894e-07
6.787317995341861e-06,2.632097960946025e-06,1.447394500549328e-09,2.359933493910937e-09,1.518053814343522e-06,7.388253122816524e-07
6.783314807042491e-06,2.627435810313486e-06,-4.003188299368979e-09,4.832239291156742e-09,1.4431672018594176e-06,7.724651876238926e-07
6.7802604396168436e-06,2.6254910835286066e-06,-3.0543674256480795e-09,2.6135854283521255e-09,1.5414458063947543e-06,8.469579370536389e-07
6.647160802231156e-06,2.658139816957477e-06,-1.3309963738568817e-07,7.294999710944148e-08,1.6498368664575718e-07,2.90788284472213e-07
6.662307171723114e-06,2.6802822587133316e-06,1.5146369491958748e-08,2.33054698053504e-08,2.1701115506538024e-07,7.36319736318037e-08
6.6737929008316614e-06,2.6915162307519685e-06,1.1485729108547013e-08,1.1883585156358463e-08,3.348072181007803e-07,2.2993981201237696e-07
6.6838607040153875e-06,2.702040373139618e-06,1.006780318372629e-08,1.0524450125196742e-08,3.63392951836738e-07,9.101328562876595e-08
6.691819431618266e-06,2.7077750830838966e-06,7.958727602878449e-09,5.805367128496559e-09,5.389256110544672e-07,4.41679141801518e-07
6.6967142799967405e-06,2.7130938863299714e-06,4.8948483784743275e-09,5.593022139220318e-09,5.69163433593279e-07,4.280771278990178e-07
6.7011282377886045e-06,2.7167962167414145e-06,4.413957791864029e-09,4.093040772662581e-09,5.853020303036871e-07,3.863668857206307e-07
6.708433521869968e-06,2.7226666372067855e-06,7.30528408136375e-09,7.200848205509543e-09,6.767458751808534e-07,3.461856281851249e-07
6.7110146867814064e-06,2.7240366498103835e-06,2.5811649114378574e-09,1.7911792898915469e-09,7.00461016393688e-07,5.129952761581099e-07
6.7147218392923e-06,2.7257725886016834e-06,3.7071525108937444e-09,3.2966659589782286e-09,7.012802988699854e-07,8.811694742627766e-07
6.832706380540308e-06,2.678342171031637e-06,1.179845412480077e-07,8.594347200434014e-08,2.0023005835186162e-06,4.314882475177481e-07
6.8190412605417805e-06,2.657378156835334e-06,-1.3665119998526805e-08,2.107772361718246e-08,1.8699812545775796e-06,2.407575482684951e-07
6.806718815255408e-06,2.6484883403300555e-06,-1.2322445286372668e-08,8.917077249098732e-09,1.6974464440347567e-06,4.0686811815057746e-07
6.801736489592258e-06,2.6421347629609006e-06,-4.9823256631498225e-09,6.369929617373783e-09,1.6827285109697522e-06,5.586029470280223e-07
6.794815845978519e-06,2.6389419849437324e-06,-6.92064361373923e-09,6.245768586529215e-09,1.610597516831518e-06,6.822207719054135e-07
6.790780744836411e-06,2.634899601601558e-06,-4.035101142108033e-09,6.504256266333956e-09,1.5372913836934664e-06,6.230949180667919e-07
6.786279233968647e-06,2.6351662170629205e-06,-4.5015108677638236e-09,4.129015483409118e-09,1.5527093582708592e-06,6.478776895193115e-07
6.782600815805988e-06,2.6331963968579204e-06,-3.6784181626598885e-09,1.971169284893746e-09,1.3865885358086124e-06,6.578262086869298e-07
6.781754791518324e-06,2.629065411762911e-06,-8.46024287662982e-10,4.208101086317454e-09,1.464310417698484e-06,7.536602627278675e-07
6.649260579176068e-06,2.6483025722897756e-06,0.0,0.0,0.0,0.0
6.738736990049195e-06,2.6781732467373318e-06,8.947641087312812e-08,3.2665440055829804e-08,1.0190826250316205e-06,4.0424941453658296e-07
6.787241460415317e-06,2.696195441280849e-06,4.850447036612119e-08,2.087218690491161e-08,1.3258218148406038e-06,4.318075545221629e-07
6.819506244445013e-06,2.7041173741232312e-06,3.226478402969652e-08,1.3999041693410875e-08,1.812179870935005e-06,6.874923294296657e-07
6.839602463060146e-06,2.707143104539928e-06,2.009621861513333e-08,4.778674282259262e-09,1.882375912805895e-06,7.599334593796992e-07
6.855293927780319e-06,2.710580615798915e-06,1.5691464720171483e-08,3.850851940587773e-09,2.2311951960393128e-06,1.0113884451130387e-06
6.863656409450415e-06,2.7136315343574953e-06,8.36248167009661e-09,5.435593319143747e-09,2.291725002597598e-06,1.2504818307170795e-06
6.87201271413566e-06,2.719007475408016e-06,8.356304685244244e-09,6.227340416040741e-09,2.4901169217639695e-06,1.099550999913708e-06
6.877834351826096e-06,2.715484619754372e-06,5.8216376904376336e-09,3.737307762276968e-09,2.385562933921698e-06,1.0424206688165296e-06
6.883195567297659e-06,2.721717812242136e-06,5.361215471563715e-09,6.83904499264727e-09,2.26599031284268e-06,9.455132825136183e-07
6.626072182787843e-06,2.6594972375980245e-06,-2.5712338450981813e-07,8.76531223261066e-08,-9.758984369228139e-08,5.626224127406628e-07
6.5819357407311445e-06,2.6468215383018213e-06,-4.413644205669726e-08,2.5439563382686777e-08,-5.063701455997632e-07,7.183272923378176e-07
6.561978281638404e-06,2.6419646825836416e-06,-1.9957459092741113e-08,7.58507830379446e-09,-5.569171931670575e-07,7.635322668601557e-07
6.55019027817616e-06,2.6342304991133884e-06,-1.1788003462243633e-08,7.734548274825006e-09,-7.924184374994412e-07,6.17049899940159e-07
6.541922014472827e-06,2.6345719959960996e-06,-8.26826370333369e-09,1.8243502128583593e-09,-1.0158999823270149e-06,5.629325116481915e-07
6.533249167735751e-06,2.626371164967478e-06,-8.672846737074363e-09,8.41205711052348e-09,-1.1052821630970473e-06,3.859946116043235e-07
6.527349322974865e-06,2.626758321909398e-06,-5.8998447608861154e-09,3.8717484398967875e-10,-1.1338587093529278e-06,5.666461530115337e-07
6.522912542550331e-06,2.623740175509966e-06,-4.436780424535796e-09,3.3710724384416833e-09,-1.145583104540181e-06,5.121466338618028e-07
6.517884391617675e-06,2.619121386106408e-06,-5.0281509326547775e-09,4.68830796252489e-09,-1.134666917566437e-06,7.412176162493839e-07
6.515667621442844e-06,2.619119158732524e-06,-2.216770174831212e-09,5.343582059513749e-09,-1.2379519655211664e-06,8.280885459241403e-07
6.6282895024490545e-06,2.658176403252437e-06,1.1262188100621036e-07,5.972900396005175e-08,-1.0577333793196077e-07,5.557360367507362e-07
6.733317396386458e-06,2.6888112206147156e-06,1.0502789393740414e-07,3.631133575241985e-08,1.1153686582727492e-06,7.478893890908799e-07
6.791414501587194e-06,2.705479661739998e-06,5.809710520073499e-08,2.0958282612261234e-08,1.6060142739285541e-06,7.039836625851564e-07
6.828577080379243e-06,2.7085322677135196e-06,3.716257879204932e-08,1.0403780966390879e-08,1.8373526085904317e-06,6.284586664012412e-07
6.8486048832028246e-06,2.7135935948188594e-06,2.002780282358108e-08,5.9171267049279235e-09,2.2834725392613785e-06,1.1099446950710362e-06
6.867639697816228e-06,2.720456685385454e-06,1.9034814613404487e-08,7.41858942315153e-09,2.3976484788273877e-06,1.0325876366517018e-06
6.87246410298788e-06,2.7200081700694465e-06,4.824405171652201e-09,4.084074101377149e-09,2.4030973136401394e-06,9.569508899328206e-07
6.881254340858807e-06,2.724393382259524e-06,8.790237870926768e-09,6.710569075013363e-09,2.5563349138494257e-06,1.1224002180501155e-06
6.8885128049108345e-06,2.727420743188302e-06,7.258464052027036e-09,3.068545671898408e-09,2.5642061353314875e-06,1.0489338887501344e-06
6.896283001841159e-06,2.729584385080322e-06,7.77019693032372e-09,2.4752278080432318e-09,2.5994857801262464e-06,1.080268974894915e-06
6.632608673839968e-06,2.6664651427019385e-06,-2.636743280011898e-07,8.663982883274863e-08,1.2560517824502607e-07,6.530110294366039e-07
6.590140576652932e-06,2.654619282968249e-06,-4.246809718703569e-08,2.2235064632456666e-08,-4.3079660223177286e-07,7.959199628602389e-07
6.573271647880574e-06,2.6512880074646824e-06,-1.6868928772358255e-08,8.525198663260208e-09,-5.437209937720664e-07,8.450059325869254e-07
6.560117564428462e-06,2.640709455600926e-06,-1.3154083452112575e-08,1.2516772074677441e-08,-9.52408841474508e-07,8.490509359697691e-07
6.550116367520786e-06,2.6344967733489e-06,-1.0001196907675572e-08,6.43242711390528e-09,-8.127638500028559e-07,8.841928452725211e-07
6.54236795109379e-06,2.6321653298385125e-06,-7.748416426996321e-09,3.292170324177567e-09,-8.380566205612341e-07,8.47814486967866e-07
6.535706451889685e-06,2.6298292782040353e-06,-6.661499204104943e-09,3.0233958077742814e-09,-8.424349974310301e-07,8.004192187921976e-07
6.5323762375631605e-06,2.6287588288167865e-06,-3.3302143265240186e-09,1.9779965038981297e-09,-1.1396282259296238e-06,6.864330424742115e-07
6.528682902740002e-06,2.625407861787504e-06,-3.6933348231595616e-09,4.405263688893774e-09,-1.0551399958191232e-06,6.160972271751253e-07
6.523444307996821e-06,2.6212552598848833e-06,-5.23859474318035e-09,4.251204273987278e-09,-1.0754795324437275e-06,6.90972300949456e-07
6.636306882986294e-06,2.658026044580176e-06,1.1286257498947275e-07,5.4045281060307646e-08,1.2680001988091832e-08,5.061753325358242e-07
6.7446241776754805e-06,2.69364382641802e-06,1.0831729468918695e-07,4.127649097756174e-08,1.0848743186812593e-06,8.009802595134469e-07
6.802541472931504e-06,2.707393699128176e-06,5.791729525602326e-08,1.8079757587399587e-08,1.5743236317410168e-06,6.929769708442089e-07
6.838083488484397e-06,2.7154938488902602e-06,3.554201555289268e-08,1.0977264884428452e-08,1.923606809883891e-06,1.0281903093942712e-06
6.857763854857996e-06,2.717475064309329e-06,1.968036637359955e-08,6.1355932825339355e-09,2.22501236635398e-06,1.0400482064128025e-06
6.870149780032385e-06,2.723360445799663e-06,1.2385925174388017e-08,6.586642159309188e-09,2.323312162435972e-06,1.0762239268812695e-06
6.886738977603577e-06,2.724696511438007e-06,1.6589197571192364e-08,4.590839353342813e-09,2.5074637564966077e-06,9.028183356696774e-07
6.892974122744515e-06,2.7314125576809467e-06,6.235145140937758e-09,7.1747563083886584e-09,2.4472681629066537e-06,9.994006506247687e-07
6.90209238977483e-06,2.7335564231201194e-06,9.118267030315518e-09,2.2302074740045228e-09,2.6731982147624154e-06,1.1790524019739484e-06
6.907215492901739e-06,2.7367088521833055e-06,5.123103126909338e-09,3.4774424875113192e-09,2.6202129672010404e-06,1.0020611904614393e-06
6.642408446092911e-06,2.664932255141125e-06,-2.6480704680882856e-07,9.305044368348222e-08,1.3415085372967044e-07,6.106501869285592e-07
6.59813022233872e-06,2.6538084491631724e-06,-4.4278223754190847e-08,2.4505310373660557e-08,-1.9235951334645282e-07,7.711614686018509e-07
6.578675661709592e-06,2.6460758619023996e-06,-1.9454560629128537e-08,1.0624911715372458e-08,-5.192579920936734e-07,7.347156951964448e-07
6.5648541133593126e-06,2.6379654591775573e-06,-1.3821548350277915e-08,9.094397200271556e-09,-6.083225443456933e-07,6.364967843609617e-07
6.551447630916603e-06,2.6328499329653083e-06,-1.3406482442710125e-08,5.338884485898524e-09,-7.719047542760932e-07,7.893786407424045e-07
6.543737526953919e-06,2.629632682508832e-06,-7.710103962683854e-09,3.2180433331021336e-09,-7.888328481347996e-07,6.913488945691221e-07
6.539281964516401e-06,2.6231566308099864e-06,-4.455562437518852e-09,8.336352347772232e-09,-9.283603072976195e-07,5.737828073367958e-07
6.536037247428794e-06,2.622844724484816e-06,-3.244717087606357e-09,5.834285072619078e-09,-9.003124468023123e-07,6.541774115395596e-07
6.5318132129732476e-06,2.622571143394882e-06,-4.2240344555463615e-09,5.6466700410216426e-09,-9.105738278581739e-07,8.307945735962469e-07
6.526459164509409e-06,2.6197712512288856e-06,-5.354048463838505e-09,3.348610123687202e-09,-1.073837275354873e-06,6.955110460430375e-07
6.640915107899066e-06,2.6556746725025267e-06,1.144559433896572e-07,5.150519555943613e-08,4.541210575778002e-08,4.7104954594858607e-07
6.745498566829156e-06,2.693007323462271e-06,1.0458345893008908e-07,4.338714353326291e-08,1.1279752124345649e-06,7.880820000620466e-07
