A1_first [A],A1_first [A],A2_first [A],A2_first [A],Rat_first,Rat_first,A1_last [A],A1_last [A],A2_last [A],A2_last [A],Rat_last,Rat_last
mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
1.6695769600000002e-05,1.112212359926306e-06,1.792363626666667e-05,4.551691920002672e-07,1.0774145146929366,0.08997636890739467,-1.8424373333333132e-07,4.024325170973856e-08,-1.5621857066666663e-05,1.799387240528888e-06,89.66098747516678,33.50028308038746
2.455588176733781e-05,4.630364351688745e-07,2.1416681767337812e-05,4.0387822279028137e-07,0.8721610994690826,0.0005907591416162993,-1.7179311565995527e-05,1.50754305591678e-06,-1.5422944899328858e-05,1.5259484189482855e-06,0.8975742819643039,0.03348650602570062
1.677933531111111e-05,8.632153482550269e-07,2.233053531111111e-05,9.577319101692188e-07,1.3317330712377793,0.04710018499245138,-2.477146888888886e-07,8.119168472438656e-08,-1.5466764688888888e-05,1.721441221091325e-06,65.45259709431136,14.821025547359381
2.4850903266219238e-05,1.0065227488166854e-06,2.3623036599552572e-05,1.3702741107812851e-06,0.9501939476320261,0.01967189022469426,-1.737700673378076e-05,1.0253378557250311e-06,-1.6105436733780758e-05,1.2307911083075173e-06,0.9262013543046219,0.016552886714060862
2.510335635346756e-05,1.237622114128659e-06,2.417352302013423e-05,1.1726729009249515e-06,0.9630040354626018,0.007967522381995013,-1.7951036979865772e-05,1.8635988832003963e-06,-1.6464896979865773e-05,1.4735876982308089e-06,0.9180804611213059,0.012562237318703408
2.5334550377777778e-05,1.0723654953687018e-06,2.4678883711111117e-05,9.529664596544113e-07,0.9742298464326247,0.006979527371984366,-1.8200676288888885e-05,1.5613058325763436e-06,-1.644432962222222e-05,1.373048301219839e-06,0.9037015403282963,0.015330602514769665
2.6280427266666667e-05,1.3311175418205605e-06,2.5612893933333334e-05,1.0931279854538607e-06,0.9748552309652377,0.007572880107411493,-1.8836306066666664e-05,1.6748695770464501e-06,-1.7425632733333332e-05,1.5973990634673672e-06,0.9249950526429743,0.009650244298374643
2.8620153866666665e-05,9.112335196933473e-07,2.7563120533333335e-05,6.137467358659066e-07,0.963348778358247,0.01811139194259606,-2.1169612799999997e-05,1.5912667663759965e-06,-1.9822512799999998e-05,1.5345959418555038e-06,0.936347665051953,0.015547325264210559
2.8751707844444445e-05,1.4466832314395236e-06,2.7996707844444447e-05,1.2333097827641046e-06,0.9739898917469514,0.013280026278230075,-2.1451292155555558e-05,1.6919147005848098e-06,-2.0136025488888888e-05,1.4603975192321546e-06,0.9392239559399326,0.027781295524542844
2.0781762599999997e-05,1.0483319511934866e-06,2.8987329266666665e-05,1.9486224678029497e-06,1.3953495659645327,0.07995609846660112,-7.105271733333334e-06,1.3384837469251066e-06,-1.1090834066666667e-05,1.8704868556985735e-06,1.5659183240955796,0.10531879037589123
