VGSmin [V]	VGSmin [V]	IDSmin [A]	IDSmin [A]	IDSmax [A]	IDSmax [A]	Ronoff	Ronoff	Res [ohm]	Res [ohm]	IDS(-0.6V) [A]	IDS(-0.6V) [A]	IDS(+0.6V) [A]	IDS(+0.6V) [A]	VGS min |gm| [V]	VGS min |gm| [V]	min |gm| [S]	min |gm| [S]	VGS min gm [V]	VGS min gm [V]	min gm [S]	min gm [S]	VGS max gm [V]	VGS max gm [V]	max gm [S]	max gm [S]
mean	std	mean	std	mean	std	mean	std	mean	std	mean	std	mean	std	mean	std	mean	std	mean	std	mean	std	mean	std	mean	std
0.08	0.02828427124746191	4.4311965e-06	1.6845737188394277e-06	9.436338499999998e-06	2.1356908746736964e-06	2.1966441569669435	0.35311414011881587	23988.28886387422	8924.381149361441	9.436338499999998e-06	2.1356908746736964e-06	6.6643464999999996e-06	2.3304492954159075e-06	0.08	0.02828427124746191	9.337500000003367e-08	2.5986174208631452e-08	-0.6	0.0	-5.321849999999993e-05	1.2186278266968944e-05	0.6	0.0	7.951899999999965e-06	1.5604432447224218e-06
0.08	0.02828427124746191	4.4425365e-06	1.7037405552502704e-06	9.4705515e-06	2.2110076463650006e-06	2.1979926930807556	0.3452535831681838	23947.083718119386	8998.31689341752	9.4705515e-06	2.2110076463650006e-06	6.666287e-06	2.344525670108988e-06	0.08	0.02828427124746191	1.0053749999999599e-07	2.858479162943902e-08	-0.6	0.0	-5.295539999999993e-05	1.0568983637039043e-05	0.6	0.0	8.018199999999995e-06	1.547149637236167e-06
0.08	0.02828427124746191	4.4381415e-06	1.7005048346195608e-06	9.521094999999999e-06	2.2794789173076373e-06	2.209046113554053	0.33280026756438064	23946.37272127419	9018.091346580517	9.521094999999999e-06	2.2794789173076373e-06	6.6279885e-06	2.3035863087986307e-06	0.08	0.02828427124746191	5.695000000000629e-08	7.601397897750491e-09	-0.6	0.0	-5.3814924999999946e-05	9.190160769064345e-06	0.6	0.0	7.93975e-06	1.4197289952663669e-06
0.08	0.02828427124746191	4.4276965e-06	1.6909659641413547e-06	9.4689615e-06	2.1768543888336896e-06	2.20553540659085	0.35066335653767183	23984.05763450209	8980.354755637714	9.4689615e-06	2.1768543888336896e-06	6.616475e-06	2.2996597448427015e-06	0.08	0.02828427124746191	5.942499999999647e-08	7.318555185294417e-09	-0.6	0.0	-5.325039999999994e-05	1.1088000014430043e-05	0.6	0.0	7.906325000000004e-06	1.4288153174045736e-06
0.08	0.02828427124746191	4.4243050000000005e-06	1.6888609072537622e-06	9.47878e-06	2.1814527042317475e-06	2.209287925733493	0.35027587528601756	24002.94628935953	8962.232475064857	9.47878e-06	2.1814527042317475e-06	6.60681e-06	2.2969189989588227e-06	0.08	0.02828427124746191	2.7712499999990465e-08	1.2321335662160687e-08	-0.6	0.0	-5.337767499999995e-05	1.0700187300288234e-05	0.6	0.0	7.924749999999967e-06	1.451124536351018e-06
0.08	0.02828427124746191	4.423353e-06	1.6880618765910208e-06	9.491186500000001e-06	2.183423410830914e-06	2.212633383024089	0.350783365000413	23988.9484746183	8974.34899377374	9.491186500000001e-06	2.183423410830914e-06	6.5980315e-06	2.301630451441868e-06	0.08	0.02828427124746191	1.6112499999985355e-08	5.356333867503436e-09	-0.6	0.0	-5.3326399999999964e-05	1.116719597392291e-05	0.6	0.0	7.918075000000022e-06	1.5237090474398223e-06
0.08	0.02828427124746191	4.425645e-06	1.6928306047233432e-06	9.5077865e-06	2.1925168040369727e-06	2.21567835467098	0.3520958696355279	23969.38013826791	8972.502324223076	9.5077865e-06	2.1925168040369727e-06	6.589985e-06	2.296770506534774e-06	0.08	0.02828427124746191	6.542499999997575e-08	2.580939751329369e-08	-0.6	0.0	-5.362114999999996e-05	1.1145629217096706e-05	0.6	0.0	7.941925000000013e-06	1.5138095525032368e-06
0.08	0.02828427124746191	4.420452e-06	1.6905155371217386e-06	9.512285e-06	2.2069014772866497e-06	2.2186597037540565	0.3492351514043126	23987.74706352289	8977.271356104899	9.512285e-06	2.2069014772866497e-06	6.5805085e-06	2.296298866311722e-06	0.08	0.02828427124746191	9.801249999997522e-08	8.402196327447092e-08	-0.6	0.0	-5.342492499999998e-05	1.0641850990840365e-05	0.6	0.0	7.94067500000001e-06	1.4566753245833438e-06
0.09	0.014142135623730958	4.418515e-06	1.692895658547213e-06	9.5302015e-06	2.206694294999763e-06	2.224475367218761	0.3528584596205054	23985.64148658158	9001.121183758314	9.5302015e-06	2.206694294999763e-06	6.5695215e-06	2.294700804986241e-06	0.09	0.014142135623730958	8.516249999999107e-08	3.052933527774223e-08	-0.6	0.0	-5.379489999999991e-05	1.0712526313619957e-05	0.6	0.0	7.871399999999987e-06	1.4779945940361295e-06
0.08	0.02828427124746191	4.4218765e-06	1.6977541892407452e-06	9.545095e-06	2.2083439751202715e-06	2.226868823557081	0.35558023815531054	23978.921066988405	9000.896344946254	9.545095e-06	2.2083439751202715e-06	6.559720000000001e-06	2.2910259710444146e-06	0.08	0.02828427124746191	1.5924999999999344e-07	1.297540943477333e-07	-0.6	0.0	-5.387367499999994e-05	1.075604873600195e-05	0.6	0.0	7.84225000000002e-06	1.3933539123281151e-06
0.09	0.014142135623730958	4.4162315e-06	1.6926418072127665e-06	9.533048500000001e-06	2.2241075065932627e-06	2.2255973410014644	0.3494000708086494	23981.94146583214	9030.897630868956	9.533048500000001e-06	2.2241075065932627e-06	6.552144999999999e-06	2.2902594672936074e-06	0.09	0.014142135623730958	1.6869999999999727e-07	1.1059150057758857e-07	-0.6	0.0	-5.317374999999997e-05	1.05178598167593e-05	0.6	0.0	7.882424999999979e-06	1.5309922472860794e-06
0.09	0.014142135623730958	4.4215535e-06	1.704160576678295e-06	9.557935e-06	2.216065581170828e-06	2.230773307568975	0.3585912383723198	23993.314711329353	9033.601957947338	9.557935e-06	2.216065581170828e-06	6.554583e-06	2.305875213449332e-06	0.09	0.014142135623730958	1.5321250000000818e-07	1.0152285610887394e-07	-0.6	0.0	-5.372667499999993e-05	1.1007778750104395e-05	0.6	0.0	7.989075000000011e-06	1.5640141339674888e-06
0.09	0.042426406871192854	4.4205765e-06	1.7018172248054432e-06	9.567068499999999e-06	2.253452438012503e-06	2.2314470176981596	0.34928985686526676	23961.02728578495	9047.879985375412	9.567068499999999e-06	2.253452438012503e-06	6.5413815e-06	2.297288815805383e-06	0.09	0.014142135623730958	1.7987499999999292e-07	5.876057351660157e-08	-0.6	0.0	-5.287999999999997e-05	1.0663170260293183e-05	0.6	0.0	7.97664999999998e-06	1.5547156797948465e-06
0.1	0.02828427124746189	4.41053e-06	1.6911307200213707e-06	9.587348500000002e-06	2.236510159535275e-06	2.2412800894911484	0.35229041679241563	23998.637185424046	8997.11605944351	9.587348500000002e-06	2.236510159535275e-06	6.5258035e-06	2.287495386885949e-06	0.09	0.014142135623730958	1.446250000000071e-07	2.5880108191446055e-08	-0.6	0.0	-5.394259999999999e-05	1.082948177522824e-05	0.6	0.0	7.926499999999962e-06	1.5405735441710846e-06
0.1	0.02828427124746189	4.4106965e-06	1.6937236805879822e-06	9.600048499999999e-06	2.242068018835401e-06	2.2444182651048603	0.3535397064651571	23996.416430175726	9024.699499718852	9.600048499999999e-06	2.242068018835401e-06	6.518858499999999e-06	2.286092487032075e-06	0.09	0.014142135623730958	8.271249999999586e-08	3.894390597383748e-08	-0.6	0.0	-5.4530499999999935e-05	1.0317395044292912e-05	0.6	0.0	7.904349999999997e-06	1.5155419641171386e-06
0.09	0.014142135623730958	4.4109385e-06	1.6951209235876063e-06	9.6058765e-06	2.2162048812067212e-06	2.2471323348984966	0.3611376938830575	23970.257067721257	9037.733933303807	9.6058765e-06	2.2162048812067212e-06	6.512278e-06	2.2872146654938186e-06	0.09	0.014142135623730958	1.5816249999998854e-07	3.305724202053123e-09	-0.6	0.0	-5.432489999999996e-05	1.1692576312344519e-05	0.6	0.0	7.904649999999984e-06	1.5407856762054913e-06
0.09	0.014142135623730958	4.4078599999999995e-06	1.694157137044849e-06	9.6169415e-06	2.2410879688366754e-06	2.250273790334689	0.35646082982758154	23983.43861108145	9048.182386488084	9.6169415e-06	2.2410879688366754e-06	6.5042685e-06	2.2849752583178004e-06	0.1	0.02828427124746189	1.659499999999878e-07	3.447145558284072e-08	-0.6	0.0	-5.457899999999998e-05	1.084560380983926e-05	0.6	0.0	7.876924999999955e-06	1.4770399998814796e-06
0.1	0.02828427124746189	4.408243e-06	1.6963491680665273e-06	9.6280815e-06	2.2361382213683705e-06	2.253346904560905	0.35985423796936894	23990.46295020968	9053.304623963488	9.6280815e-06	2.2361382213683705e-06	6.496485e-06	2.282194207347394e-06	0.1	0.02828427124746189	3.27000000000175e-08	3.754737008097781e-08	-0.6	0.0	-5.459107499999999e-05	1.1475034911112427e-05	0.6	0.0	7.884925000000007e-06	1.445220194728135e-06
0.1	0.02828427124746189	4.406045e-06	1.6961540065949197e-06	9.640864999999999e-06	2.2354968755178334e-06	2.257732732362448	0.3617678767010387	23984.75310543199	9046.323410749883	9.640864999999999e-06	2.2354968755178334e-06	6.488802e-06	2.283339720332916e-06	0.1	0.02828427124746189	5.033749999998079e-08	4.170162242047586e-08	-0.6	0.0	-5.479367499999993e-05	1.1660438309139563e-05	0.6	0.0	7.923775000000009e-06	1.4744237047911513e-06
0.1	0.02828427124746189	4.404313e-06	1.6980320822057515e-06	9.6453615e-06	2.2305945042038675e-06	2.260340001826754	0.3649911656121999	23992.227571297495	9073.550402307823	9.6453615e-06	2.2305945042038675e-06	6.482151999999999e-06	2.2823356287036305e-06	0.1	0.02828427124746189	8.032499999998809e-08	4.666904755831864e-08	-0.6	0.0	-5.458849999999999e-05	1.1684232452326497e-05	0.6	0.0	7.958849999999975e-06	1.588161830544979e-06
0.1	0.02828427124746189	4.399338e-06	1.705110221085429e-06	9.650373499999999e-06	2.2594274903135304e-06	2.264128172332629	0.3639548946178508	23992.153206203744	9070.386657741465	9.650373499999999e-06	2.2594274903135304e-06	6.483275e-06	2.288519984611889e-06	0.1	0.02828427124746189	9.88625000000008e-08	3.005203820205329e-10	-0.6	0.0	-5.437317499999993e-05	1.0865650287085897e-05	0.6	0.0	7.95292500000002e-06	1.504334321635345e-06
0.1	0.02828427124746189	4.41329e-06	1.7141640163117413e-06	9.6905415e-06	2.2685802804892096e-06	2.2669327556833228	0.3664645370464113	23939.13540718438	9110.444971830697	9.6905415e-06	2.2685802804892096e-06	6.4855215e-06	2.30167287784874e-06	0.1	0.02828427124746189	7.133749999999295e-08	6.043995212193648e-08	-0.6	0.0	-5.512499999999993e-05	1.1692717733700763e-05	0.6	0.0	7.940725e-06	1.5350227559388492e-06
0.1	0.02828427124746189	4.4094485e-06	1.714689396650163e-06	9.710369999999999e-06	2.3154918656734676e-06	2.271843702759182	0.35832472979197877	23971.23180290337	9122.657404518093	9.710369999999999e-06	2.3154918656734676e-06	6.4735634999999995e-06	2.2929401091010856e-06	0.1	0.02828427124746189	5.582500000000213e-08	5.7629202666700616e-08	-0.6	0.0	-5.5124574999999935e-05	1.0497106232731518e-05	0.6	0.0	8.004099999999966e-06	1.5989098536190126e-06
0.1	0.02828427124746189	4.40239e-06	1.7058710679819856e-06	9.726988499999999e-06	2.2883976551387428e-06	2.279931429227717	0.36363688972663444	23978.348870560578	9095.793337138524	9.726988499999999e-06	2.2883976551387428e-06	6.462868499999999e-06	2.285031826860295e-06	0.1	0.02828427124746189	5.7449999999993834e-08	8.043339635995209e-08	-0.6	0.0	-5.5929424999999955e-05	1.130370293803094e-05	0.6	0.0	7.908674999999952e-06	1.4839696463371188e-06
0.1	0.02828427124746189	4.4009000000000005e-06	1.7045275650977312e-06	9.7046235e-06	2.2930716309623865e-06	2.2748696354927076	0.360041439191702	23972.78327635662	9111.47340025267	9.7046235e-06	2.2930716309623865e-06	6.460638499999999e-06	2.2938239925775686e-06	0.1	0.02828427124746189	1.123750000000076e-07	1.4881062210072146e-07	-0.6	0.0	-5.484074999999993e-05	1.0742012666395393e-05	0.6	0.0	7.952499999999982e-06	1.581585737479929e-06
0.11	0.014142135623730944	4.40179e-06	1.7088465733172186e-06	9.7300285e-06	2.2962182561386664e-06	2.2811083294916115	0.3639078411460871	23964.975862243336	9120.984096354676	9.7300285e-06	2.2962182561386664e-06	6.454752e-06	2.295586809783067e-06	0.1	0.02828427124746189	1.5507499999998597e-07	1.9127238431096365e-07	-0.6	0.0	-5.513217499999991e-05	1.1679530192231658e-05	0.6	0.0	8.008525000000008e-06	1.626805216136851e-06
