Vgs,110,140,150,151,152
-0.6,2.0152e-05,1.82061e-05,1.78502e-05,2.14255e-05,1.687187e-05
-0.58,1.953997e-05,1.764353e-05,1.641043e-05,2.004063e-05,1.53117e-05
-0.56,1.897647e-05,1.715307e-05,1.602153e-05,1.959787e-05,1.49413e-05
-0.54,1.844107e-05,1.66972e-05,1.563913e-05,1.915253e-05,1.459737e-05
-0.52,1.792833e-05,1.62615e-05,1.525913e-05,1.869963e-05,1.426393e-05
-0.5,1.743147e-05,1.583997e-05,1.488433e-05,1.824573e-05,1.393583e-05
-0.48,1.69477e-05,1.54285e-05,1.451503e-05,1.77949e-05,1.361877e-05
-0.46,1.64751e-05,1.502893e-05,1.41523e-05,1.73483e-05,1.33097e-05
-0.44,1.601373e-05,1.463683e-05,1.379643e-05,1.690727e-05,1.300847e-05
-0.42,1.55635e-05,1.42534e-05,1.34511e-05,1.647827e-05,1.271803e-05
-0.4,1.51254e-05,1.388097e-05,1.31149e-05,1.605857e-05,1.245163e-05
-0.38,1.46969e-05,1.35162e-05,1.278773e-05,1.564827e-05,1.217667e-05
-0.36,1.427997e-05,1.316377e-05,1.247023e-05,1.52519e-05,1.191393e-05
-0.34,1.38742e-05,1.28181e-05,1.21642e-05,1.48643e-05,1.16599e-05
-0.32,1.34797e-05,1.248137e-05,1.18681e-05,1.448807e-05,1.141447e-05
-0.3,1.309933e-05,1.21583e-05,1.15833e-05,1.412417e-05,1.11804e-05
-0.28,1.273227e-05,1.18481e-05,1.13099e-05,1.377287e-05,1.09551e-05
-0.26,1.237917e-05,1.15476e-05,1.104757e-05,1.34326e-05,1.073977e-05
-0.24,1.204247e-05,1.12612e-05,1.079697e-05,1.31034e-05,1.053387e-05
-0.22,1.172177e-05,1.098627e-05,1.055713e-05,1.27853e-05,1.033613e-05
-0.2,1.141707e-05,1.0726e-05,1.033053e-05,1.247983e-05,1.015023e-05
-0.18,1.113017e-05,1.04789e-05,1.01161e-05,1.218523e-05,9.97209e-06
-0.16,1.086403e-05,1.024547e-05,9.913827e-06,1.19026e-05,9.80483e-06
-0.14,1.061867e-05,1.002797e-05,9.72344e-06,1.163103e-05,9.647087e-06
-0.12,1.0393e-05,9.82433e-06,9.54611e-06,1.137237e-05,9.499273e-06
-0.1,1.01884e-05,9.637117e-06,9.38364e-06,1.112523e-05,9.361197e-06
-0.08,1.00045e-05,9.4648e-06,9.235593e-06,1.08902e-05,9.23328e-06
-0.06,9.84342e-06,9.308573e-06,9.101013e-06,1.0669e-05,9.115797e-06
-0.04,9.70303e-06,9.169697e-06,8.981753e-06,1.04584e-05,9.00826e-06
-0.02,9.582167e-06,9.041623e-06,8.87581e-06,1.026257e-05,8.909583e-06
0.0,9.486473e-06,8.928183e-06,8.783497e-06,1.007443e-05,8.81847e-06
0.02,9.411337e-06,8.839523e-06,8.70447e-06,9.8989e-06,8.74397e-06
0.04,9.35748e-06,8.76791e-06,8.64545e-06,9.741793e-06,8.680607e-06
0.06,9.320907e-06,8.71054e-06,8.602077e-06,9.599753e-06,8.62761e-06
0.08,9.300387e-06,8.66915e-06,8.571687e-06,9.47138e-06,8.585553e-06
0.1,9.298323e-06,8.6396e-06,8.554457e-06,9.35621e-06,8.551567e-06
0.12,9.310827e-06,8.625377e-06,8.550193e-06,9.254747e-06,8.527667e-06
0.14,9.33711e-06,8.62243e-06,8.5563e-06,9.167323e-06,8.513323e-06
0.16,9.37644e-06,8.63045e-06,8.574523e-06,9.09337e-06,8.507073e-06
0.18,9.42681e-06,8.650507e-06,8.602703e-06,9.03312e-06,8.509087e-06
0.2,9.489143e-06,8.680403e-06,8.63966e-06,8.98667e-06,8.519653e-06
0.22,9.561357e-06,8.719817e-06,8.68627e-06,8.952487e-06,8.53793e-06
0.24,9.642017e-06,8.767527e-06,8.74128e-06,8.931443e-06,8.56394e-06
0.26,9.731357e-06,8.82478e-06,8.804283e-06,8.921117e-06,8.59574e-06
0.28,9.828093e-06,8.890083e-06,8.873023e-06,8.924347e-06,8.636263e-06
0.3,9.931947e-06,8.962327e-06,8.95064e-06,8.93742e-06,8.682663e-06
0.32,1.004397e-05,9.037913e-06,9.034053e-06,8.960533e-06,8.734247e-06
0.34,1.016107e-05,9.12018e-06,9.123807e-06,8.995017e-06,8.792873e-06
0.36,1.02847e-05,9.21765e-06,9.220417e-06,9.036967e-06,8.858087e-06
0.38,1.041577e-05,9.320523e-06,9.32364e-06,9.09047e-06,8.928807e-06
0.4,1.05516e-05,9.431637e-06,9.433867e-06,9.149827e-06,9.006937e-06
0.42,1.06945e-05,9.54856e-06,9.55069e-06,9.21761e-06,9.09077e-06
0.44,1.084297e-05,9.672217e-06,9.673713e-06,9.29436e-06,9.18089e-06
0.46,1.09957e-05,9.803573e-06,9.80224e-06,9.37976e-06,9.276753e-06
0.48,1.115477e-05,9.943293e-06,9.939117e-06,9.472387e-06,9.378287e-06
0.5,1.13207e-05,1.008977e-05,1.008187e-05,9.574223e-06,9.486113e-06
0.52,1.149083e-05,1.024383e-05,1.023337e-05,9.683103e-06,9.599543e-06
0.54,1.166457e-05,1.040513e-05,1.039227e-05,9.79637e-06,9.7172e-06
0.56,1.184197e-05,1.057193e-05,1.0556e-05,9.91931e-06,9.840237e-06
0.58,1.20216e-05,1.074323e-05,1.072477e-05,1.004683e-05,9.967743e-06
0.6,1.22038e-05,1.091933e-05,1.090017e-05,1.01808e-05,1.009987e-05
