Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.52,7.03335e-06,7.09295e-06,6.90222e-06,6.93798e-06,6.87838e-06,6.93798e-06,6.9499e-06
0.53,7.02143e-06,7.05719e-06,6.99759e-06,7.00951e-06,6.93798e-06,6.8903e-06,6.9499e-06
0.54,6.98566e-06,7.05719e-06,7.02143e-06,6.93798e-06,6.84261e-06,7.05719e-06,6.97374e-06
0.55,6.96182e-06,7.03335e-06,6.9499e-06,7.05719e-06,6.9499e-06,7.02143e-06,6.90222e-06
0.56,7.03335e-06,7.05719e-06,6.91414e-06,6.99759e-06,6.87838e-06,7.02143e-06,6.86646e-06
0.57,7.10487e-06,7.03335e-06,6.96182e-06,7.02143e-06,6.8903e-06,7.04527e-06,6.87838e-06
0.58,7.03335e-06,7.03335e-06,7.04527e-06,6.93798e-06,6.90222e-06,6.99759e-06,6.93798e-06
0.59,7.1764e-06,7.15256e-06,6.96182e-06,6.91414e-06,6.96182e-06,6.8903e-06,6.91414e-06
0.6,7.15256e-06,7.04527e-06,6.86646e-06,6.9499e-06,6.93798e-06,6.96182e-06,6.96182e-06
0.61,7.15256e-06,7.06911e-06,7.02143e-06,6.98566e-06,6.93798e-06,6.9499e-06,6.87838e-06
0.62,7.16448e-06,6.97374e-06,7.03335e-06,6.92606e-06,6.9499e-06,6.86646e-06,6.87838e-06
0.63,7.10487e-06,7.10487e-06,6.91414e-06,6.99759e-06,6.99759e-06,6.93798e-06,6.93798e-06
0.64,6.99759e-06,7.03335e-06,6.97374e-06,6.96182e-06,7.02143e-06,6.90222e-06,6.96182e-06
0.65,6.99759e-06,7.06911e-06,6.99759e-06,7.00951e-06,7.00951e-06,6.96182e-06,6.97374e-06
0.66,7.08103e-06,7.10487e-06,6.92606e-06,6.98566e-06,7.06911e-06,7.02143e-06,6.90222e-06
0.67,6.99759e-06,7.08103e-06,6.9499e-06,7.05719e-06,7.03335e-06,6.96182e-06,6.90222e-06
0.68,7.05719e-06,7.05719e-06,6.87838e-06,7.14064e-06,6.9499e-06,7.03335e-06,6.92606e-06
0.69,7.06911e-06,7.08103e-06,6.93798e-06,7.11679e-06,6.96182e-06,6.96182e-06,6.98566e-06
0.7,6.99759e-06,7.08103e-06,6.93798e-06,7.08103e-06,7.03335e-06,7.05719e-06,6.8903e-06
0.71,6.98566e-06,7.12872e-06,6.9499e-06,7.02143e-06,6.98566e-06,6.99759e-06,6.93798e-06
0.72,6.93798e-06,7.05719e-06,6.92606e-06,6.92606e-06,6.90222e-06,6.90222e-06,6.91414e-06
0.73,7.02143e-06,7.08103e-06,6.96182e-06,7.00951e-06,6.93798e-06,6.98566e-06,6.8903e-06
0.74,7.05719e-06,7.08103e-06,6.99759e-06,7.08103e-06,6.93798e-06,7.02143e-06,7.03335e-06
0.75,7.08103e-06,7.10487e-06,6.9499e-06,6.99759e-06,6.96182e-06,6.99759e-06,6.97374e-06
0.76,7.18832e-06,7.15256e-06,6.92606e-06,6.99759e-06,6.9499e-06,6.97374e-06,6.86646e-06
0.77,7.11679e-06,7.06911e-06,6.90222e-06,6.98566e-06,6.93798e-06,6.93798e-06,6.90222e-06
0.78,7.08103e-06,7.05719e-06,6.97374e-06,6.99759e-06,6.91414e-06,7.03335e-06,6.92606e-06
0.79,7.09295e-06,7.10487e-06,6.90222e-06,6.98566e-06,6.93798e-06,7.05719e-06,6.98566e-06
0.8,7.05719e-06,7.04527e-06,6.92606e-06,7.04527e-06,6.93798e-06,7.08103e-06,6.87838e-06
0.81,7.04527e-06,7.09295e-06,6.96182e-06,7.02143e-06,6.9499e-06,7.02143e-06,6.87838e-06
0.82,7.02143e-06,7.12872e-06,6.98566e-06,7.05719e-06,6.98566e-06,6.96182e-06,6.86646e-06
0.83,7.08103e-06,7.15256e-06,6.91414e-06,6.96182e-06,6.99759e-06,7.02143e-06,6.9499e-06
0.84,6.97374e-06,7.10487e-06,6.9499e-06,6.96182e-06,6.99759e-06,6.9499e-06,6.99759e-06
0.85,7.06911e-06,7.02143e-06,6.97374e-06,6.90222e-06,7.00951e-06,6.84261e-06,6.99759e-06
0.86,7.12872e-06,7.02143e-06,6.99759e-06,6.96182e-06,6.96182e-06,6.92606e-06,6.84261e-06
0.87,7.08103e-06,7.05719e-06,7.00951e-06,6.9499e-06,7.00951e-06,6.99759e-06,6.87838e-06
0.88,7.08103e-06,7.08103e-06,6.99759e-06,6.90222e-06,7.00951e-06,6.93798e-06,6.96182e-06
0.89,7.14064e-06,7.11679e-06,6.99759e-06,6.99759e-06,7.02143e-06,6.99759e-06,6.93798e-06
0.9,7.10487e-06,7.06911e-06,6.97374e-06,6.93798e-06,6.91414e-06,6.97374e-06,6.96182e-06
0.91,7.21216e-06,7.10487e-06,6.9499e-06,7.00951e-06,6.86646e-06,6.99759e-06,7.05719e-06
0.92,7.18832e-06,7.06911e-06,6.9499e-06,6.96182e-06,6.90222e-06,6.99759e-06,6.96182e-06
0.93,7.1764e-06,7.08103e-06,6.9499e-06,7.05719e-06,6.8903e-06,7.00951e-06,6.93798e-06
0.94,7.11679e-06,7.06911e-06,7.00951e-06,7.03335e-06,6.92606e-06,6.97374e-06,6.96182e-06
0.95,7.1764e-06,7.09295e-06,6.96182e-06,6.99759e-06,6.93798e-06,6.9499e-06,6.98566e-06
0.96,7.08103e-06,7.05719e-06,7.03335e-06,6.98566e-06,6.91414e-06,6.8903e-06,6.97374e-06
0.97,7.11679e-06,7.11679e-06,6.97374e-06,7.03335e-06,6.99759e-06,6.85453e-06,6.90222e-06
0.98,7.08103e-06,7.08103e-06,6.99759e-06,6.93798e-06,6.98566e-06,6.93798e-06,6.96182e-06
0.99,7.10487e-06,7.15256e-06,6.99759e-06,6.96182e-06,6.96182e-06,6.96182e-06,6.96182e-06
1.0,7.08103e-06,7.10487e-06,7.02143e-06,6.99759e-06,6.93798e-06,6.9499e-06,7.00951e-06
1.01,7.16448e-06,7.08103e-06,6.97374e-06,6.91414e-06,6.93798e-06,6.99759e-06,6.96182e-06
1.02,7.03335e-06,7.02143e-06,7.05719e-06,6.99759e-06,6.91414e-06,6.99759e-06,6.96182e-06
1.03,7.08103e-06,7.05719e-06,6.9499e-06,6.96182e-06,7.00951e-06,7.02143e-06,7.03335e-06
1.04,7.16448e-06,7.05719e-06,6.96182e-06,6.97374e-06,6.9499e-06,6.99759e-06,6.91414e-06
1.05,7.18832e-06,7.09295e-06,6.98566e-06,6.99759e-06,6.96182e-06,7.09295e-06,6.99759e-06
1.06,7.22408e-06,7.10487e-06,7.02143e-06,7.08103e-06,6.93798e-06,6.93798e-06,6.98566e-06
1.07,7.1764e-06,7.12872e-06,7.00951e-06,7.08103e-06,6.93798e-06,6.8903e-06,6.9499e-06
1.08,7.16448e-06,7.15256e-06,7.02143e-06,7.09295e-06,7.02143e-06,6.93798e-06,6.98566e-06
1.09,7.1764e-06,7.09295e-06,6.92606e-06,6.93798e-06,7.02143e-06,6.98566e-06,6.90222e-06
1.1,7.15256e-06,7.09295e-06,7.06911e-06,6.97374e-06,6.99759e-06,6.8903e-06,6.92606e-06
1.11,7.11679e-06,7.15256e-06,6.96182e-06,6.96182e-06,6.96182e-06,6.90222e-06,7.06911e-06
1.12,7.04527e-06,7.11679e-06,7.04527e-06,6.97374e-06,6.98566e-06,6.93798e-06,6.98566e-06
1.13,7.10487e-06,7.16448e-06,6.93798e-06,6.9499e-06,6.93798e-06,7.00951e-06,6.96182e-06
1.14,7.10487e-06,7.11679e-06,7.04527e-06,6.92606e-06,6.8903e-06,6.96182e-06,6.93798e-06
1.15,7.05719e-06,7.11679e-06,7.10487e-06,7.02143e-06,6.96182e-06,7.00951e-06,7.03335e-06
1.16,7.04527e-06,7.08103e-06,7.04527e-06,6.99759e-06,6.87838e-06,7.03335e-06,7.02143e-06
1.17,6.99759e-06,7.05719e-06,7.02143e-06,7.05719e-06,6.97374e-06,7.03335e-06,6.93798e-06
1.18,7.08103e-06,7.08103e-06,7.14064e-06,7.05719e-06,6.87838e-06,6.99759e-06,6.96182e-06
1.19,7.15256e-06,7.18832e-06,7.08103e-06,7.11679e-06,6.87838e-06,6.98566e-06,6.90222e-06
1.2,7.15256e-06,7.15256e-06,7.08103e-06,7.15256e-06,6.97374e-06,6.91414e-06,6.93798e-06
1.21,7.236e-06,7.11679e-06,7.03335e-06,7.05719e-06,6.91414e-06,6.96182e-06,7.04527e-06
1.22,7.1764e-06,7.06911e-06,7.11679e-06,7.11679e-06,6.92606e-06,6.96182e-06,6.97374e-06
1.23,7.20024e-06,7.15256e-06,7.03335e-06,7.02143e-06,6.9499e-06,6.90222e-06,6.93798e-06
1.24,7.08103e-06,7.06911e-06,7.06911e-06,6.96182e-06,6.93798e-06,7.02143e-06,6.93798e-06
1.25,7.08103e-06,7.15256e-06,7.06911e-06,6.99759e-06,6.93798e-06,6.97374e-06,7.02143e-06
1.26,7.10487e-06,7.08103e-06,7.11679e-06,6.99759e-06,6.98566e-06,7.03335e-06,7.03335e-06
1.27,7.16448e-06,7.11679e-06,7.06911e-06,7.00951e-06,6.93798e-06,6.99759e-06,6.8903e-06
1.28,7.11679e-06,7.09295e-06,7.05719e-06,7.00951e-06,7.05719e-06,7.03335e-06,6.8903e-06
1.29,7.09295e-06,7.08103e-06,7.08103e-06,6.9499e-06,7.09295e-06,7.06911e-06,6.90222e-06
1.3,7.15256e-06,7.10487e-06,7.09295e-06,7.04527e-06,6.98566e-06,6.99759e-06,6.90222e-06
1.31,7.06911e-06,7.1764e-06,7.06911e-06,7.06911e-06,6.98566e-06,7.02143e-06,6.93798e-06
1.32,7.00951e-06,7.10487e-06,7.08103e-06,7.08103e-06,6.99759e-06,6.98566e-06,6.96182e-06
1.33,7.05719e-06,7.14064e-06,7.08103e-06,7.15256e-06,6.99759e-06,6.92606e-06,6.8903e-06
1.34,7.11679e-06,7.08103e-06,7.05719e-06,7.08103e-06,6.96182e-06,6.96182e-06,6.96182e-06
1.35,7.08103e-06,7.15256e-06,7.10487e-06,6.99759e-06,7.02143e-06,6.90222e-06,6.93798e-06
1.36,7.12872e-06,7.08103e-06,7.08103e-06,7.02143e-06,7.02143e-06,6.93798e-06,6.96182e-06
1.37,7.18832e-06,7.08103e-06,7.06911e-06,7.08103e-06,6.99759e-06,6.93798e-06,6.97374e-06
1.38,7.21216e-06,7.02143e-06,7.10487e-06,6.9499e-06,6.92606e-06,6.92606e-06,7.02143e-06
1.39,7.16448e-06,7.12872e-06,7.05719e-06,6.98566e-06,7.04527e-06,7.05719e-06,6.92606e-06
1.4,7.15256e-06,7.09295e-06,7.11679e-06,6.96182e-06,6.99759e-06,6.98566e-06,6.99759e-06
1.41,7.09295e-06,7.05719e-06,7.12872e-06,7.03335e-06,6.84261e-06,7.02143e-06,6.97374e-06
1.42,7.15256e-06,7.04527e-06,7.05719e-06,6.96182e-06,6.96182e-06,6.96182e-06,6.96182e-06
1.43,7.12872e-06,7.10487e-06,7.11679e-06,6.93798e-06,6.8903e-06,6.98566e-06,6.97374e-06
1.44,7.15256e-06,7.02143e-06,7.14064e-06,7.02143e-06,6.91414e-06,6.92606e-06,6.87838e-06
1.45,7.11679e-06,7.00951e-06,7.21216e-06,7.09295e-06,6.90222e-06,6.93798e-06,6.91414e-06
