Timestamp (s),Current SMUA (A),Voltage SMUA (V),Current SMUb (A),Voltage SMUb (V)
0.0,-1.84774e-06,2.95639e-05,2.63453e-06,0.100048
0.002,-2.14577e-06,1.78814e-05,2.80142e-06,0.100046
0.004,-2.2769e-06,2.38419e-06,2.58684e-06,0.100044
0.006,-1.46627e-06,4.98295e-05,2.41995e-06,0.100045
0.008,-1.84774e-06,3.71933e-05,2.88486e-06,0.100048
0.01,-1.15633e-06,1.69277e-05,2.71797e-06,0.100046
0.012,-1.07288e-06,2.76566e-05,2.55108e-06,0.100046
0.014,-1.15633e-06,3.14713e-05,2.80142e-06,0.100042
0.016,-1.46627e-06,1.88351e-05,2.8491e-06,0.100047
0.018,-1.63317e-06,2.36034e-05,2.71797e-06,0.100042
0.02,-1.68085e-06,2.45571e-05,2.41995e-06,0.100046
0.022,-1.46627e-06,2.86102e-05,2.76566e-06,0.100044
0.024,-1.89543e-06,3.33786e-05,2.80142e-06,0.100042
0.026,-2.11e-06,2.45571e-05,2.3365e-06,0.100048
0.028,-1.28746e-06,3.14713e-05,2.24113e-06,0.10005
0.03,-1.15633e-06,2.86102e-05,2.37226e-06,0.100042
0.032,-4.76837e-07,2.16961e-05,2.58684e-06,0.100046
0.034,-1.03712e-06,2.86102e-05,2.55108e-06,0.100043
0.036,-1.2517e-06,6.19888e-06,2.80142e-06,0.100047
0.038,-1.12057e-06,3.24249e-05,3.09944e-06,0.10004
0.04,-1.41859e-06,4.1008e-05,2.67029e-06,0.100047
0.042,-1.7643e-06,2.36034e-05,2.93255e-06,0.100043
0.044,-1.15633e-06,3.33786e-05,3.14713e-06,0.100045
0.046,-1.63317e-06,3.14713e-05,2.71797e-06,0.100041
0.048,-1.46627e-06,4.69685e-05,2.45571e-06,0.100044
0.05,-1.28746e-06,3.62396e-05,2.55108e-06,0.100046
0.052,-1.50204e-06,1.78814e-05,2.71797e-06,0.100047
0.054,-1.71661e-06,2.07424e-05,2.58684e-06,0.100043
0.056,-1.07288e-06,2.45571e-05,2.63453e-06,0.100046
0.058,-1.41859e-06,3.05176e-05,2.71797e-06,0.10005
0.06,-1.68085e-06,3.24249e-05,2.76566e-06,0.10005
0.062,-1.28746e-06,3.05176e-05,2.55108e-06,0.100049
0.064,-1.37091e-06,1.40667e-05,2.88486e-06,0.100044
0.066,-1.37091e-06,1.97887e-05,2.63453e-06,0.100046
0.068,-1.2517e-06,5.55515e-05,2.58684e-06,0.100046
0.07,-1.71661e-06,3.43323e-05,2.58684e-06,0.100046
0.072,-1.58548e-06,2.16961e-05,2.63453e-06,0.100047
0.074,-1.68085e-06,2.07424e-05,2.37226e-06,0.100043
0.076,-1.71661e-06,3.33786e-05,2.45571e-06,0.100042
0.078,-1.58548e-06,3.33786e-05,2.55108e-06,0.100045
0.08,-1.15633e-06,3.33786e-05,2.76566e-06,0.100041
0.082,-1.54972e-06,2.76566e-05,3.016e-06,0.100044
0.084,-1.58548e-06,2.67029e-05,2.41995e-06,0.100049
0.086,-1.50204e-06,3.14713e-05,2.45571e-06,0.100044
0.088,-1.63317e-06,3.14713e-05,2.63453e-06,0.100042
0.09,-1.46627e-06,3.14713e-05,2.45571e-06,0.100044
0.092,-1.58548e-06,1.97887e-05,2.5034e-06,0.100048
0.094,-1.68085e-06,2.26498e-05,2.76566e-06,0.100043
0.096,-1.80006e-06,3.52859e-05,2.58684e-06,0.100046
0.098,-1.03712e-06,2.16961e-05,2.45571e-06,0.100047
0.1,-1.12057e-06,1.88351e-05,2.63453e-06,0.100046
0.102,-1.37091e-06,3.14713e-05,2.76566e-06,0.100042
0.104,-1.28746e-06,1.5974e-05,2.67029e-06,0.100041
0.106,-1.54972e-06,2.45571e-05,2.5034e-06,0.100047
0.108,-1.41859e-06,3.05176e-05,2.88486e-06,0.10005
0.11,-1.58548e-06,2.67029e-05,2.63453e-06,0.100047
0.112,-1.89543e-06,3.05176e-05,2.67029e-06,0.100047
0.114,-1.41859e-06,1.12057e-05,2.80142e-06,0.100047
0.116,-1.80006e-06,3.43323e-05,2.58684e-06,0.100046
0.118,-1.54972e-06,3.43323e-05,2.98023e-06,0.100045
0.12,-1.33514e-06,2.76566e-05,2.3365e-06,0.10005
0.122,-1.12057e-06,2.07424e-05,2.24113e-06,0.100053
0.124,-1.46627e-06,1.5974e-05,2.24113e-06,0.100051
0.126,-1.41859e-06,1.12057e-05,2.67029e-06,0.100047
0.128,-9.89437e-07,2.36034e-05,3.14713e-06,0.100047
0.13,-1.12057e-06,5.45979e-05,3.3617e-06,0.100045
0.132,-1.2517e-06,3.43323e-05,2.8491e-06,0.100045
0.134,-1.28746e-06,4.98295e-05,2.55108e-06,0.100042
0.136,-1.84774e-06,2.76566e-05,2.5034e-06,0.100047
0.138,-1.58548e-06,3.05176e-05,2.45571e-06,0.100047
0.14,-1.37091e-06,4.1008e-05,2.67029e-06,0.100045
0.142,-1.41859e-06,4.00543e-05,2.5034e-06,0.100044
0.144,-1.80006e-06,2.95639e-05,2.55108e-06,0.100047
0.146,-1.03712e-06,3.52859e-05,2.63453e-06,0.100044
0.148,-8.22544e-07,4.41074e-05,2.76566e-06,0.100046
0.15,-1.07288e-06,3.8147e-05,2.55108e-06,0.100051
0.152,-1.41859e-06,2.67029e-05,2.71797e-06,0.100047
0.154,-1.28746e-06,2.07424e-05,2.58684e-06,0.100047
0.156,-1.07288e-06,2.57492e-05,2.88486e-06,0.100047
0.158,-1.41859e-06,3.62396e-05,2.76566e-06,0.100048
0.16,-1.20401e-06,4.50611e-05,2.58684e-06,0.100047
0.162,-9.41753e-07,3.33786e-05,2.8491e-06,0.100045
0.164,-7.7486e-07,4.00543e-05,2.5034e-06,0.100045
0.166,-1.41859e-06,4.1008e-05,2.63453e-06,0.100045
0.168,-1.58548e-06,3.43323e-05,2.55108e-06,0.100047
0.17,-1.28746e-06,4.1008e-05,2.76566e-06,0.100044
0.172,-1.46627e-06,2.36034e-05,2.76566e-06,0.100039
0.174,-1.15633e-06,2.67029e-05,2.8491e-06,0.100044
0.176,-1.50204e-06,1.3113e-05,2.5034e-06,0.100044
0.178,-1.54972e-06,2.95639e-05,2.63453e-06,0.100044
0.18,-1.46627e-06,4.1008e-05,2.20537e-06,0.100048
0.182,-1.20401e-06,2.67029e-05,2.24113e-06,0.100048
0.184,-1.58548e-06,2.26498e-05,2.15769e-06,0.100047
0.186,-1.84774e-06,2.16961e-05,2.37226e-06,0.100048
0.188,-1.33514e-06,1.5974e-05,2.45571e-06,0.10005
0.19,-8.22544e-07,2.16961e-05,2.58684e-06,0.100046
0.192,-1.33514e-06,3.52859e-05,2.63453e-06,0.100045
0.194,-1.41859e-06,1.78814e-05,2.63453e-06,0.100044
0.196,-1.37091e-06,4.31538e-05,2.80142e-06,0.100042
0.198,-9.41753e-07,3.14713e-05,2.67029e-06,0.100043
0.2,-1.33514e-06,3.05176e-05,2.67029e-06,0.100043
0.202,-6.4373e-07,3.52859e-05,2.67029e-06,0.100042
0.204,-1.54972e-06,3.24249e-05,2.58684e-06,0.100041
0.206,-1.20401e-06,2.67029e-05,2.5034e-06,0.100046
0.208,-1.50204e-06,2.26498e-05,2.5034e-06,0.100044
0.21,-2.11e-06,2.76566e-05,2.58684e-06,0.100044
0.212,-1.33514e-06,3.62396e-05,2.55108e-06,0.100048
0.214,-1.15633e-06,1.40667e-05,2.67029e-06,0.100043
0.216,-6.4373e-07,2.76566e-05,2.41995e-06,0.100044
0.218,-9.41753e-07,3.14713e-05,2.63453e-06,0.100044
0.22,-1.37091e-06,4.50611e-05,2.88486e-06,0.100045
0.222,-1.2517e-06,4.00543e-05,3.016e-06,0.100046
0.224,-1.03712e-06,1.97887e-05,2.58684e-06,0.100045
0.226,-1.93119e-06,4.41074e-05,2.76566e-06,0.100045
0.228,-1.58548e-06,4.69685e-05,2.5034e-06,0.100043
0.23,-1.20401e-06,4.60148e-05,2.67029e-06,0.10004
0.232,-1.2517e-06,5.36442e-05,2.55108e-06,0.100047
0.234,-1.20401e-06,2.36034e-05,2.58684e-06,0.10004
0.236,-1.20401e-06,2.76566e-05,2.45571e-06,0.100044
0.238,-1.28746e-06,2.26498e-05,2.63453e-06,0.100044
0.24,-1.15633e-06,2.76566e-05,2.55108e-06,0.100045
0.242,-1.68085e-06,4.31538e-05,2.58684e-06,0.10005
0.244,-1.54972e-06,1.97887e-05,2.58684e-06,0.100041
0.246,-1.20401e-06,3.52859e-05,2.76566e-06,0.100047
0.248,-1.03712e-06,2.76566e-05,2.67029e-06,0.100047
0.25,-9.41753e-07,3.71933e-05,2.45571e-06,0.100046
0.252,-1.03712e-06,4.22001e-05,2.8491e-06,0.100041
0.254,-1.50204e-06,2.95639e-05,2.63453e-06,0.100043
0.256,-1.46627e-06,2.76566e-05,2.58684e-06,0.100044
0.258,-1.20401e-06,4.69685e-05,2.37226e-06,0.10004
0.26,-1.58548e-06,3.43323e-05,2.5034e-06,0.100041
0.262,-1.41859e-06,4.31538e-05,2.45571e-06,0.100046
0.264,-9.05991e-07,4.22001e-05,2.63453e-06,0.10004
0.266,-1.20401e-06,3.43323e-05,2.88486e-06,0.100046
0.268,-1.33514e-06,2.86102e-05,2.80142e-06,0.100044
0.27,-1.7643e-06,2.86102e-05,2.3365e-06,0.100044
0.272,-1.2517e-06,2.26498e-05,2.71797e-06,0.100041
0.274,-1.03712e-06,3.05176e-05,2.20537e-06,0.100041
0.276,-1.80006e-06,1.40667e-05,2.37226e-06,0.100041
0.278,-1.97887e-06,4.00543e-05,2.55108e-06,0.100047
0.28,-1.03712e-06,2.67029e-05,2.5034e-06,0.100042
0.282,-1.46627e-06,3.62396e-05,2.28882e-06,0.100036
0.284,-1.15633e-06,2.95639e-05,2.5034e-06,0.100039
0.286,-1.84774e-06,2.07424e-05,2.45571e-06,0.100044
0.288,-1.33514e-06,3.05176e-05,2.5034e-06,0.100039
0.29,-1.15633e-06,3.62396e-05,2.55108e-06,0.100043
0.292,-1.07288e-06,3.14713e-05,2.71797e-06,0.100043
0.294,-1.54972e-06,3.71933e-05,2.71797e-06,0.100039
0.296,-9.89437e-07,1.78814e-05,2.67029e-06,0.100044
0.298,-1.46627e-06,3.43323e-05,2.58684e-06,0.100043
0.3,-1.37091e-06,3.05176e-05,2.67029e-06,0.100044
0.302,-1.7643e-06,3.8147e-05,2.5034e-06,0.100042
0.304,-1.97887e-06,4.41074e-05,2.45571e-06,0.100037
0.306,-1.46627e-06,2.26498e-05,2.37226e-06,0.100036
0.308,-1.20401e-06,2.45571e-05,2.45571e-06,0.100045
0.31,-1.15633e-06,2.95639e-05,2.63453e-06,0.100041
0.312,-1.03712e-06,2.57492e-05,2.63453e-06,0.100045
0.314,-7.7486e-07,4.00543e-05,2.80142e-06,0.100045
0.316,-1.2517e-06,3.43323e-05,3.016e-06,0.100041
0.318,-1.41859e-06,2.45571e-05,2.88486e-06,0.100038
0.32,-1.68085e-06,5.65052e-05,2.8491e-06,0.10004
0.322,-1.33514e-06,3.05176e-05,2.55108e-06,0.100045
0.324,-1.20401e-06,3.62396e-05,2.41995e-06,0.100048
0.326,-1.89543e-06,2.16961e-05,2.37226e-06,0.100038
0.328,-1.68085e-06,4.41074e-05,2.5034e-06,0.100038
