Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.0,2.63572e-05,2.64406e-05,2.60949e-05,2.54035e-05,2.52843e-05
0.002,2.19822e-05,2.13742e-05,2.05994e-05,1.99199e-05,1.95265e-05
0.004,2.10285e-05,1.98722e-05,1.95742e-05,1.92761e-05,1.89304e-05
0.006,2.05636e-05,1.98364e-05,1.93119e-05,1.88947e-05,1.85847e-05
0.008,2.0647e-05,1.94907e-05,1.91927e-05,1.84178e-05,1.83344e-05
0.01,2.01345e-05,1.95742e-05,1.87635e-05,1.86324e-05,1.84178e-05
0.012,2.00033e-05,1.96576e-05,1.87993e-05,1.85013e-05,1.82867e-05
0.014,2.00033e-05,1.90616e-05,1.87993e-05,1.83344e-05,1.82033e-05
0.016,1.99556e-05,1.93119e-05,1.82033e-05,1.82033e-05,1.81198e-05
0.018,2.00868e-05,1.9145e-05,1.86324e-05,1.80721e-05,1.78576e-05
0.02,1.95265e-05,1.91092e-05,1.85013e-05,1.83702e-05,1.7941e-05
0.022,1.99556e-05,1.92285e-05,1.84178e-05,1.7941e-05,1.74761e-05
0.024,1.97411e-05,1.85013e-05,1.84178e-05,1.80364e-05,1.78218e-05
0.026,1.97053e-05,1.90139e-05,1.8549e-05,1.80721e-05,1.7643e-05
0.028,2.00868e-05,1.89781e-05,1.86801e-05,1.77741e-05,1.75595e-05
0.03,1.97053e-05,1.89781e-05,1.83702e-05,1.78576e-05,1.76907e-05
0.032,1.99199e-05,1.92761e-05,1.84178e-05,1.79887e-05,1.78218e-05
0.034,1.97053e-05,1.92285e-05,1.87159e-05,1.78218e-05,1.76907e-05
0.036,1.97053e-05,1.91092e-05,1.80721e-05,1.79887e-05,1.78218e-05
0.038,1.98364e-05,1.89781e-05,1.84655e-05,1.78576e-05,1.74761e-05
0.04,1.93596e-05,1.87993e-05,1.82033e-05,1.80721e-05,1.78218e-05
0.042,1.98364e-05,1.90616e-05,1.82867e-05,1.82509e-05,1.77264e-05
0.044,1.96218e-05,1.83344e-05,1.87159e-05,1.74284e-05,1.72138e-05
0.046,1.95742e-05,1.89304e-05,1.81556e-05,1.79887e-05,1.78576e-05
0.048,1.98722e-05,1.89304e-05,1.85847e-05,1.80364e-05,1.75595e-05
0.05,1.98364e-05,1.87159e-05,1.83344e-05,1.77741e-05,1.76072e-05
