Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.52,7.89166e-06,7.85589e-06,7.7486e-06,7.72476e-06,7.53403e-06,7.64132e-06,7.64132e-06
0.53,7.82013e-06,7.77245e-06,7.82013e-06,7.64132e-06,7.60555e-06,7.60555e-06,7.58171e-06
0.54,7.87973e-06,7.82013e-06,7.78437e-06,7.60555e-06,7.64132e-06,7.66516e-06,7.53403e-06
0.55,7.93934e-06,7.84397e-06,7.76052e-06,7.66516e-06,7.70092e-06,7.54595e-06,7.54595e-06
0.56,7.92742e-06,7.85589e-06,7.73668e-06,7.66516e-06,7.60555e-06,7.58171e-06,7.56979e-06
0.57,7.76052e-06,7.80821e-06,7.83205e-06,7.65324e-06,7.59363e-06,7.53403e-06,7.54595e-06
0.58,7.87973e-06,7.78437e-06,7.79629e-06,7.64132e-06,7.58171e-06,7.61747e-06,7.54595e-06
0.59,7.87973e-06,7.82013e-06,7.78437e-06,7.66516e-06,7.70092e-06,7.60555e-06,7.51019e-06
0.6,7.86781e-06,7.82013e-06,7.86781e-06,7.70092e-06,7.70092e-06,7.59363e-06,7.59363e-06
0.61,7.87973e-06,7.7486e-06,7.85589e-06,7.60555e-06,7.67708e-06,7.64132e-06,7.60555e-06
0.62,7.87973e-06,7.689e-06,7.82013e-06,7.76052e-06,7.67708e-06,7.49826e-06,7.49826e-06
0.63,7.9751e-06,7.78437e-06,7.79629e-06,7.689e-06,7.61747e-06,7.64132e-06,7.54595e-06
0.64,7.87973e-06,7.84397e-06,7.83205e-06,7.67708e-06,7.64132e-06,7.62939e-06,7.53403e-06
0.65,7.82013e-06,7.78437e-06,7.76052e-06,7.61747e-06,7.64132e-06,7.61747e-06,7.66516e-06
0.66,7.84397e-06,7.70092e-06,7.79629e-06,7.70092e-06,7.70092e-06,7.55787e-06,7.54595e-06
0.67,7.87973e-06,7.78437e-06,7.84397e-06,7.66516e-06,7.66516e-06,7.56979e-06,7.54595e-06
0.68,7.95126e-06,7.86781e-06,7.82013e-06,7.71284e-06,7.62939e-06,7.51019e-06,7.65324e-06
0.69,7.92742e-06,7.78437e-06,7.78437e-06,7.70092e-06,7.66516e-06,7.55787e-06,7.60555e-06
0.7,7.90358e-06,7.72476e-06,7.85589e-06,7.70092e-06,7.72476e-06,7.56979e-06,7.53403e-06
0.71,7.90358e-06,7.83205e-06,7.78437e-06,7.67708e-06,7.66516e-06,7.56979e-06,7.54595e-06
0.72,7.93934e-06,7.78437e-06,7.82013e-06,7.79629e-06,7.70092e-06,7.54595e-06,7.60555e-06
0.73,7.85589e-06,7.71284e-06,7.84397e-06,7.67708e-06,7.61747e-06,7.48634e-06,7.59363e-06
0.74,7.9155e-06,7.78437e-06,7.89166e-06,7.67708e-06,7.71284e-06,7.52211e-06,7.66516e-06
0.75,7.93934e-06,7.82013e-06,7.83205e-06,7.7486e-06,7.61747e-06,7.60555e-06,7.56979e-06
0.76,7.86781e-06,7.77245e-06,7.82013e-06,7.73668e-06,7.64132e-06,7.60555e-06,7.51019e-06
0.77,7.82013e-06,7.82013e-06,7.87973e-06,7.689e-06,7.72476e-06,7.61747e-06,7.67708e-06
0.78,7.86781e-06,7.87973e-06,7.82013e-06,7.82013e-06,7.60555e-06,7.60555e-06,7.53403e-06
0.79,7.92742e-06,7.83205e-06,7.78437e-06,7.72476e-06,7.67708e-06,7.56979e-06,7.56979e-06
0.8,7.99894e-06,7.79629e-06,7.80821e-06,7.70092e-06,7.56979e-06,7.56979e-06,7.55787e-06
0.81,7.89166e-06,7.79629e-06,7.78437e-06,7.7486e-06,7.76052e-06,7.64132e-06,7.60555e-06
0.82,7.82013e-06,7.87973e-06,7.77245e-06,7.82013e-06,7.67708e-06,7.58171e-06,7.56979e-06
0.83,7.96318e-06,7.82013e-06,7.79629e-06,7.72476e-06,7.64132e-06,7.59363e-06,7.47442e-06
0.84,7.9155e-06,7.87973e-06,7.78437e-06,7.59363e-06,7.689e-06,7.61747e-06,7.64132e-06
0.85,7.84397e-06,7.86781e-06,7.76052e-06,7.76052e-06,7.61747e-06,7.64132e-06,7.58171e-06
0.86,7.9155e-06,7.86781e-06,7.80821e-06,7.71284e-06,7.67708e-06,7.66516e-06,7.54595e-06
0.87,7.93934e-06,7.78437e-06,7.80821e-06,7.60555e-06,7.7486e-06,7.54595e-06,7.56979e-06
0.88,7.9155e-06,7.79629e-06,7.80821e-06,7.689e-06,7.77245e-06,7.64132e-06,7.53403e-06
