Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.104,7.22408e-06,7.14064e-06,6.92606e-06,6.79493e-06,6.40154e-06,6.53267e-06,6.28233e-06
0.106,7.09295e-06,7.04527e-06,7.35521e-06,7.1764e-06,6.28233e-06,6.58035e-06,6.49691e-06
0.108,6.92606e-06,6.96182e-06,7.09295e-06,6.87838e-06,6.31809e-06,6.28233e-06,6.49691e-06
0.11,7.00951e-06,6.87838e-06,6.87838e-06,6.61612e-06,6.53267e-06,6.53267e-06,6.44922e-06
0.112,7.1764e-06,7.1764e-06,6.83069e-06,6.74725e-06,6.74725e-06,7.04527e-06,6.23465e-06
0.114,7.14064e-06,6.87838e-06,6.83069e-06,6.6638e-06,6.71148e-06,6.61612e-06,6.44922e-06
0.116,7.09295e-06,6.92606e-06,6.96182e-06,6.79493e-06,6.53267e-06,6.40154e-06,6.6638e-06
0.118,7.04527e-06,6.53267e-06,6.6638e-06,6.71148e-06,6.74725e-06,6.71148e-06,6.53267e-06
0.12,7.09295e-06,7.09295e-06,6.71148e-06,6.83069e-06,6.71148e-06,6.74725e-06,6.31809e-06
0.122,7.22408e-06,7.09295e-06,6.87838e-06,6.87838e-06,6.61612e-06,6.44922e-06,6.53267e-06
0.124,7.52211e-06,7.04527e-06,7.14064e-06,6.71148e-06,6.61612e-06,6.71148e-06,6.36578e-06
0.126,7.39098e-06,7.14064e-06,6.6638e-06,6.44922e-06,6.61612e-06,6.40154e-06,6.49691e-06
0.128,7.09295e-06,6.96182e-06,6.74725e-06,6.36578e-06,6.61612e-06,6.61612e-06,6.6638e-06
0.13,7.14064e-06,6.83069e-06,6.96182e-06,6.58035e-06,6.71148e-06,6.71148e-06,6.36578e-06
0.132,7.25985e-06,7.14064e-06,6.79493e-06,6.6638e-06,6.49691e-06,6.58035e-06,6.19888e-06
0.134,7.25985e-06,7.30753e-06,6.71148e-06,6.87838e-06,6.6638e-06,6.74725e-06,6.49691e-06
0.136,7.04527e-06,7.09295e-06,6.61612e-06,6.96182e-06,6.58035e-06,6.31809e-06,6.6638e-06
0.138,7.04527e-06,7.25985e-06,6.71148e-06,6.79493e-06,6.28233e-06,6.1512e-06,6.28233e-06
0.14,7.00951e-06,7.04527e-06,6.71148e-06,6.71148e-06,6.40154e-06,6.61612e-06,6.06775e-06
0.142,7.30753e-06,7.1764e-06,6.96182e-06,6.58035e-06,6.53267e-06,6.53267e-06,6.58035e-06
0.144,6.87838e-06,6.92606e-06,7.25985e-06,6.61612e-06,6.74725e-06,6.40154e-06,6.44922e-06
0.146,6.74725e-06,7.00951e-06,7.14064e-06,7.1764e-06,6.71148e-06,6.6638e-06,6.40154e-06
0.148,7.09295e-06,6.96182e-06,6.87838e-06,7.00951e-06,6.6638e-06,6.44922e-06,6.44922e-06
0.15,7.14064e-06,7.00951e-06,6.83069e-06,6.74725e-06,6.49691e-06,6.36578e-06,6.53267e-06
0.152,7.00951e-06,6.6638e-06,6.79493e-06,6.74725e-06,6.58035e-06,6.49691e-06,6.44922e-06
0.154,7.04527e-06,6.58035e-06,6.71148e-06,6.79493e-06,6.44922e-06,6.28233e-06,6.40154e-06
