Timestamp (s),Current SMUA (A),Voltage SMUA (V),Current SMUb (A),Voltage SMUb (V)
0.0,-5.24521e-07,1.21593e-05,6.10352e-06,0.100037
0.002,-3.09944e-07,2.26498e-05,5.72205e-06,0.100038
0.004,-3.45707e-07,2.07424e-05,5.76973e-06,0.100033
0.006,-3.09944e-07,3.43323e-05,5.76973e-06,0.100037
0.008,-1.07288e-06,1.97887e-05,5.88894e-06,0.100033
0.01,-2.6226e-07,2.07424e-05,5.6386e-06,0.10003
0.012,-6.07967e-07,1.3113e-05,5.67436e-06,0.100036
0.014,-2.6226e-07,1.5974e-05,5.72205e-06,0.100039
0.016,-7.7486e-07,1.5974e-05,5.67436e-06,0.100035
0.018,0.0,2.67029e-05,5.55515e-06,0.100036
0.02,-1.78814e-07,2.86102e-05,5.72205e-06,0.100029
0.022,-3.09944e-07,3.33786e-05,5.55515e-06,0.100032
0.024,-4.29153e-07,2.16961e-05,5.6386e-06,0.100036
0.026,-3.93391e-07,9.29832e-06,5.6386e-06,0.100033
0.028,-4.29153e-07,3.14713e-05,5.6386e-06,0.100036
0.03,-3.93391e-07,2.07424e-05,5.42402e-06,0.100031
0.032,-4.76837e-07,1.97887e-05,5.55515e-06,0.100031
0.034,-7.27177e-07,2.07424e-05,5.85318e-06,0.100034
0.036,-2.6226e-07,2.36034e-05,5.20945e-06,0.100036
0.038,-3.45707e-07,3.14713e-05,5.72205e-06,0.100032
0.04,-1.78814e-07,9.29832e-06,5.37634e-06,0.10004
0.042,-3.09944e-07,2.45571e-05,5.50747e-06,0.100033
0.044,-6.4373e-07,1.97887e-05,5.67436e-06,0.100038
0.046,-1.3113e-07,4.60148e-05,5.67436e-06,0.100029
0.048,-6.4373e-07,2.45571e-05,5.80549e-06,0.100032
0.05,-3.93391e-07,1.12057e-05,5.59092e-06,0.100032
0.052,0.0,4.22001e-05,5.67436e-06,0.10003
0.054,-4.76837e-07,4.22001e-05,5.72205e-06,0.100032
0.056,0.0,3.8147e-05,5.72205e-06,0.100033
0.058,-3.45707e-07,4.88758e-05,5.85318e-06,0.100029
0.06,-4.29153e-07,2.26498e-05,5.72205e-06,0.100035
0.062,-4.76837e-07,2.57492e-05,5.50747e-06,0.100034
0.064,-3.45707e-07,2.26498e-05,5.72205e-06,0.100034
0.066,-3.45707e-07,3.14713e-05,5.45979e-06,0.10004
0.068,-2.6226e-07,5.45979e-05,5.45979e-06,0.100034
0.07,-9.53674e-08,2.76566e-05,5.6386e-06,0.100032
0.072,-1.78814e-07,3.43323e-05,5.6386e-06,0.10003
0.074,-2.14577e-07,3.8147e-05,5.72205e-06,0.100041
0.076,-4.76837e-07,3.52859e-05,5.55515e-06,0.100035
0.078,-6.07967e-07,3.05176e-05,5.55515e-06,0.100032
0.08,-2.6226e-07,3.24249e-05,5.72205e-06,0.100027
0.082,-4.29153e-07,1.97887e-05,5.37634e-06,0.100039
0.084,-3.93391e-07,3.71933e-05,5.67436e-06,0.100028
0.086,-3.09944e-07,4.79221e-05,5.42402e-06,0.100036
0.088,-2.14577e-07,1.97887e-05,5.29289e-06,0.100032
0.09,-4.76837e-07,3.43323e-05,5.76973e-06,0.100032
0.092,-2.14577e-07,3.33786e-05,5.59092e-06,0.100035
0.094,-6.07967e-07,2.16961e-05,5.76973e-06,0.100037
0.096,-1.3113e-07,2.36034e-05,5.76973e-06,0.10003
0.098,-3.09944e-07,2.57492e-05,5.6386e-06,0.100034
0.1,-4.76837e-07,2.16961e-05,6.10352e-06,0.100031
0.102,-1.78814e-07,2.45571e-05,5.55515e-06,0.100034
0.104,-3.09944e-07,2.95639e-05,5.55515e-06,0.100036
0.106,-2.14577e-07,3.05176e-05,5.59092e-06,0.100032
0.108,-3.09944e-07,3.24249e-05,5.6386e-06,0.100033
0.11,-9.05991e-07,1.78814e-05,5.76973e-06,0.100028
0.112,-5.24521e-07,1.12057e-05,5.76973e-06,0.100036
