Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.46,2.14577e-06,2.0504e-06,2.18153e-06,2.03848e-06,2.0504e-06,2.0504e-06,1.95503e-06,2.11e-06
0.47,2.21729e-06,2.14577e-06,2.14577e-06,2.06232e-06,2.02656e-06,1.95503e-06,1.96695e-06,2.0504e-06
0.48,2.15769e-06,2.11e-06,2.11e-06,2.0504e-06,2.00272e-06,2.08616e-06,2.02656e-06,2.02656e-06
0.49,2.0504e-06,2.15769e-06,2.03848e-06,2.08616e-06,2.01464e-06,2.00272e-06,1.93119e-06,2.08616e-06
0.5,2.14577e-06,2.14577e-06,2.11e-06,2.08616e-06,2.11e-06,2.06232e-06,2.08616e-06,2.01464e-06
0.51,2.11e-06,2.08616e-06,2.15769e-06,2.03848e-06,2.01464e-06,1.9908e-06,2.02656e-06,2.16961e-06
0.52,2.16961e-06,2.13385e-06,2.11e-06,2.00272e-06,2.02656e-06,2.02656e-06,2.02656e-06,2.11e-06
0.53,2.13385e-06,2.18153e-06,2.18153e-06,1.93119e-06,2.09808e-06,1.9908e-06,2.0504e-06,2.14577e-06
0.54,2.18153e-06,2.13385e-06,2.18153e-06,2.03848e-06,2.16961e-06,2.03848e-06,2.00272e-06,2.09808e-06
0.55,2.14577e-06,2.18153e-06,2.18153e-06,2.0504e-06,2.02656e-06,2.01464e-06,2.01464e-06,2.12193e-06
0.56,2.21729e-06,2.07424e-06,2.20537e-06,1.95503e-06,2.0504e-06,2.08616e-06,2.03848e-06,2.12193e-06
0.57,2.14577e-06,2.08616e-06,2.11e-06,2.0504e-06,1.87159e-06,2.14577e-06,1.96695e-06,2.14577e-06
0.58,2.09808e-06,2.11e-06,2.11e-06,2.08616e-06,1.9908e-06,2.0504e-06,2.00272e-06,2.13385e-06
0.59,2.14577e-06,2.11e-06,2.16961e-06,1.9908e-06,2.0504e-06,2.13385e-06,2.02656e-06,2.11e-06
0.6,2.07424e-06,2.14577e-06,2.13385e-06,1.95503e-06,2.03848e-06,2.03848e-06,1.9908e-06,2.11e-06
0.61,2.09808e-06,2.0504e-06,2.02656e-06,2.0504e-06,2.0504e-06,2.08616e-06,2.0504e-06,1.9908e-06
0.62,2.13385e-06,2.02656e-06,2.09808e-06,2.08616e-06,1.93119e-06,2.09808e-06,1.97887e-06,2.11e-06
0.63,2.08616e-06,1.97887e-06,2.12193e-06,2.03848e-06,1.9908e-06,2.02656e-06,2.02656e-06,1.93119e-06
0.64,2.14577e-06,2.0504e-06,2.03848e-06,1.94311e-06,1.93119e-06,2.01464e-06,2.01464e-06,2.08616e-06
0.65,2.02656e-06,2.03848e-06,2.14577e-06,2.08616e-06,1.9908e-06,2.02656e-06,2.01464e-06,2.16961e-06
0.66,2.16961e-06,2.06232e-06,2.14577e-06,2.07424e-06,2.0504e-06,2.02656e-06,2.0504e-06,2.12193e-06
0.67,2.14577e-06,2.08616e-06,2.0504e-06,2.01464e-06,2.08616e-06,2.00272e-06,1.83582e-06,2.06232e-06
0.68,2.09808e-06,2.11e-06,1.97887e-06,2.08616e-06,2.02656e-06,2.0504e-06,2.02656e-06,2.15769e-06
0.69,2.11e-06,2.06232e-06,2.08616e-06,2.06232e-06,2.11e-06,1.90735e-06,1.95503e-06,2.09808e-06
0.7,2.09808e-06,2.14577e-06,2.16961e-06,2.06232e-06,2.02656e-06,1.9908e-06,2.02656e-06,2.02656e-06
0.71,2.0504e-06,2.08616e-06,2.08616e-06,1.96695e-06,2.02656e-06,2.14577e-06,2.02656e-06,2.11e-06
0.72,2.08616e-06,2.11e-06,2.20537e-06,2.02656e-06,2.02656e-06,2.08616e-06,1.9908e-06,2.06232e-06
0.73,2.16961e-06,2.0504e-06,2.18153e-06,2.06232e-06,2.14577e-06,2.0504e-06,1.9908e-06,2.12193e-06
0.74,2.14577e-06,2.22921e-06,2.14577e-06,1.90735e-06,2.08616e-06,2.07424e-06,2.07424e-06,2.14577e-06
0.75,2.11e-06,2.18153e-06,1.93119e-06,1.97887e-06,2.02656e-06,1.97887e-06,1.89543e-06,2.14577e-06
0.76,2.13385e-06,2.0504e-06,2.07424e-06,2.14577e-06,2.06232e-06,1.97887e-06,1.96695e-06,1.9908e-06
0.77,2.02656e-06,2.19345e-06,2.07424e-06,2.06232e-06,2.14577e-06,1.95503e-06,2.07424e-06,2.09808e-06
0.78,2.06232e-06,2.00272e-06,1.97887e-06,2.03848e-06,2.08616e-06,2.02656e-06,2.06232e-06,2.15769e-06
0.79,2.08616e-06,2.14577e-06,2.13385e-06,2.07424e-06,2.06232e-06,2.02656e-06,2.03848e-06,2.11e-06
0.8,2.20537e-06,2.11e-06,2.08616e-06,2.0504e-06,2.06232e-06,2.09808e-06,2.01464e-06,2.06232e-06
0.81,2.20537e-06,2.08616e-06,2.06232e-06,2.07424e-06,2.0504e-06,1.97887e-06,1.9908e-06,2.20537e-06
0.82,2.13385e-06,2.16961e-06,2.07424e-06,2.00272e-06,2.09808e-06,2.07424e-06,1.9908e-06,2.08616e-06
0.83,2.14577e-06,2.00272e-06,2.14577e-06,2.0504e-06,2.0504e-06,1.97887e-06,2.0504e-06,2.12193e-06
