Timestamp (s),Current SMUA (A),Voltage SMUA (V),Current SMUb (A),Voltage SMUb (V)
0.184,-6.07967e-07,2.67029e-05,6.49691e-06,0.100035
0.186,-8.58307e-07,2.95639e-05,6.23465e-06,0.100031
0.188,-8.58307e-07,3.33786e-05,6.61612e-06,0.100031
0.19,-4.76837e-07,3.91006e-05,6.44922e-06,0.100031
0.192,-5.24521e-07,2.86102e-05,6.36578e-06,0.100032
0.194,-6.4373e-07,3.05176e-05,6.40154e-06,0.100028
0.196,-3.45707e-07,1.88351e-05,6.6638e-06,0.100026
0.198,-9.89437e-07,1.78814e-05,6.18696e-06,0.10003
0.2,-2.14577e-07,5.07832e-05,6.23465e-06,0.100035
0.202,-8.22544e-07,4.00543e-05,6.40154e-06,0.100034
0.204,-9.41753e-07,3.14713e-05,6.31809e-06,0.100034
0.206,-3.45707e-07,3.05176e-05,6.18696e-06,0.100037
0.208,-3.09944e-07,1.50204e-05,6.1512e-06,0.100036
0.21,-1.78814e-07,4.31538e-05,6.31809e-06,0.100034
0.212,-3.93391e-07,2.47955e-05,6.1512e-06,0.100032
0.214,-3.45707e-07,2.07424e-05,6.58035e-06,0.100027
0.216,-9.41753e-07,2.36034e-05,6.36578e-06,0.100031
0.218,-1.78814e-07,1.5974e-05,6.58035e-06,0.100032
0.22,-9.89437e-07,3.14713e-05,6.58035e-06,0.100033
0.222,-7.27177e-07,3.62396e-05,6.53267e-06,0.100036
0.224,-5.24521e-07,2.86102e-05,6.40154e-06,0.100032
0.226,0.0,4.22001e-05,6.40154e-06,0.100034
0.228,-6.4373e-07,3.43323e-05,6.10352e-06,0.100034
0.23,-9.89437e-07,2.16961e-05,5.98431e-06,0.100032
0.232,-4.29153e-07,3.24249e-05,6.31809e-06,0.100033
0.234,-1.15633e-06,4.79221e-05,6.40154e-06,0.100037
0.236,-5.24521e-07,3.43323e-05,6.23465e-06,0.100033
0.238,-5.60284e-07,4.00543e-05,6.40154e-06,0.100038
0.24,-2.14577e-07,3.33786e-05,6.28233e-06,0.100034
0.242,-6.4373e-07,4.31538e-05,6.28233e-06,0.100028
0.244,-3.09944e-07,4.00543e-05,6.36578e-06,0.100035
0.246,-6.91414e-07,2.67029e-05,6.53267e-06,0.100035
0.248,-7.7486e-07,3.91006e-05,6.23465e-06,0.100035
0.25,-8.58307e-07,3.43323e-05,6.6638e-06,0.100031
0.252,-9.05991e-07,3.8147e-05,6.44922e-06,0.100038
0.254,-6.4373e-07,3.91006e-05,5.93662e-06,0.100037
0.256,-2.14577e-07,4.50611e-05,6.40154e-06,0.100037
0.258,-6.91414e-07,2.67029e-05,6.28233e-06,0.100037
0.26,-1.3113e-07,3.33786e-05,6.23465e-06,0.100031
0.262,-4.29153e-07,6.4373e-05,6.23465e-06,0.100039
0.264,-4.76837e-07,3.91006e-05,6.40154e-06,0.10004
0.266,-4.76837e-07,3.33786e-05,6.1512e-06,0.100034
0.268,-8.58307e-07,3.24249e-05,6.53267e-06,0.100034
0.27,-4.76837e-07,3.43323e-05,6.44922e-06,0.100032
0.272,-5.24521e-07,5.26905e-05,6.06775e-06,0.100035
0.274,-4.76837e-07,3.8147e-05,6.44922e-06,0.100035
0.276,-9.05991e-07,3.52859e-05,6.61612e-06,0.100032
0.278,-9.89437e-07,3.62396e-05,5.93662e-06,0.100035
0.28,-1.12057e-06,3.24249e-05,6.18696e-06,0.100031
0.282,-4.29153e-07,4.31538e-05,6.44922e-06,0.100034
0.284,-2.6226e-07,2.57492e-05,6.23465e-06,0.100038
0.286,-9.05991e-07,1.78814e-05,5.85318e-06,0.100036
0.288,-4.76837e-07,3.8147e-05,6.40154e-06,0.100034
0.29,-4.76837e-07,3.8147e-05,6.44922e-06,0.100038
0.292,-9.53674e-08,3.33786e-05,6.49691e-06,0.100031
0.294,-4.29153e-07,2.86102e-05,6.44922e-06,0.100032
0.296,-7.7486e-07,3.05176e-05,6.18696e-06,0.100036
0.298,-8.22544e-07,3.52859e-05,6.40154e-06,0.100034
0.3,-8.22544e-07,4.00543e-05,6.31809e-06,0.100038
0.302,-8.58307e-07,3.24249e-05,5.72205e-06,0.100039
0.304,-4.76837e-07,3.43323e-05,6.28233e-06,0.100034
0.306,-6.4373e-07,3.52859e-05,6.36578e-06,0.10003
0.308,-7.27177e-07,1.3113e-05,6.40154e-06,0.100034
0.31,-2.6226e-07,3.14713e-05,6.1512e-06,0.100038
0.312,-4.76837e-08,3.71933e-05,6.40154e-06,0.100033
