Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.71,2.43306e-05,2.40922e-05,2.39968e-05,2.38538e-05,2.37107e-05
0.72,2.43068e-05,2.41041e-05,2.3973e-05,2.37465e-05,2.35558e-05
0.73,2.4271e-05,2.40803e-05,2.39968e-05,2.37823e-05,2.35915e-05
0.74,2.42233e-05,2.39611e-05,2.39849e-05,2.37107e-05,2.35796e-05
0.75,2.42949e-05,2.40803e-05,2.39611e-05,2.38299e-05,2.36273e-05
0.76,2.44141e-05,2.40564e-05,2.38419e-05,2.38657e-05,2.3663e-05
0.77,2.43902e-05,2.40326e-05,2.40207e-05,2.37584e-05,2.3675e-05
0.78,2.43545e-05,2.40326e-05,2.40564e-05,2.37942e-05,2.3675e-05
0.79,2.42472e-05,2.4116e-05,2.39611e-05,2.37226e-05,2.36392e-05
0.8,2.42949e-05,2.4128e-05,2.40445e-05,2.37465e-05,2.36154e-05
0.81,2.43783e-05,2.40803e-05,2.40564e-05,2.38895e-05,2.35915e-05
0.82,2.43545e-05,2.40803e-05,2.39849e-05,2.39372e-05,2.37107e-05
0.83,2.43545e-05,2.4128e-05,2.39611e-05,2.38538e-05,2.37703e-05
0.84,2.43187e-05,2.4116e-05,2.40564e-05,2.3818e-05,2.37465e-05
0.85,2.4271e-05,2.40564e-05,2.40088e-05,2.38538e-05,2.3663e-05
0.86,2.43545e-05,2.41041e-05,2.39968e-05,2.39253e-05,2.3663e-05
0.87,2.4426e-05,2.40922e-05,2.41399e-05,2.39253e-05,2.37107e-05
0.88,2.43545e-05,2.4116e-05,2.40922e-05,2.38657e-05,2.37346e-05
0.89,2.43545e-05,2.41399e-05,2.39968e-05,2.37823e-05,2.37107e-05
0.9,2.42829e-05,2.41756e-05,2.39968e-05,2.38657e-05,2.38061e-05
0.91,2.43306e-05,2.4116e-05,2.40445e-05,2.39372e-05,2.37584e-05
0.92,2.4426e-05,2.40684e-05,2.40922e-05,2.3973e-05,2.36869e-05
0.93,2.44498e-05,2.40564e-05,2.40088e-05,2.38776e-05,2.36511e-05
0.94,2.43306e-05,2.40326e-05,2.40803e-05,2.38538e-05,2.36869e-05
0.95,2.43425e-05,2.41995e-05,2.4116e-05,2.38061e-05,2.37107e-05
0.96,2.42352e-05,2.41756e-05,2.40445e-05,2.38299e-05,2.38061e-05
0.97,2.43783e-05,2.4128e-05,2.41637e-05,2.3973e-05,2.3818e-05
0.98,2.44498e-05,2.4128e-05,2.41041e-05,2.39015e-05,2.36869e-05
0.99,2.43545e-05,2.42233e-05,2.40803e-05,2.39372e-05,2.37226e-05
1.0,2.4426e-05,2.41399e-05,2.40445e-05,2.38419e-05,2.36869e-05
1.01,2.44379e-05,2.40803e-05,2.41399e-05,2.39015e-05,2.3675e-05
1.02,2.44737e-05,2.41876e-05,2.40684e-05,2.40326e-05,2.37465e-05
1.03,2.44379e-05,2.42233e-05,2.41041e-05,2.39372e-05,2.37226e-05
1.04,2.44498e-05,2.41756e-05,2.4116e-05,2.39849e-05,2.37226e-05
1.05,2.43545e-05,2.41756e-05,2.41518e-05,2.38657e-05,2.37107e-05
1.06,2.43545e-05,2.41518e-05,2.40803e-05,2.39253e-05,2.37226e-05
1.07,2.43545e-05,2.4271e-05,2.41041e-05,2.39968e-05,2.37942e-05
1.08,2.44737e-05,2.42591e-05,2.41518e-05,2.39849e-05,2.37226e-05
1.09,2.44379e-05,2.42114e-05,2.41518e-05,2.39372e-05,2.38538e-05
1.1,2.4426e-05,2.41756e-05,2.40564e-05,2.38895e-05,2.37703e-05
1.11,2.43902e-05,2.4271e-05,2.4116e-05,2.39134e-05,2.37107e-05
