Timestamp (s),Current SMUA (A),Voltage SMUA (V),Current SMUb (A),Voltage SMUb (V)
0.184,-3.45707e-07,2.36034e-05,5.07832e-06,0.100033
0.186,-4.76837e-07,2.16961e-05,5.37634e-06,0.100038
0.188,-6.4373e-07,1.69277e-05,5.67436e-06,0.100038
0.19,-5.24521e-07,2.36034e-05,5.34058e-06,0.100035
0.192,-3.45707e-07,7.15256e-06,5.50747e-06,0.100041
0.194,-5.24521e-07,2.57492e-05,5.67436e-06,0.100041
0.196,-3.93391e-07,2.36034e-05,5.55515e-06,0.100042
0.198,-4.76837e-08,2.16961e-05,5.59092e-06,0.100035
0.2,-9.53674e-08,3.05176e-05,5.59092e-06,0.100036
0.202,-3.93391e-07,2.36034e-05,5.50747e-06,0.100039
0.204,-5.60284e-07,7.15256e-06,5.59092e-06,0.100037
0.206,-1.78814e-07,3.8147e-05,5.55515e-06,0.100037
0.208,-7.27177e-07,3.43323e-05,5.72205e-06,0.100039
0.21,-8.22544e-07,3.33786e-05,5.45979e-06,0.10004
0.212,-2.14577e-07,4.31538e-05,5.67436e-06,0.100037
0.214,-3.93391e-07,1.43051e-06,5.42402e-06,0.100038
0.216,-1.78814e-07,2.95639e-05,5.50747e-06,0.100035
0.218,-3.09944e-07,1.69277e-05,5.50747e-06,0.100037
0.22,-4.29153e-07,3.05176e-05,5.45979e-06,0.100038
0.222,-6.07967e-07,2.95639e-05,5.67436e-06,0.100036
0.224,-2.14577e-07,1.40667e-05,5.85318e-06,0.10004
0.226,-6.07967e-07,1.88351e-05,5.67436e-06,0.100037
0.228,-2.6226e-07,3.05176e-05,5.76973e-06,0.10004
0.23,-4.76837e-08,4.50611e-05,5.59092e-06,0.100035
0.232,-4.29153e-07,4.22001e-05,5.72205e-06,0.10003
0.234,-3.45707e-07,2.36034e-05,5.85318e-06,0.100035
0.236,-6.4373e-07,2.45571e-05,5.88894e-06,0.10003
0.238,-5.60284e-07,4.00543e-05,5.45979e-06,0.100025
0.24,-1.78814e-07,3.05176e-05,5.76973e-06,0.100034
0.242,-4.29153e-07,2.16961e-05,5.72205e-06,0.100039
0.244,-4.29153e-07,1.12057e-05,5.80549e-06,0.10003
0.246,-1.3113e-07,3.62396e-05,5.6386e-06,0.100033
0.248,-9.53674e-08,2.86102e-05,5.6386e-06,0.100036
0.25,-4.76837e-07,3.43323e-05,5.93662e-06,0.100034
0.252,-5.60284e-07,2.86102e-05,5.42402e-06,0.100032
0.254,-3.45707e-07,1.12057e-05,5.72205e-06,0.100043
0.256,-5.60284e-07,3.05176e-05,5.6386e-06,0.100037
0.258,-2.6226e-07,2.76566e-05,5.80549e-06,0.100037
0.26,-6.07967e-07,3.52859e-05,5.72205e-06,0.100034
0.262,-7.27177e-07,4.88758e-05,5.67436e-06,0.100036
0.264,-3.45707e-07,2.07424e-05,5.37634e-06,0.100036
