Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.142,2.6691e-05,2.4724e-05,2.47598e-05,2.4116e-05,2.36034e-05
0.144,2.64406e-05,2.50697e-05,2.48075e-05,2.40326e-05,2.34365e-05
0.146,2.64764e-05,2.52843e-05,2.40326e-05,2.36869e-05,2.3818e-05
0.148,2.66552e-05,2.50697e-05,2.45929e-05,2.4116e-05,2.36034e-05
0.15,2.63572e-05,2.51889e-05,2.44617e-05,2.4116e-05,2.35677e-05
0.152,2.64764e-05,2.54512e-05,2.43783e-05,2.39491e-05,2.37823e-05
0.154,2.6691e-05,2.52366e-05,2.43783e-05,2.4116e-05,2.34365e-05
0.156,2.63095e-05,2.54512e-05,2.45452e-05,2.42114e-05,2.36511e-05
0.158,2.66552e-05,2.52843e-05,2.43783e-05,2.4116e-05,2.36869e-05
0.16,2.66552e-05,2.52366e-05,2.46763e-05,2.40803e-05,2.36511e-05
0.162,2.64764e-05,2.53201e-05,2.45929e-05,2.39968e-05,2.36034e-05
0.164,2.67386e-05,2.51055e-05,2.4426e-05,2.40326e-05,2.36869e-05
0.166,2.64406e-05,2.51532e-05,2.46763e-05,2.40326e-05,2.36511e-05
0.168,2.65241e-05,2.52843e-05,2.4724e-05,2.37823e-05,2.36869e-05
0.17,2.6691e-05,2.51889e-05,2.45094e-05,2.4116e-05,2.36869e-05
0.172,2.64764e-05,2.51889e-05,2.45094e-05,2.39491e-05,2.36034e-05
0.174,2.65241e-05,2.54989e-05,2.4724e-05,2.39968e-05,2.36034e-05
0.176,2.67386e-05,2.54989e-05,2.44617e-05,2.41637e-05,2.36869e-05
0.178,2.64764e-05,2.54035e-05,2.46406e-05,2.41637e-05,2.35677e-05
0.18,2.67386e-05,2.54512e-05,2.46406e-05,2.43783e-05,2.36869e-05
0.182,2.67386e-05,2.53201e-05,2.4724e-05,2.42949e-05,2.37346e-05
0.184,2.66075e-05,2.53677e-05,2.45929e-05,2.4116e-05,2.35677e-05
0.186,2.67386e-05,2.52366e-05,2.45094e-05,2.4116e-05,2.352e-05
0.188,2.64406e-05,2.49386e-05,2.44617e-05,2.41637e-05,2.38657e-05
0.19,2.66075e-05,2.54512e-05,2.46763e-05,2.42114e-05,2.37346e-05
0.192,2.67386e-05,2.54035e-05,2.44617e-05,2.36034e-05,2.39015e-05
0.194,2.64764e-05,2.52366e-05,2.45929e-05,2.4116e-05,2.35677e-05
0.196,2.64764e-05,2.52366e-05,2.4724e-05,2.42114e-05,2.37346e-05
0.198,2.67386e-05,2.53201e-05,2.46763e-05,2.40326e-05,2.36034e-05
0.2,2.63572e-05,2.53677e-05,2.45094e-05,2.4116e-05,2.37823e-05
0.202,2.68698e-05,2.53677e-05,2.46763e-05,2.41637e-05,2.31743e-05
0.204,2.67863e-05,2.51532e-05,2.47598e-05,2.39491e-05,2.37346e-05
0.206,2.65241e-05,2.52843e-05,2.49386e-05,2.42949e-05,2.35677e-05
0.208,2.67863e-05,2.53201e-05,2.4724e-05,2.42949e-05,2.35677e-05
0.21,2.63572e-05,2.50697e-05,2.45929e-05,2.4116e-05,2.34723e-05
0.212,2.65241e-05,2.53677e-05,2.47598e-05,2.4116e-05,2.39015e-05
0.214,2.67863e-05,2.51889e-05,2.45094e-05,2.4116e-05,2.33889e-05
0.216,2.65241e-05,2.53677e-05,2.40326e-05,2.42114e-05,2.37823e-05
0.218,2.65241e-05,2.52366e-05,2.46406e-05,2.42472e-05,2.3818e-05
0.22,2.67386e-05,2.54035e-05,2.44617e-05,2.42949e-05,2.37823e-05
0.222,2.63095e-05,2.51055e-05,2.45094e-05,2.41637e-05,2.38657e-05
0.224,2.68698e-05,2.54035e-05,2.4426e-05,2.42472e-05,2.40326e-05
