Time,Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A),Current SMUb (A)
0.09,3.39746e-06,3.82662e-06,3.74317e-06,3.92199e-06,3.95775e-06,4.25577e-06,3.74317e-06,3.74317e-06
0.092,3.82662e-06,4.13656e-06,3.92199e-06,3.65973e-06,4.13656e-06,3.39746e-06,3.82662e-06,3.79086e-06
0.094,3.82662e-06,3.70741e-06,3.8743e-06,4.13656e-06,3.92199e-06,4.08888e-06,4.13656e-06,4.17233e-06
0.096,3.65973e-06,3.70741e-06,3.95775e-06,4.00543e-06,3.8743e-06,4.0412e-06,3.5286e-06,3.44515e-06
0.098,4.00543e-06,4.00543e-06,3.82662e-06,3.57628e-06,3.95775e-06,3.74317e-06,4.08888e-06,3.92199e-06
0.1,3.79086e-06,3.95775e-06,4.22001e-06,3.82662e-06,3.95775e-06,4.3869e-06,3.92199e-06,4.00543e-06
0.102,3.61204e-06,3.82662e-06,4.13656e-06,3.8743e-06,3.92199e-06,4.25577e-06,3.8743e-06,3.70741e-06
0.104,3.92199e-06,4.22001e-06,3.95775e-06,3.82662e-06,4.17233e-06,4.35114e-06,3.74317e-06,3.82662e-06
0.106,4.17233e-06,4.0412e-06,3.70741e-06,3.95775e-06,3.95775e-06,4.08888e-06,4.13656e-06,4.30346e-06
0.108,4.13656e-06,4.13656e-06,3.8743e-06,3.65973e-06,4.00543e-06,4.0412e-06,4.17233e-06,3.92199e-06
0.11,4.22001e-06,3.92199e-06,4.25577e-06,3.70741e-06,3.70741e-06,4.35114e-06,4.08888e-06,3.61204e-06
0.112,4.0412e-06,3.74317e-06,3.65973e-06,3.74317e-06,3.8743e-06,3.70741e-06,3.74317e-06,3.70741e-06
0.114,3.74317e-06,4.17233e-06,3.92199e-06,3.95775e-06,3.92199e-06,4.00543e-06,4.22001e-06,4.13656e-06
0.116,4.13656e-06,3.95775e-06,3.95775e-06,3.79086e-06,3.79086e-06,4.00543e-06,4.25577e-06,3.70741e-06
0.118,3.79086e-06,4.00543e-06,3.74317e-06,3.82662e-06,4.0412e-06,4.00543e-06,3.5286e-06,3.39746e-06
0.12,3.49283e-06,3.79086e-06,4.22001e-06,3.92199e-06,4.00543e-06,4.0412e-06,3.79086e-06,3.92199e-06
0.122,3.95775e-06,3.92199e-06,4.08888e-06,3.8743e-06,3.74317e-06,4.47035e-06,4.08888e-06,3.8743e-06
